,tweet,classification
0,@realDonaldTrump Resign before you are impeached dumb fuck!  No respect for draft dodging pussy grabbers!!!!,-1
1,@realDonaldTrump  https://t.co/tuQNvmQYEZ,0
2,@realDonaldTrump Now go play roulette in Russia,-1
3,@realDonaldTrump  https://t.co/sIPqjPoX3s,0
4,@realDonaldTrump You know nothing about football!,-1
5,@realDonaldTrump HOW ABOUT THEM COWBOYS,1
6,@realDonaldTrump Yippee and you also have a trophy wife !,0
7,@realDonaldTrump @Don_Vito_08 Everything is better with you as President....even the the Army Navy games! #MAGA,1
8,@realDonaldTrump Was with an Army guy yesterday...he was actually pretty nice...Go Navy BABY!!,1
9,@realDonaldTrump Yah i said bcus u &amp; ur russia traitor friend know its true,-1
10,@realDonaldTrump U lie and lie and lie to ur poor supportes. U behave like a coke addict,-1
11,@realDonaldTrump Ur a criminal kissing the countries _ss just to be a snake &amp; steel from the poor,-1
12,@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata... https://t.co/2LK0FF9U0x,0
13,@realDonaldTrump Who is the commander in chief??,0
14,"""@realDonaldTrump: Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF'S TROPHY! Congratulations!""
Nooooooo",1
15,@realDonaldTrump #TakeAKnee,-1
16,@realDonaldTrump Yay Army!!! Both of my Sons was in the Army!!! Love all Our Boys!,1
17,"@realDonaldTrump Always about you, isn't it.",-1
18,@realDonaldTrump Congratulations @WestPoint_USMA @USArmy...https://t.co/kZbaA1nlRD,1
19,@realDonaldTrump @daveweigel Isn't there more important things to be wasting your time on...really get yourself tog... https://t.co/uDnA5Aq6l0,-1
20,"@realDonaldTrump @daveweigel Small crowds, small hands must be penis envy?",-1
21,@realDonaldTrump @daveweigel Are you asking if those two words are synonymous,0
22,@realDonaldTrump @daveweigel You're fake. Moron.,-1
23,@realDonaldTrump FUCK YOU PIECE OF SHIT,-1
24,@realDonaldTrump @daveweigel The Definitive List of Trump's Lies And Counting #Resist #TheResistanceVOTES... https://t.co/P3JKTLiBAC,-1
25,@realDonaldTrump @daveweigel  https://t.co/WC9oYn0f7O,0
26,@realDonaldTrump @daveweigel You have lied an average of six times for every day you have been in office.  You're t... https://t.co/HatCS8PiiL,-1
27,@realDonaldTrump @daveweigel He admitted his mistake and apologized.  Let it go!,0
28,@realDonaldTrump @daveweigel https://t.co/t2uI1TBCPq,0
29,@realDonaldTrump @daveweigel Sources say trump cash balances are low. Can no longer afford to pay supporters to attend.,-1
30,@realDonaldTrump @daveweigel Trump Is Trying to Cover Up His Lies by Destroying Information via @thenation https://t.co/Q8dRsEHmbB,-1
31,@realDonaldTrump @daveweigel Zzzzzzzzzzz,0
32,@realDonaldTrump @daveweigel I voted for you and I support the work you do...but I am totally over your ridiculous... https://t.co/8q5p3Ym4vX,-1
33,@realDonaldTrump @daveweigel https://t.co/xnL2ZkQR1r,0
34,@realDonaldTrump @daveweigel #MuellerTime #ImpeachTrumpAndPence,-1
35,@realDonaldTrump @daveweigel @realDonaldTrump should be fired.,-1
