name,username,followers_count,listed_count,following,favorites,verified,default_profile,location,time_zone,statuses_count,description,geo_enabled,contributors_enabled,tweet_in_reply_to_id,tweet_time,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_contributors
Kathryn,Kathryn45033148,3,0,69,5,FALSE,TRUE,,,466,,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Donald Trump will get rid of illegals and sanctuary cities and MAGA and safe again.,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
War on Chris,OccupyNachos,536,13,994,33291,FALSE,FALSE,"Little Rock, AR",Central Time (US & Canada),28970,Sexual tyrannosaurus. Ran a full 26.2 mile marathon. Gonna lord that one over everybody for a while.,TRUE,FALSE,939642796289470000,12/10/2017 3:20,@realDonaldTrump I hope they shove it up your ass,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
????????????????ptrckwhite????????????????,patrickwhite65,158,1,204,2423,FALSE,FALSE,"Martinez, CA",,641,"If the needle wasn't bent so far to the left, then we wouldn't have had to bend it so far to the RIGHT....... #MAGA #TRUMP",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump  https://t.co/nYOyeRoHnm,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
Larry W Reed,uncalarry43,11,0,34,154,FALSE,TRUE,"Texas, USA",,75,,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump This should be played on all news channels every day,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Trump Is A Bigot,noteabaggers,439,10,767,6125,FALSE,FALSE,,Pacific Time (US & Canada),15064,Donald Trump's ignorance of economics and foreign policy make him a dangerous man.  The modern Tea Party doesn't understand history,FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel Wow!  U are a disgrace draft dodger,,,Twitter Lite,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Kamis,M5kaMis,13,0,216,8,FALSE,TRUE,6 October City ,,10,.. FOCUS ON THE GOOD ..,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Fuck YOU,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
TrumpLostThePop,TrumpLostThePop,56,0,123,1066,FALSE,TRUE,,,2987,Trump lost the popular vote by 3 million. The largest margin in history. He has no mandate. #TrumpLostThePop #TheResistance,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump I'm assuming the obvious solution is to separate innocent immigrants from their loved ones?,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Mysti Berry,MystiBerry,541,35,1099,22228,FALSE,FALSE,San Francisco,Pacific Time (US & Canada),7384,"Award-winning screenplays, published short stories.  27 yrs tech writing. Dahlwinnie fan.",TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Also no one should be separate from their family if they *aren't* a criminal--even if they are her... https://t.co/WdkANOUwdZ,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/WdkANOUwdZ,1,realDonaldTrump,1,,
Wendy,roo2ujbrand2001,9,0,92,751,FALSE,TRUE,,,2108,,FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel 1. WHY should you even care if you know it's false? Your delicate ego is showing. MIGH... https://t.co/3arinEnzhU,,,Twitter Lite,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/3arinEnzhU,1,"realDonaldTrump, daveweigel",2,,
????JulieAlltheWay????,Julie221B,143,6,367,10065,FALSE,FALSE,,Central Time (US & Canada),10528,25. Frozen banana salesman/child.,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump What is your solution to protect Americans from other Americans in our country with legally purcha... https://t.co/jZkDM7r8b5,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/jZkDM7r8b5,1,realDonaldTrump,1,,
Max Shadow,nyc_byrne,37,0,156,2215,FALSE,TRUE,,,9189,,TRUE,FALSE,939560154269405000,12/10/2017 3:20,@realDonaldTrump Hypocrite!,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Jon Paris,JParisJr,171,4,1879,1129,FALSE,TRUE,"San Diego, CA",,484,"Work on the ocean and I write. Eeyore is my fav. Future POTUS. Blonde Ales, Caramel Macchiatos, and Cabernet Franc. Married to Nuclear Eng. turned Screenwriter.",FALSE,FALSE,939375570919612000,12/10/2017 3:20,"@realDonaldTrump Who's ""we?"" Got a mouse in your pocket?",,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Thomas Hajj,tomhajj1,9,0,208,2,FALSE,TRUE,,,93,,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump He cheats at golf.,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Isabella Ruiz Loma-O,ChicaRuiz27,88,2,331,1066,FALSE,TRUE,"San Francisco, CA",,3884,"Soy materia, soy alma, no soy nada, porque pertenezca a un todo miro a Dios como uno, no en su estructura numerica, sino como un comienzo de todo.",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Ridiculo!!!! https://t.co/Qfl0wezpDo,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
Bear13368,Bear13368,21,0,180,1242,FALSE,TRUE,,Pacific Time (US & Canada),763,,FALSE,FALSE,939485131693322000,12/10/2017 3:20,@realDonaldTrump Hitler did the same thing to the media. CNN tells the truth. You don't. We all know it.,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Peter,wheatley_peter,1,0,0,0,FALSE,TRUE,Newcastle NSW,,3,,TRUE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel And if every reporter who made a mistake should be fired what should happen to a presi... https://t.co/wKbZcSJ3sL,,,Twitter Lite,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/wKbZcSJ3sL,1,"realDonaldTrump, daveweigel",2,,
Gallager O'reilly,Gopo_Pogo,97,3,273,3270,FALSE,TRUE,"Hamilton, MT",,5777,import/export Russian hooker urine for Trump enterprises. Safe buddy for Eric trump,TRUE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel  https://t.co/i5R6Kj1szM,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,photo,
????????Maggi Maye????????,MaggPieY,85,0,61,3066,FALSE,TRUE,Southeast South Dakota ,,3333,"Proud mama of 4 beautiful miracles & 2 angels ???????????????????????? ????amazing husband ????
@truTVjokers fan  #TeamSal
 AGAINST @RealDonaldTrump ????????",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump What about people being separated from their loved ones because of crimes committed by people who... https://t.co/PewEnJtRYR,,,Twitter Lite,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/PewEnJtRYR,1,realDonaldTrump,1,,
Karen Bucher,establishmentno,4,0,16,1279,FALSE,TRUE,,,294,,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Follow the play Book that forced the south to comply with blacks voting &amp; desegregation. The FEDER... https://t.co/9NLe3udODY,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/9NLe3udODY,1,realDonaldTrump,1,,
SHAMROCK,ruff_ruff123,177,1,262,29608,FALSE,FALSE,,Pacific Time (US & Canada),37138,,TRUE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel Watching it back on CNN wonder if you have packed your nose while sitting on the plane... https://t.co/PMCbrFz4Zc,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/PMCbrFz4Zc,1,"realDonaldTrump, daveweigel",2,,
NK,n0rak,7,0,34,173,FALSE,FALSE,"Grand Junction, CO",Eastern Time (US & Canada),540,"Registered Democrat, wife, and mother.",TRUE,FALSE,,12/10/2017 3:20,@realDonaldTrump What? Fox News is FAKE NEWS? https://t.co/vK5ey3YtvH #FactsFirst #FakeNews,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,"FactsFirst, FakeNews",2,https://t.co/vK5ey3YtvH,1,realDonaldTrump,1,,
Jose,josemiranda4607,8,0,59,259,FALSE,FALSE,VA,Eastern Time (US & Canada),269,,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump You are a fucking moron.,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Chester Rafuse,67Chester,5284,1745,5777,11633,FALSE,FALSE,Millbrook  Nova Scotia,Atlantic Time (Canada),176943,"Chester Rafuse 
7 Glooscap Drive Millbrook NS.
B6L 1G4 ???????",TRUE,FALSE,939355447273906000,12/10/2017 3:20,@realDonaldTrump @blupony3 @APTNNews,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, blupony3, APTNNews",3,,
BJK,Capt17Bjk,2509,85,4993,69438,FALSE,TRUE,,,83730,"Military all my life , retired Captain still involved in Military projects as a Project Manager",FALSE,FALSE,939680422493073000,12/10/2017 3:20,"@realDonaldTrump Your full of shit up to your eyes, no one cares about your speeches , you are delusional narcissistic, BLOTUS",,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
