name,username,followers_count,listed_count,following,favorites,verified,default_profile,location,time_zone,statuses_count,description,geo_enabled,contributors_enabled,tweet_id,tweet_time,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_contributors
Veselin Toskov,ToskovVeselin,178,1,139,20130,False,True,,,4508,,True,False,939849867438034944,2017-12-10 13:35:28,@realDonaldTrump https://t.co/42XcWGph5Y,,,Twitter for Android,realDonaldTrump,True,False,0,1,,0,,0,realDonaldTrump,1,photo,
Charles Harding,Charles5077,358,0,578,9777,False,True,"Tennessee, USA",Pacific Time (US & Canada),8454,"I'm a Christian, A Independent American Nationalist. I'm Pro Trump,Pro NRA & Pro Israel. borders,language & culture. Infowars fan I am part of the resistance.",False,False,939849867438034944,2017-12-10 13:35:28,@realDonaldTrump For now ,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
ELMO BLACH,imagerm69,5,0,42,46,False,True,"Texas, USA",,450,I'm everything Texas. I bleed Texas. Sports fans of Texas. If a Texas team wins i'm good. I'll defend Texas.,False,False,939849867438034944,2017-12-10 13:35:28,@realDonaldTrump Humpty Dumpty news had a great fall. Thank you Mr President for exposing the propaganda news,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Leonid,dergalev,1317,87,67,3678,False,False,"Chelyabinsk, Russia",Asia/Yekaterinburg,72209,真言,True,False,939849867438034944,2017-12-10 13:35:28,@realDonaldTrump Even when you're watching TV with those #FakeNewsMedia - you're under suggestion effect - they're... https://t.co/e3bqyHn9Ic,,,Twitter for Android,realDonaldTrump,True,False,0,0,FakeNewsMedia,1,https://t.co/e3bqyHn9Ic,1,realDonaldTrump,1,,
Kevin Loudin,KevinLoudin,7,0,77,789,False,False,"Cumming, GA",Eastern Time (US & Canada),1036,,True,False,939849867438034944,2017-12-10 13:35:28,@realDonaldTrump Thanks Obama!,,,Twitter Web Client,realDonaldTrump,True,False,0,1,,0,,0,realDonaldTrump,1,,
Matthew Smith,BirdsfanBigO,211,1,1025,338,False,True,,,649,,False,False,939849867438034944,2017-12-10 13:35:27,"@realDonaldTrump If the economy is so awesome for everyone, isn't this the time to pay down our debt?",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
TEK ASK ALLAH,EyupcakarH,156,1,705,683,False,True,Rabbim yani,,2088,BANA KOTULUK YAPAMASSIN KORKARSIN,False,False,939849867438034944,2017-12-10 13:35:27,@realDonaldTrump Trump suan dort filistinli genci savas suclusu israil OLDURDU senin sayende allahin gazabi ustune... https://t.co/TV2THg0Dqm,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/TV2THg0Dqm,1,realDonaldTrump,1,,
Natasa,pacovecebre,111,0,895,1186,False,True,,,1648,,False,False,939849867438034944,2017-12-10 13:35:26,@realDonaldTrump @POTUS You are the best ever. Forget about stupid media &amp; nonsense democrats. You will have another landslide come 2020.,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, POTUS",2,,
AF Veteran,Proud_Vet_AF,30,0,70,417,False,True,,,517,New to twitter. I'm honored to have served our great country.#defendDACA and support your Veterans.,False,False,939616077356642304,2017-12-10 13:35:26,@realDonaldTrump @daveweigel @washingtonpost  https://t.co/DqHfePg4Np,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,photo,
mike m.,mgbb62,2,0,6,54,False,True,Indianapolis,,26,,False,False,939680422493073408,2017-12-10 13:35:26,@realDonaldTrump Advertise sanctuary cities.  Tell illegals to go there..feds will not go after them.  Local cops w... https://t.co/SgXCxjW1G0,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/SgXCxjW1G0,1,realDonaldTrump,1,,
