username,id,reply_id,date,tweet
ZoltanCaptain,9.40075E+17,9.39643E+17,12/11/2017 4:26,@realDonaldTrump Resign before you are impeached dumb fuck!  No respect for draft dodging pussy grabbers!!!!
nodictatorinusa,9.40074E+17,9.39643E+17,12/11/2017 4:19,@realDonaldTrump  https://t.co/tuQNvmQYEZ
1MikeMerica,9.40073E+17,9.39643E+17,12/11/2017 4:18,@realDonaldTrump Now go play roulette in Russia
rondavt74,9.40072E+17,9.39643E+17,12/11/2017 4:14,@realDonaldTrump  https://t.co/sIPqjPoX3s
TMHansen0528,9.40072E+17,9.39643E+17,12/11/2017 4:11,@realDonaldTrump You know nothing about football!
msbakerdw,9.40072E+17,9.39643E+17,12/11/2017 4:11,@realDonaldTrump HOW ABOUT THEM COWBOYS
ThomasH78937573,9.40068E+17,9.39643E+17,12/11/2017 3:58,@realDonaldTrump Yippee and you also have a trophy wife !
MRMitchnet,9.40068E+17,9.39643E+17,12/11/2017 3:56,@realDonaldTrump @Don_Vito_08 Everything is better with you as President....even the the Army Navy games! #MAGA
jshoe2111,9.40067E+17,9.39643E+17,12/11/2017 3:53,@realDonaldTrump Was with an Army guy yesterday...he was actually pretty nice...Go Navy BABY!!
rosiegee818,9.40066E+17,9.39643E+17,12/11/2017 3:48,@realDonaldTrump Yah i said bcus u &amp; ur russia traitor friend know its true
rosiegee818,9.40066E+17,9.39643E+17,12/11/2017 3:48,@realDonaldTrump U lie and lie and lie to ur poor supportes. U behave like a coke addict
rosiegee818,9.40065E+17,9.39643E+17,12/11/2017 3:47,@realDonaldTrump Ur a criminal kissing the countries _ss just to be a snake &amp; steel from the poor
11groverbeac,9.40065E+17,9.39643E+17,12/11/2017 3:44,@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata... https://t.co/2LK0FF9U0x
Impeach40153700,9.40063E+17,9.39643E+17,12/11/2017 3:38,@realDonaldTrump Who is the commander in chief??
USANYCAL,9.40063E+17,9.39643E+17,12/11/2017 3:37,"""@realDonaldTrump: Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF'S TROPHY! Congratulations!""

Nooooooo"
never_martha,9.40063E+17,9.39643E+17,12/11/2017 3:37,@realDonaldTrump #TakeAKnee
ArleneO99070647,9.40062E+17,9.39643E+17,12/11/2017 3:33,@realDonaldTrump Yay Army!!! Both of my Sons was in the Army!!! Love all Our Boys!
laniusd2011,9.40062E+17,9.39643E+17,12/11/2017 3:31,"@realDonaldTrump Always about you, isn't it."
RefDemo,9.40061E+17,9.39643E+17,12/11/2017 3:30,@realDonaldTrump Congratulations @WestPoint_USMA @USArmy...https://t.co/kZbaA1nlRD
LKalawarny,9.40076E+17,9.39634E+17,12/11/2017 4:27,@realDonaldTrump @daveweigel Isn't there more important things to be wasting your time on...really get yourself tog... https://t.co/uDnA5Aq6l0
roeorr,9.40076E+17,9.39634E+17,12/11/2017 4:27,"@realDonaldTrump @daveweigel Small crowds, small hands must be penis envy?"
Samanthtics,9.40075E+17,9.39634E+17,12/11/2017 4:27,@realDonaldTrump @daveweigel Are you asking if those two words are synonymous
NewfieTweeterer,9.40075E+17,9.39634E+17,12/11/2017 4:24,@realDonaldTrump @daveweigel You're fake. Moron.
GLORIANMICAH420,9.40075E+17,9.39634E+17,12/11/2017 4:23,@realDonaldTrump FUCK YOU PIECE OF SHIT
cravenknowledge,9.40074E+17,9.39634E+17,12/11/2017 4:23,@realDonaldTrump @daveweigel The Definitive List of Trump's Lies And Counting #Resist #TheResistanceVOTES... https://t.co/P3JKTLiBAC
JodiValeOnAir,9.40074E+17,9.39634E+17,12/11/2017 4:22,@realDonaldTrump @daveweigel  https://t.co/WC9oYn0f7O
LGMosson,9.40074E+17,9.39634E+17,12/11/2017 4:19,@realDonaldTrump @daveweigel You have lied an average of six times for every day you have been in office.  You're t... https://t.co/HatCS8PiiL
