id,created_at,text
940325709234319360,2017-12-11 21:01:34,b'@realDonaldTrump Donald I need you to read this! The earth is going to shift into a higher consciousness! You must\xe2\x80\xa6 https://t.co/r5zVXOfqjM'
940325261408530433,2017-12-11 20:59:47,b'@realDonaldTrump Donald!!! I need you to know this!! The entire earth will shift together into higher consciousness\xe2\x80\xa6 https://t.co/mWmJFtn59J'
940324660276633600,2017-12-11 20:57:24,b'@realDonaldTrump @nytimes Donald!!! I need you to know this!! The entire earth will shift together into higher cons\xe2\x80\xa6 https://t.co/SbwmTechXx'
940064726972710912,2017-12-11 03:44:31,b'@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata\xe2\x80\xa6 https://t.co/2LK0FF9U0x'
940064558634344449,2017-12-11 03:43:50,b'@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata\xe2\x80\xa6 https://t.co/N4QjAzm3Ei'
940064396826386433,2017-12-11 03:43:12,b'@realDonaldTrump https://t.co/yK3QkhjeCJ'
940064242790567940,2017-12-11 03:42:35,b'@realDonaldTrump Please help the child sex slaves underground at Getty Museum mansions nearby lead to tunnels! Sata\xe2\x80\xa6 https://t.co/ob5DPHEuhv'
940064020697989120,2017-12-11 03:41:42,b'@Cernovich @realDonaldTrump Criminal news network'
940063889173069830,2017-12-11 03:41:11,b'@realDonaldTrump https://t.co/yK3QkhjeCJ Please help the child sex slaves underground at Getty Museum mansions near\xe2\x80\xa6 https://t.co/VkQQzQJXka'
938667534752006145,2017-12-07 07:12:34,b'@People4Bernie @maxcarver @Charlie_Carver @margaretcho @MarkRuffalo @AliciaSilv @DannyDeVito @DSA_LosAngeles\xe2\x80\xa6 https://t.co/YL6itOuYZh'
938667374198243329,2017-12-07 07:11:56,b'@RaqiyahMays https://t.co/Unna9fU97B'
938667314198614019,2017-12-07 07:11:41,b'@RightwingSpawn https://t.co/Unna9fU97B'
938667193838985216,2017-12-07 07:11:13,b'@SamanthaHarris https://t.co/Unna9fU97B'
938667016155574273,2017-12-07 07:10:30,b'@TylerJRoney https://t.co/Unna9fU97B'
938666750358388738,2017-12-07 07:09:27,b'@CountyofLA https://t.co/Unna9fU97B Child sex slaves at Getty!!! But you already know that!!! Vatican recently move\xe2\x80\xa6 https://t.co/UFiBm7oBwk'
938666369435832325,2017-12-07 07:07:56,b'@TwitterNews https://t.co/Unna9fU97B'
938666255938027520,2017-12-07 07:07:29,b'@washingtonpost https://t.co/Unna9fU97B Child sex slaves at Getty! Dark Cabal burning evidence??? Satanic rituals p\xe2\x80\xa6 https://t.co/JyEqXUTVj5'
938666032675164160,2017-12-07 07:06:36,b'@washingtonpost https://t.co/Unna9fU97B'
938666002216206336,2017-12-07 07:06:29,b'@washingtonpost https://t.co/Unna9fU97B'
938665966178779136,2017-12-07 07:06:20,b'@washingtonpost https://t.co/Unna9fU97B'
938665892866486272,2017-12-07 07:06:03,b'@washingtonpost https://t.co/Unna9fU97B Child sex slavery at Getty!! Mountains on fire!!'
938665738897723393,2017-12-07 07:05:26,b'@CNN https://t.co/Unna9fU97B'
938665690415771648,2017-12-07 07:05:14,b'@CNN https://t.co/Unna9fU97B'
938665666646753281,2017-12-07 07:05:09,b'@CNN https://t.co/Unna9fU97B'
938665606319980544,2017-12-07 07:04:54,b'@FoxNews https://t.co/Unna9fU97B'
938665498186678272,2017-12-07 07:04:28,b'@FoxNews https://t.co/Unna9fU97B Child sex slaves at Getty!! Satanic rituals performed there in the tunnels. Mansions all lead to tunnels!!'
938665265360859136,2017-12-07 07:03:33,b'@IamRafaelBraga @ladygaga https://t.co/Unna9fU97B'
938665211719860224,2017-12-07 07:03:20,b'@AmyGrimesSuxx @ladygaga https://t.co/Unna9fU97B'
938665096074616832,2017-12-07 07:02:53,b'@filthypop @ladygaga https://t.co/Unna9fU97B'
938664986494115840,2017-12-07 07:02:26,b'@AmyGrimesSuxx @ladygaga https://t.co/Unna9fU97B Lady Gaga is a Satanic spirit cooker! Lost herself to the devil!!!\xe2\x80\xa6 https://t.co/Wv9YL5LZQ8'
938664616946626560,2017-12-07 07:00:58,b'@ladygaga https://t.co/Unna9fU97B Child sex slaves under the Getty NO More! Tunnels and Luciferians satanic rituals\xe2\x80\xa6 https://t.co/ZJjaZnZEIz'
938664274909528064,2017-12-07 06:59:37,b'@KylieJenner https://t.co/Unna9fU97B'
938664236028346368,2017-12-07 06:59:28,b'@stassiebaby @KylieJenner https://t.co/Unna9fU97B'
938663915449282561,2017-12-07 06:58:11,b'@khloekardashian https://t.co/Unna9fU97B Thousands of child sex slaves under tunnels at Getty!!! Dark Cabal perform\xe2\x80\xa6 https://t.co/hte5Vw4u5k'
938663517992783878,2017-12-07 06:56:36,b'@kourtneykardash https://t.co/Unna9fU97B Thousands of child sex slaves in tunnels underneath Getty!! Luciferians Sa\xe2\x80\xa6 https://t.co/bNdQPuv7UC'
938663040286826496,2017-12-07 06:54:42,b'@itsgabrielleu @KendallJenner https://t.co/Unna9fU97B Thousands of child slaves in tunnels at Getty Museum!! Satani\xe2\x80\xa6 https://t.co/iYg2AH0ssn'
938662676716068864,2017-12-07 06:53:16,b'@KimKardashian https://t.co/Unna9fU97B Hundreds thousands of child sex slaves under tunnels at Getty Museum!!! All\xe2\x80\xa6 https://t.co/DHSUazbdVF'
938662448256524288,2017-12-07 06:52:21,b'@SpeakerRyan @IvankaTrump https://t.co/Unna9fU97B'
938662361904291840,2017-12-07 06:52:01,b'@SpeakerRyan @IvankaTrump https://t.co/Unna9fU97B Child sex slaves underground in the tunnels at Getty!!! Luciferia\xe2\x80\xa6 https://t.co/6hlyKvlpL4'
938661834931912704,2017-12-07 06:49:55,b'@IvankaTrump https://t.co/Unna9fU97B Child sex slaves in tunnels underneath Getty!!! Mountains burning!!! Vaticsn m\xe2\x80\xa6 https://t.co/uPvjxvAicg'
938661458996477952,2017-12-07 06:48:25,b'@IvankaTrump https://t.co/Unna9fU97B Hundreds thousands of child sex slaves underground in tunnels at Getty!!!! All\xe2\x80\xa6 https://t.co/pPDSiq1UgO'
938661146575364096,2017-12-07 06:47:11,b'@TGowdySC https://t.co/Unna9fU97B Hundreds thousands of child sex slaves in the tunnels under Getty!!! Mountains bu\xe2\x80\xa6 https://t.co/fEYHNbgNWO'
938660734866620416,2017-12-07 06:45:33,b'@FoxNews @TGowdySC https://t.co/Unna9fU97B Please release child sex slaves from tunnels under Getty!!! Mountains bu\xe2\x80\xa6 https://t.co/79KPdlcYi6'
938660382364770305,2017-12-07 06:44:09,b'https://t.co/Unna9fU97B Getty Mountains on fire today 12-6-17! Is Dark Cabal burning evidence? No more child sex sl\xe2\x80\xa6 https://t.co/g2mzr5YxpO'
938659707534716928,2017-12-07 06:41:28,b'@SaRaAshcraft @CAsunshinegal Yep it\xe2\x80\x99s true!!! https://t.co/Unna9fU97B Tunnels and levels down there!! Mansions all\xe2\x80\xa6 https://t.co/YZWw8W3OB4'
938659370925035520,2017-12-07 06:40:08,b'@SaRaAshcraft @truthcraving https://t.co/Unna9fU97B Getty on fire right now!!! Mountains anyway!! Is Dark Cabal bur\xe2\x80\xa6 https://t.co/b8uANs99j2'
938658891310645248,2017-12-07 06:38:13,b'@katyperry https://t.co/Unna9fU97B Thousands of child sex slaves under Getty!!! Dark Cabal is burning evidence!!! V\xe2\x80\xa6 https://t.co/dpOTZuGL80'
938654601829523456,2017-12-07 06:21:11,b'@latimes https://t.co/Unna9fU97B Hundreds of child sex slaves in the tunnels underground at the Getty!!!! Please he\xe2\x80\xa6 https://t.co/p2zC54OQiB'
938651754836529152,2017-12-07 06:09:52,b'@realDonaldTrump https://t.co/Unna9fU97B Dark Cabal burning evidence!!! Child sex slaves in those tunnels at Getty!!! Luciferians burning!!!'
938651577945956352,2017-12-07 06:09:10,b'@realDonaldTrump https://t.co/Unna9fU97B Dark Cabal burning evidence!!! Child sex slaves under Getty in tunnels lea\xe2\x80\xa6 https://t.co/1Zoobuo4f2'
938651390481637376,2017-12-07 06:08:25,b'@realDonaldTrump @WhiteHouse https://t.co/Unna9fU97B Child sex slaves under Getty Museum burning!!!! Dark Cabal bur\xe2\x80\xa6 https://t.co/ST4XXj4yF0'
938651218028650497,2017-12-07 06:07:44,b'@realDonaldTrump https://t.co/Unna9fU97B Child sex slaves under Getty Museum!!! Burning evidence!!!! Dark Cabal!!! Luciferians!!!'
938648955868426240,2017-12-07 05:58:44,b'@markhplant @LizCrokin Dark Cabal destroying evidence under those mountains the tunnels underneath have hundreds of\xe2\x80\xa6 https://t.co/cTgNpGQV1E'
938648455500595201,2017-12-07 05:56:45,b'@LizCrokin Dark Cabal is destroying evidence under those mountains in the tunnels!! I hope those child sex slaves w\xe2\x80\xa6 https://t.co/GeGgJWmdie'
938647905920880640,2017-12-07 05:54:34,b'@beyondreasdoubt @LizCrokin Gross she\xe2\x80\x99s definitely was raped by him! Those that fall in love with their owner are m\xe2\x80\xa6 https://t.co/UKRH0wDqpF'
938647128787763200,2017-12-07 05:51:29,b'@realDonaldTrump Dark Cabal is burning evidence of child sex slaves under the Getty Museum in the tunnels under tho\xe2\x80\xa6 https://t.co/I2LZOS1dnp'
938647039189041152,2017-12-07 05:51:08,b'@realDonaldTrump @WhiteHouse Dark Cabal is burning evidence of child sex slaves under the Getty Museum in the tunne\xe2\x80\xa6 https://t.co/iqWaL4h5KW'
938646995115302912,2017-12-07 05:50:57,b'@realDonaldTrump Dark Cabal is burning evidence of child sex slaves under the Getty Museum in the tunnels under tho\xe2\x80\xa6 https://t.co/oOZF1ap2U4'
938646906485448705,2017-12-07 05:50:36,b'@realDonaldTrump Dark Cabal is burning evidence of child sex slaves under the Getty Museum in the tunnels under tho\xe2\x80\xa6 https://t.co/3iqEaUJYJt'
937930429591461888,2017-12-05 06:23:34,b'@I___A__M____Q__ Full disclosure!!! Many humans finally awake now! Out of the matrix of slumber mk ultra'
937930090771447809,2017-12-05 06:22:14,b'@JaredBeck That must mean Senate are Satanist Members and Pedophiles!!! https://t.co/85a44bTZ7g'
937929790920712192,2017-12-05 06:21:02,b'@RealMattCouch Good!! Boycott that shit!!'
937929647118999553,2017-12-05 06:20:28,b'@RepKevinBrady @IvankaTrump This is what America wants for Christmas!! https://t.co/WsZDvaHs5g'
937929469670572032,2017-12-05 06:19:46,b'@PeggyJ @melindagates @codeorg No more mk ultra program and mind control! Illegally implanting humans through denta\xe2\x80\xa6 https://t.co/6rFk4t1XEW'
937929097354788864,2017-12-05 06:18:17,b'@melindagates @IvankaTrump This is what America wants for Christmas!! https://t.co/YfDNuVfhYO'
937928860343050240,2017-12-05 06:17:20,b'@realDonaldTrump @foxandfriends This is what America wants for Christmas!! https://t.co/FXjus4Uoof'
937928680461893632,2017-12-05 06:16:37,b'@LBF777 Yep pretty much!!'
937928427536990208,2017-12-05 06:15:37,b'@LizCrokin @Turntablizm https://t.co/UmKnIPLFLK'
937927681714241537,2017-12-05 06:12:39,"b'@RonanFarrow @NewYorker Ty for taking down Elite Pedophiles! Including your own biological dad, who is a Pedophile!'"
937922625656954880,2017-12-05 05:52:34,b'RT @TrumpsBlonde: New #QAnon #Q\n\n#TheStormIsHere https://t.co/flnaywb4ph'
937921782316638208,2017-12-05 05:49:13,b'@SallyQYates FBI has been so corrupt for so long!!!!'
937921426140545024,2017-12-05 05:47:48,b'@Oprah Stop child trafficking through your Foundation!! You phony Satanist! Like Hillary! Soros! Funding pedophilia! https://t.co/WwmdFacVaq'
937921005615378432,2017-12-05 05:46:08,b'@LizCrokin Hillary is a member of the Satanist!!! Omg!!! It all makes sense!! https://t.co/XcIiQ9Kn9Q'
937920730712309761,2017-12-05 05:45:02,b'@realDonaldTrump Hillary is a Satanist!!! How the Hell have we had America being run by Satanist???? Wtf??? https://t.co/Jgec0teGhL'
937920463296016384,2017-12-05 05:43:58,b'@realDonaldTrump @foxandfriends Hillary is a Satanist???? How the Hell do we have we had Satanist running this Coun\xe2\x80\xa6 https://t.co/bElC0caVdu'
937919915125702657,2017-12-05 05:41:48,b'RT @WyverShago: @Deplorable80210 @lunchmeat98  https://t.co/Jsv7QFqiMT'
937918753110605825,2017-12-05 05:37:11,"b'@MAGAPILL @GenFlynn Oh let us think! Elite child exploitation! Satanic child hunting, raping, money laundering, dru\xe2\x80\xa6 https://t.co/LbyrsNYPq4'"
937917809799045120,2017-12-05 05:33:26,b'@TGowdySC Your Amazing Trey Gowdy!!!! Higher consciousness is here! More Americans finally waking up! Veil is being\xe2\x80\xa6 https://t.co/CupbRdkwrh'
937914185869967360,2017-12-05 05:19:02,"b'@GOPoversight @TGowdySC Elite corrupt Politicians, cia, dyncorp and fbi have been pushing this along with Big Pharm\xe2\x80\xa6 https://t.co/d1FajSC4hF'"
937913553536761857,2017-12-05 05:16:31,b'@EdKrassen @IRdotnet @realDonaldTrump @foxandfriends Your a mk ultra puppet! Slave you are!'
937913373781499904,2017-12-05 05:15:48,"b'@realDonaldTrump @foxandfriends Congress is giving Americans the wrong Example! Be an Elite, corrupt, satanic Pedop\xe2\x80\xa6 https://t.co/ekUn9VJhNQ'"
937912350673272832,2017-12-05 05:11:44,"b""RT @LizCrokin: MSM ignored Erik Prince's claims.\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n\nWhy has the Deep State been so triggered by my reporting of the Hillary sex tape? \xf0\x9f\xa4\x94\n\nCu\xe2\x80\xa6"""
937911469462532096,2017-12-05 05:08:14,"b'@johnpodesta Your a liar! You rape, spirit cooking satanic rituals! Child trafficking! Money laundering! Rat! https://t.co/8ST6S2rD5P'"
937845526417915905,2017-12-05 00:46:12,b'@realDonaldTrump Yep! All pedo ring covering for each other! Thousands of civilians being tortured daily here in th\xe2\x80\xa6 https://t.co/Q7oyRlB0IN'
937845274302484480,2017-12-05 00:45:12,b'@realDonaldTrump @ABC https://t.co/Ye04MmG3PO Thousands of civilians being tortured daily here in the U.S. by dew!'
937843405375205377,2017-12-05 00:37:46,b'@realDonaldTrump @ABC Thousands of civilians being tortured daily on U.S. soil by dew! https://t.co/Ye04MmG3PO'
937843145336688640,2017-12-05 00:36:44,b'@TheGOPSux @TrumpQAnon @marcoslinville @realDonaldTrump @BrutalVeracity @flowers3712 @AlwaysIntegrity\xe2\x80\xa6 https://t.co/zwOBP60wJB'
937842715709992960,2017-12-05 00:35:02,b'@realDonaldTrump Yep! They\xe2\x80\x99re all involved! Pedo ring goes deep! Thousands of civilians being tortured daily here o\xe2\x80\xa6 https://t.co/DC5xIU7Gdc'
937842393465831424,2017-12-05 00:33:45,b'@realDonaldTrump Thousands of civilians being tortured daily here on U.S. soil by dew!https://t.co/Ye04MmG3PO'
