id,created_at,text
940087989698310145,2017-12-11 05:16:57,"b'@realDonaldTrump @CNN the only mistake the American people have made, is you, I am so ashamed of our country, being\xe2\x80\xa6 https://t.co/PNcl4K2WGh'"
940087677956734977,2017-12-11 05:15:43,"b'@realDonaldTrump @daveweigel @washingtonpost yes, again you are fake............'"
940087569219383296,2017-12-11 05:15:17,"b'@realDonaldTrump @daveweigel lol, this is a fake statement by you............'"
940087314147033089,2017-12-11 05:14:16,"b""@realDonaldTrump if there is any highs it's because of past administration and you are only reaping the benefits fo\xe2\x80\xa6 https://t.co/yz19tr1FWM"""
940086706094481409,2017-12-11 05:11:51,b'@realDonaldTrump tax cut for the rich???? so you can go play more golf???'
940086530999164928,2017-12-11 05:11:09,"b'@realDonaldTrump you seem to be the one out of control, and you seem to be the reason for all the fake news because\xe2\x80\xa6 https://t.co/CBZM1bBSZb'"
939541443726557189,2017-12-09 17:05:10,"b'@realDonaldTrump @SecretaryAcosta @USDOL if so, this is a trickle down effect from Obama and that just rubs you raw..................'"
939541028557561856,2017-12-09 17:03:31,b'@realDonaldTrump what ???? to play golf again on our money????'
939540815956779008,2017-12-09 17:02:41,"b""@realDonaldTrump I don't want anyone representing me that is as awful as this.......... like your statement, just g\xe2\x80\xa6 https://t.co/XxU4UqYfPv"""
939540195950567424,2017-12-09 17:00:13,b'@realDonaldTrump you are the one that lies.......... shame on you!!!!!!!!!!!'
890313166596448256,2017-07-26 20:49:34,b'.@SenJeffMerkley @RonWyden You can be a health care hero. #VoteNO on Trumpcare #IStandWithPP https://t.co/X5Ji219alh'
