id,created_at,text
940358293846929408,2017-12-11 23:11:02,b'@JohnJHarwood Trump Pravda anyone?'
940356893813420033,2017-12-11 23:05:29,b'@DineshDSouza \xe2\x80\x9cI did try &amp; fuck her. She was married. I moved on her like a bitch. But I couldn\xe2\x80\x99t get there. I just\xe2\x80\xa6 https://t.co/Apv7sCV7bs'
940356534634209281,2017-12-11 23:04:03,b'@KellyannePolls \xe2\x80\x9cI did try &amp; fuck her. She was married. I moved on her like a bitch. But I couldn\xe2\x80\x99t get there. I ju\xe2\x80\xa6 https://t.co/I8TH9W3I6M'
940355903194324992,2017-12-11 23:01:32,b'@realDonaldTrump @nytimes \xe2\x80\x9cI did try &amp; fuck her. She was married. I moved on her like a bitch. But I couldn\xe2\x80\x99t get t\xe2\x80\xa6 https://t.co/ypz6a8cdav'
940355173729423361,2017-12-11 22:58:39,b'@robreiner  https://t.co/cTuE1GwmJp'
940110544077557760,2017-12-11 06:46:34,"b'Not a fan of their ""alternative facts""? https://t.co/e6v3YMAbu1'"
940074198558392323,2017-12-11 04:22:09,"b""Fatten up the rich with your tax cut. We'll take em to slaughter when we start starvin. https://t.co/T3qLRllHDW"""
940073732046954502,2017-12-11 04:20:18,b'@realDonaldTrump You are the reservoir tip of your administration'
940073344891699200,2017-12-11 04:18:45,b'@realDonaldTrump Now go play roulette in Russia'
940072872780767233,2017-12-11 04:16:53,b'@realDonaldTrump @PhilBryantMS In Mississippi they like em 15'
939946197858635777,2017-12-10 19:53:31,"b""RT @Sethrogen: I was supposed to do a press tour on @SIRIUSXM on teusday but I'm no longer doing it because I can't bring myself to appear\xe2\x80\xa6"""
939946014248759298,2017-12-10 19:52:47,"b""@realDonaldTrump @daveweigel @washingtonpost Can't wait for Trump to come out with hos 1st issue of Pravda 2.0"""
939909176595230720,2017-12-10 17:26:25,"b'@marcorubio ""I\'m too drunk to taste this chicken.""\n- Col. Sanders\n\nSee? I can do it too. I also have no point.\nLet\xe2\x80\xa6 https://t.co/WMWdyZKL3Z'"
939900105750171648,2017-12-10 16:50:22,"b""RT @Protectcare: RT to tell @RepBrianFitz: Don't use tax reform to derail health coverage. https://t.co/GYeYLH26lh"""
939899798970404864,2017-12-10 16:49:09,b'On  behalf of our entire nation\n\n#resign https://t.co/CLpDSGjGEy'
939898788780625920,2017-12-10 16:45:08,"b'@realDonaldTrump You could, IN FACT, be less trusted than any other President, or any major news outlet.'"
939898385619922950,2017-12-10 16:43:32,b'@realDonaldTrump @CNN You moved on him like a bitch'
939508039165579265,2017-12-09 14:52:26,"b""@chrisu221 @realDonaldTrump That's original"""
939507678656827392,2017-12-09 14:51:00,"b""@45isMyGuy @justlyndsay @realDonaldTrump If Russia's healthcare includes mental health treatment, make an appointment."""
939507034852069378,2017-12-09 14:48:26,b'@Deanvelopol @Larimoredad @JUstMove92 @smichaelwilson @PRESlDENTBANNON @realDonaldTrump Meme was from Vladimir Productions'
939506672225136640,2017-12-09 14:47:00,b'@smichaelwilson @Larimoredad @PRESlDENTBANNON @realDonaldTrump Created in Kiev'
939267575070052353,2017-12-08 22:56:55,"b""Let's hurry up and lower taxes on the rich before somebody figures out @RevDrBarber is right https://t.co/5p2Bruatds"""
939234435475628036,2017-12-08 20:45:14,b'@realDonaldTrump The crowds are protesters.\nBiggest crowd in the history of. . .'
939234187818733568,2017-12-08 20:44:15,"b'@realDonaldTrump @FLOTUS @WhiteHouse What happened to you saying ""Merry Christmas"" again?\nSucking up to Israel righ\xe2\x80\xa6 https://t.co/l3ZaTMrp7f'"
938943810809118721,2017-12-08 01:30:23,"b'@realDonaldTrump \xd0\xaf \xd0\xbf\xd0\xbe\xd0\xbf\xd1\x80\xd0\xbe\xd0\xb1\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbb \xd0\xb8 \xd1\x82\xd1\x80\xd0\xb0\xd1\x85\xd0\xbd\xd1\x83\xd0\xbb \xd0\xb5\xd0\xb5. \xd0\x9e\xd0\xbd\xd0\xb0 \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xb0 \xd0\xb7\xd0\xb0\xd0\xbc\xd1\x83\xd0\xb6\xd0\xb5\xd0\xbc. \xd0\xaf \xd0\xb1\xd1\x80\xd0\xbe\xd1\x81\xd0\xb8\xd0\xbb\xd1\x81\xd1\x8f \xd0\xbd\xd0\xb0 \xd0\xbd\xd0\xb5\xd0\xb5, \xd0\xba\xd0\xb0\xd0\xba \xd1\x81\xd1\x83\xd0\xba\xd0\xb0. \xd0\x9d\xd0\xbe \xd1\x8f \xd0\xbd\xd0\xb5 \xd0\xbc\xd0\xbe\xd0\xb3 \xd0\xb4\xd0\xbe\xd0\xb1\xd1\x80\xd0\xb0\xd1\x82\xd1\x8c\xd1\x81\xd1\x8f \xd1\x82\xd1\x83\xe2\x80\xa6 https://t.co/WpSAMXc4GN'"
938943594651582464,2017-12-08 01:29:32,"b'@SenSanders \xd0\xaf \xd0\xbf\xd0\xbe\xd0\xbf\xd1\x80\xd0\xbe\xd0\xb1\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbb \xd0\xb8 \xd1\x82\xd1\x80\xd0\xb0\xd1\x85\xd0\xbd\xd1\x83\xd0\xbb \xd0\xb5\xd0\xb5. \xd0\x9e\xd0\xbd\xd0\xb0 \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xb0 \xd0\xb7\xd0\xb0\xd0\xbc\xd1\x83\xd0\xb6\xd0\xb5\xd0\xbc. \xd0\xaf \xd0\xb1\xd1\x80\xd0\xbe\xd1\x81\xd0\xb8\xd0\xbb\xd1\x81\xd1\x8f \xd0\xbd\xd0\xb0 \xd0\xbd\xd0\xb5\xd0\xb5, \xd0\xba\xd0\xb0\xd0\xba \xd1\x81\xd1\x83\xd0\xba\xd0\xb0. \xd0\x9d\xd0\xbe \xd1\x8f \xd0\xbd\xd0\xb5 \xd0\xbc\xd0\xbe\xd0\xb3 \xd0\xb4\xd0\xbe\xd0\xb1\xd1\x80\xd0\xb0\xd1\x82\xd1\x8c\xd1\x81\xd1\x8f \xd1\x82\xd1\x83\xd0\xb4\xd0\xb0. \xd0\xaf\xe2\x80\xa6 https://t.co/CzOYqZfZCa'"
938942649352032257,2017-12-08 01:25:46,"b'@realDonaldTrump Shame America couldn\'t use the ""Attorney-client Priviledge"" defense.'"
938854749323046912,2017-12-07 19:36:29,b'@mariahslut Goebbels and Ghandi'
938595825101496320,2017-12-07 02:27:37,"b""@realDonaldTrump Trump\n\nMake America Smoke Again\n\nHey, isn't that also N Korea's goal?"""
938595305615867904,2017-12-07 02:25:33,b'@realDonaldTrump \xd0\xb4\xd0\xb0\xd0\xb9\xd1\x82\xd0\xb5 \xd0\xbc\xd0\xbd\xd0\xb5 \xd0\xb1\xd0\xbe\xd0\xbb\xd1\x8c\xd1\x88\xd0\xb5 \xd0\xb4\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb3'
938147907408101376,2017-12-05 20:47:45,b'@vlwins @SenFranken True'
937919631343476737,2017-12-05 05:40:40,"b""RT @TheTweetOfGod: I know for a fact that Donald Trump has a very small penis.\n\nPlease retweet this enough that he can't help but respond.\xe2\x80\xa6"""
937876777950687232,2017-12-05 02:50:23,b'@robreiner Perjury is a walk in the park for this toasted monkey splooge'
937700466078765056,2017-12-04 15:09:47,b'@realDonaldTrump 13 women have accused Trump of sexual assault or harassment:\n\nNatasha Stoynoff\nRachel Crooks\nCathy\xe2\x80\xa6 https://t.co/ut78vt17wE'
937700390216355840,2017-12-04 15:09:29,b'@realDonaldTrump @foxandfriends 13 women have accused Trump of sexual assault or harassment:\n\nNatasha Stoynoff\nRach\xe2\x80\xa6 https://t.co/0a1XfZoHgO'
937700314144264192,2017-12-04 15:09:11,b'@realDonaldTrump 13 women have accused Trump of sexual assault or harassment:\n\nNatasha Stoynoff\nRachel Crooks\nCathy\xe2\x80\xa6 https://t.co/pHYotyoPsE'
937553051459706880,2017-12-04 05:24:01,"b""@SarahHuckabee Preach\n\nWhat's your job again?"""
937525020921860096,2017-12-04 03:32:38,b'@realDonaldTrump Journalists - good shape\nFBI  - good shape\n\nTrump name - TBD'
937524156232622081,2017-12-04 03:29:11,b'@realDonaldTrump @ABC U have no clue\n\nPeople now hope you literally die'
937523933787586560,2017-12-04 03:28:18,"b'@realDonaldTrump Trump: Officer, I must have left my credibility in my other pants.'"
