id,created_at,text
940082378424303616,2017-12-11 04:54:39,"b'@realDonaldTrump @CNN Like you when you were begging your father for money, Jamaica\n  Savings Bank had something to\xe2\x80\xa6 https://t.co/eiXaJIRW59'"
939706821006282752,2017-12-10 04:02:19,"b""@realDonaldTrump @CNN You really don't believe that it's just CNN and Affiliates that are mistakenly putting out er\xe2\x80\xa6 https://t.co/BY4kDYN7Ow"""
938609988754427907,2017-12-07 03:23:54,b'@realDonaldTrump How about make the planet great again.'
938243795816189954,2017-12-06 03:08:47,"b'@AnnCoulter Are you kidding me, I guess everybody can be bought'"
938242623705436160,2017-12-06 03:04:07,"b'RT @cnnbrk: Environmental and conservation groups are suing President Trump, alleging that he does not have the authority to dramatically s\xe2\x80\xa6'"
937877952100012033,2017-12-05 02:55:03,b'@BBCWorld Saudi America'
937520777838161920,2017-12-04 03:15:46,b'@realDonaldTrump president Donald J Trump. Please try to sow seeds of unity not division. Remember the old quote Do\xe2\x80\xa6 https://t.co/IxXXHhA8a4'
937158784673345536,2017-12-03 03:17:20,b'a sunset via Dallas Texas https://t.co/6XhzdkdgJ0'
936793705955991556,2017-12-02 03:06:38,"b""@realDonaldTrump Donald I'm with you on this one I do not agree with the jury. He should have got manslaughter at least."""
936418163591471104,2017-12-01 02:14:22,"b""@jessebwatters Stop it it's not the militant left it's just a bunch of a-holes and everybody's got one. You are doi\xe2\x80\xa6 https://t.co/2CshHuUrJW"""
936085267613736961,2017-11-30 04:11:34,b'@realDonaldTrump WHEN! Same old story. Unless we have a Chinese on our side everything we do is for naught !'
935718523942432770,2017-11-29 03:54:15,"b'@AnnCoulter Now children sit your own chairs, and Donald act your age.'"
935716316870258688,2017-11-29 03:45:29,b'@realDonaldTrump \xf0\x9f\x98\x82\xf0\x9f\x98\x86\xf0\x9f\x98\x87\xf0\x9f\x98\x88'
935358935757938693,2017-11-28 04:05:23,"b""@BarackObama Same here, but a prince I think it's a good start. May they always be honest with each other. And on a\xe2\x80\xa6 https://t.co/4QU7fZGPfk"""
934995449257357312,2017-11-27 04:01:01,b'@BBCNewsAsia @BBCWorld The Four Horsemen'
934975942757404672,2017-11-27 02:43:30,b'@realDonaldTrump Mr. President listen to me do not dwell on the past you are the president what is being said has n\xe2\x80\xa6 https://t.co/gaMZhG8VZI'
934252766138159104,2017-11-25 02:49:51,b'@jessebwatters @IngrahamAngle Hey Jessie did anybody ever tell you you look like Bob Denver. Hope you all had a gre\xe2\x80\xa6 https://t.co/epblc58Jx5'
933543297359982592,2017-11-23 03:50:41,"b""Happy Thanksgiving to one and all, and if you can help your fellow Earthlings, cuz it could be next year you're the turkey at dinner.\xf0\x9f\x91\xbd\xf0\x9f\x8d\x97\xf0\x9f\x98\x82"""
933180953379377152,2017-11-22 03:50:51,"b""@jessebwatters Don't tell me the cancelled you? Have a Happy Thanksgiving"""
933168823460511744,2017-11-22 03:02:39,b'@realDonaldTrump I am not your biggest fan by far but I hope you and yours have a Happy Thanksgiving.\xe2\x9c\x8c'
932815273761083392,2017-11-21 03:37:46,"b""@AnnCoulter Ann I didn't know  there was a best part of sexual harassment."""
932805159511576576,2017-11-21 02:57:35,b'@BarackObama @JoeBiden Hey Barack you think you can give me a shout out next week is my birthday. My wife says you\xe2\x80\xa6 https://t.co/XwWqdZZDoH'
932454330438909954,2017-11-20 03:43:31,"b""@realDonaldTrump You were just in China right? It's an impressive wall they've got over there but it didn't work th\xe2\x80\xa6 https://t.co/T3vsxuc2jl"""
932094672163524608,2017-11-19 03:54:21,"b""RT @FoxNews: Florida man fights eviction over 'emotional support squirrel'  https://t.co/wnVpTjzupu @WattersWorld https://t.co/UwqKiBfv2F"""
932063181022875648,2017-11-19 01:49:13,"b""@Jojalisra @NancyPelosi @realDonaldTrump But your best friend said you didn't vote in the presidential election"""
932062208313430016,2017-11-19 01:45:21,b'@NancyPelosi Definitely on your side but it will take a lot of Republicans to change the way the tax reform is going!'
931714691843411969,2017-11-18 02:44:27,b'@BenMBland @BBCWorld @BBCNews @BBCNewsChannel Make sure you have to have your picture I.D. and green card ready if\xe2\x80\xa6 https://t.co/9qI6rjySIX'
931395020988481536,2017-11-17 05:34:12,"b""@BBCNewsAsia @BBCWorld Let's break this down, the palm oil industry is growing exponentially. So number one you hav\xe2\x80\xa6 https://t.co/WYif3yk3kH"""
931383408755986432,2017-11-17 04:48:03,b'https://t.co/HnrjPFLUJx'
931373034774171648,2017-11-17 04:06:50,"b""@cnnbrk It's not even a hundred percent sure that it Leonardo himself did it. But there was many Restorations to it\xe2\x80\xa6 https://t.co/N8xOqEp3VA"""
931366389264338944,2017-11-17 03:40:25,b'@cnnbrk I think Leonardo would agree with me what are you freaking nuts!'
931365805735936000,2017-11-17 03:38:06,b'https://t.co/dO1wquolPU'
931012394830237698,2017-11-16 04:13:46,"b'@benshapiro @AnnCoulter Abuses are abuses, no excuse for perversion, your party affiliation has nothing to do with it.'"
930992390906761216,2017-11-16 02:54:17,"b'@JimDD942 @PRyan @SenateMajLdr @realDonaldTrump @VP @SenTedCruz @marcorubio @GenFlynn @GOP @SenateGOP @HouseGOP A noose, sad and sick'"
930991832028401664,2017-11-16 02:52:04,b'@JimDD942 @PRyan @SenateMajLdr @realDonaldTrump @VP @SenTedCruz @marcorubio @GenFlynn @GOP @SenateGOP @HouseGOP You\xe2\x80\xa6 https://t.co/KfkSHMKtEH'
930988444146393088,2017-11-16 02:38:36,"b""#TraitorTrump to all the people who believe Trump is a traitor I cannot disagree or agree, I do believe he's not fi\xe2\x80\xa6 https://t.co/qh97lMKUZq"""
930975855072989185,2017-11-16 01:48:35,"b""@realDonaldTrump @nytimes I think you've been looking in the mirror too much Donnie"""
930973557378740224,2017-11-16 01:39:27,"b""@realDonaldTrump @CNN If the news doesn't go your way it's fake, let me guess Fox is the only truthful news for you!"""
930647820901736448,2017-11-15 04:05:05,"b""Just finished  watching the Vietnam War, a war with just casualties. It mirrors what's going on today in the Mideas\xe2\x80\xa6 https://t.co/jFS1kysWo4"""
930626270454517761,2017-11-15 02:39:27,"b""@AnnCoulter You don't send me tweets anymore"""
930621186949738505,2017-11-15 02:19:15,b'@AnnCoulter This one goes to you Ann. Funny!'
930586924233953281,2017-11-15 00:03:06,b'@realDonaldTrump tell me president McDonalds exactly what did you accomplish? sounds like a2 week vacation to me.'
930286877646708736,2017-11-14 04:10:50,"b""@IvankaTrump You're kidding me. The U.S.  has to catch up with the Asian countries that Supply practically everythi\xe2\x80\xa6 https://t.co/gzE6ID5KrY"""
930244755363164160,2017-11-14 01:23:27,"b""@AnnCoulter @joyceonair Got it Ann, pedophiles, and they're like should go straight to jail with proof of perversio\xe2\x80\xa6 https://t.co/nOMVWVJYgm"""
930207157387255809,2017-11-13 22:54:03,"b""@AnnCoulter Hey Reps! Ann Coulter had an affair with a 19 year old picture of herself oh, and I think it's going on still!"""
929932521231536129,2017-11-13 04:42:45,"b'@AnnCoulter Was that when the CIA taught  dolphins to speak. ""Cuban "" ?\''"
929909877639704576,2017-11-13 03:12:46,"b""@cnnbrk There are no borders it's one planet, get used to it people, and bless all the dead and injured. Amen"""
929896099313221637,2017-11-13 02:18:01,b'@attackerman Tell me why I should follow you.?'
929569347319795713,2017-11-12 04:39:37,"b""Senator Rand Paul don't mess With Another man's shrubbery, he evidently warned you before?\xf0\x9f\x8c\xb1"""
929559062118879233,2017-11-12 03:58:45,"b'I think the meeting and Q&amp;A with President Quang and president Trump went well, heel spurs and all\xf0\x9f\x98\xa8'"
929484851794849792,2017-11-11 23:03:52,"b'@PeterAlexander Unfortunately they are both pathetic Liars. At the old saying goes, repeat a lie enough and enough\xe2\x80\xa6 https://t.co/OeZsfopMXx'"
928832038823776256,2017-11-10 03:49:49,"b'RT @cnnbrk: Actor John Hillerman, best known for his role as Jonathan Higgins in the detective TV series ""Magnum, P.I."", has died at 84 htt\xe2\x80\xa6'"
928769665005998080,2017-11-09 23:41:58,"b""@JxhnBinder @AnnCoulter You've got to be kidding me, Europeans pillage and and raped this country to make it theirs\xe2\x80\xa6 https://t.co/uBubGvlOtx"""
928682941315731456,2017-11-09 17:57:21,b'@realDonaldTrump Donnie you know that China right is a communist country with very bad civil rights for its citizen\xe2\x80\xa6 https://t.co/MOd5ZWuP6m'
928682068711747585,2017-11-09 17:53:53,"b""@AnnCoulter @realDonaldTrump Didn't work for the Chinese it ain't going to work for us moron"""
928488119464353792,2017-11-09 05:03:12,"b'@Earth_Patriot1 @Scavino45 @POTUS @realDonaldTrump @FLOTUS @BarackObama Trump has done no wrong,#u.r.ntz'"
928484360591937541,2017-11-09 04:48:16,b'@Scavino45 @POTUS @realDonaldTrump @FLOTUS Where are the tanks?'
928434828147658753,2017-11-09 01:31:27,"b'@realDonaldTrump You are kidding me mr. Trump, seems like when your on the other side of the world there is an alte\xe2\x80\xa6 https://t.co/0RpU8dbLl5'"
928121089275891712,2017-11-08 04:44:45,"b""@williamlegate @konskicoco @realDonaldTrump # stop the hate, it's time to negotiate. Before it's too late, and we'r\xe2\x80\xa6 https://t.co/7zCqPOiDrB"""
928115573480935424,2017-11-08 04:22:50,"b'@realDonaldTrump Perchance to dream when death is only caused by a age, not War, perchance #sweet dreams.'"
928111132044390402,2017-11-08 04:05:12,"b'@realDonaldTrump This cannot be something you really said, fake news from, YOU\n.'"
928101051076612096,2017-11-08 03:25:08,"b""@realDonaldTrump Sounds like you're just kissing butt over there, is it me or are you just a\n pompous ass in your country? Donnie world"""
927746787795972096,2017-11-07 03:57:25,b'https://t.co/nAvOr7RKwW'
927708078962855936,2017-11-07 01:23:36,"b'@BarackObama Speaking of voting I would love to see your wife Michelle become the first woman president, any thoughts about it?'"
927706775587053568,2017-11-07 01:18:25,"b""@BarackObama If you don't vote don't bitch, better yet if you don't vote# shut your piehole!"""
927701848525504512,2017-11-07 00:58:51,"b""@GuyNamedBrown @ScienceCounts @ guy named Brown, it'd be nice to see a little space rock hit you in the head, so yo\xe2\x80\xa6 https://t.co/NqxjaHEYRZ"""
927672974475517953,2017-11-06 23:04:07,"b""@jessebwatters @TheFive Jessie going to announce Your Allegiance to the DNC? Oh by the way how come you haven't had\xe2\x80\xa6 https://t.co/PIEhx8aW5P"""
927376761444339712,2017-11-06 03:27:04,"b""@AnnCoulter Do you know if Trump and Abe had a side bet on that I don't play that much golf Trump! they post their\xe2\x80\xa6 https://t.co/EcmaX58OwN"""
927373167974285314,2017-11-06 03:12:47,b'@AnnCoulter You sound like an ambulance chaser'
927363058913239040,2017-11-06 02:32:37,"b'Bless the victims and their families of Sutherland Springs Texas.I fear 4 the worst,more guns and more easily lead people happy holidays'"
927033918909550593,2017-11-05 04:44:44,"b""@SueinRockville @MsJenMcIlrath It's just  people who can be bought and sold.A.K.A., lobbyist's, wannabes and cowards"""
927021257119367168,2017-11-05 03:54:25,"b""@realDonaldTrump Go Donnie go are you going to wrestle Putin in Vietnam? I'll bet you would run away, heal spur and all!"""
927018699101491202,2017-11-05 03:44:15,"b'@realDonaldTrump That must have been great president Trump, you are great in the understanding of verbs and adverbs, you are the greatest!'"
927010485123371009,2017-11-05 03:11:37,"b""Just a wish for the New York City marathon tomorrow# run for peace,the planet's health, and unity. Be safe, NYPD will be looking after you"""
927006672949784577,2017-11-05 02:56:28,"b""@AnnCoulter And your point is? What? They were lone wolves, Vegas's mass murderer  the lost a lot of money, NYC, internet bred A-hole."""
926662631641047040,2017-11-04 04:09:22,"b'Just a thought women have been subjugated since time immoral, sad but true it exist worldwide in every religion especially'"
926656299638681600,2017-11-04 03:44:12,"b""@FoxNews @jessebwatters Hey Jessie you have been In Harm's Way I doubt it. you would probably run the other way, just my opinion."""
926650665056768000,2017-11-04 03:21:49,"b""@realDonaldTrump @PacificCommand @FLOTUS Have a nice time in Hawaii where Obama wasn't born I'm sure you'll bring t\xe2\x80\xa6 https://t.co/4LchZcfvtY"""
926603974224039936,2017-11-04 00:16:17,"b""Without science I could not tweet. Although that'll be good for the president Trump and his Twitter Twerps"""
926601239932162049,2017-11-04 00:05:25,b'https://t.co/tTbPUH0fLY'
926291162998198272,2017-11-03 03:33:17,"b""@krassenstein There's an old saying if it's not broke don't fix it but it doesn't mean you can't update it"""
926288976725635073,2017-11-03 03:24:36,b'Could be My Imagination or is it really more people on Twitter retweet then have an actual thought?'
926286919914401794,2017-11-03 03:16:25,"b""Here come the jets like a bat out of hell someone gets in their way someone don't feel so well, Super Bowl bound!"""
926284200164151296,2017-11-03 03:05:37,b'https://t.co/2Qtuf5GKeJ'
926243939207827461,2017-11-03 00:25:38,"b""@jfreewright You're dreaming if you think Mueller's investigation is going to get anybody close to Trump\xf0\x9f\x98\x82"""
926216875960348672,2017-11-02 22:38:06,"b""@realDonaldTrump You're mad Prez, I'd like to see you spend one day in a coal mine working or in a coal power plant\xe2\x80\xa6 https://t.co/8HsMbBdOBD"""
925936315329384448,2017-11-02 04:03:15,"b""@AnnCoulter That's about as funny as you mugging with Bill O'Reilly"""
925935790588391424,2017-11-02 04:01:10,"b'Congratulations Houston, great series great game'"
925871327499694080,2017-11-01 23:45:00,"b""@MelissaakaMom @keithboykin Because you need a license to rent a truck, and trucks Don't Kill only drivers do. Don'\xe2\x80\xa6 https://t.co/o8LoM3PPEO"""
925859164760526848,2017-11-01 22:56:41,"b'@keithboykin @MsJenMcIlrath How about  vetting and a National Database 4 anyone who buys Guns, &amp; ammo in mass quant\xe2\x80\xa6 https://t.co/yqwNxQViHX'"
925539004166168576,2017-11-01 01:44:28,"b""Let's go stros, it's your game to win do it!"""
925200937999896576,2017-10-31 03:21:07,"b""@vdare @PhelimMcAleer The truth is subjective, one person's truth, blindly can be Quantified though the amount of people that believe it"""
925169395382587392,2017-10-31 01:15:47,b'@TeaPainUSA Trump no matter what it takes no matter who he drives the bus over no one is going to stop from going full- term'
925166429435039744,2017-10-31 01:04:00,"b'@TeaPainUSA Exactly what the administration wants distraction diversion, confusion and realize the swamp is more flooded than ever! Wake up'"
925164341648904192,2017-10-31 00:55:42,b'@TeaPainUSA you will see that you doing'
925161022545068032,2017-10-31 00:42:31,"b'@AnnCoulter I agree, although some pitchers are saying the World Series ball is different? Would love the Astros wi\xe2\x80\xa6 https://t.co/cBDDKlF9lj'"
924826661836570624,2017-10-30 02:33:53,"b'@cnnbrk ,'"
924821664101171205,2017-10-30 02:14:01,"b""Houston has tied the Dodgers for now, I don't think it's going to be Houston's night though."""
923365710134378501,2017-10-26 01:48:35,"b'@AnnCoulter I trust only you Ann, was Fats Domino killed because of the release of the JFK files?'"
923359796262244352,2017-10-26 01:25:05,"b""@realDonaldTrump That's great mr. President. Although don't you find watching water come to a boil so interesting"""
923348676499705858,2017-10-26 00:40:54,"b""Let's go Astros, time to spank that ball out of the park!"""
923348095181737984,2017-10-26 00:38:35,b'@FOXSports Class Acts Scully and Venezuela'
923000490949931010,2017-10-25 01:37:20,"b""What a great start to the World Series and it's only the 6th"""
922664939311042560,2017-10-24 03:23:58,b'@TheEllenShow @MsJenMcIlrath @UHouston World Series tickets of course'
922660140037394432,2017-10-24 03:04:54,"b""@realDonaldTrump Except for Fox News and their affiliates, they own the real news right president Donnie, say hi to Bill O'Reilly for me"""
921943375221280768,2017-10-22 03:36:44,"b""@realDonaldTrump president Trump please stop semi- automatic weapons being turned into automatic weapons, don't let the NRA control you"""
921554480109408256,2017-10-21 01:51:24,"b""@Mets Happy birthday Keith! Hall of Famer &amp; in one of the best Seinfeld's ever\xf0\x9f\x98\x82"""
920458161185742848,2017-10-18 01:15:01,b'@jessebwatters @TheFive Do me a favor do not let the public forget Puerto Rico'
919689698611691521,2017-10-15 22:21:25,b'@realDonaldTrump Mr. President please answer this one question for me. Is all the news fake unless it comes from yo\xe2\x80\xa6 https://t.co/LffRlGdPtX'
917942839446769664,2017-10-11 02:40:02,b'@realDonaldTrump Donny you should start your own paper and media Empire then you can State your views no fake news'
917895538758115328,2017-10-10 23:32:04,b'@realDonaldTrump Why are you worrying about the NFL and the anthem with such a high IQ you should be king of the wo\xe2\x80\xa6 https://t.co/8b8c8rAh2J'
917564516455477248,2017-10-10 01:36:42,b'VP Pence walking out of the game just creates more division. And unfortunately it seems planned. As your boss would say sad\xf0\x9f\x98\x95'
917548383191126017,2017-10-10 00:32:36,"b""Mr. President Senator Corker's tweet speaks volume's. Take a Hint from his name put a cork in it!"""
917546720237543424,2017-10-10 00:25:59,b'@jessebwatters @TheFive Brain cells !'
916513469108715520,2017-10-07 04:00:13,"b""Now it's Christopher Columbus, he thought the world was flat, I believe he thought he was of the coast of India, now stop it!"""
916506128439234560,2017-10-07 03:31:03,"b'@Mets @You_Found_Nimmo David I hope the surgery works but you need a front office job not on the field, aging out.'"
916111421955624961,2017-10-06 01:22:38,"b""@cnnbrk That's great, just too bad it doesn't happen bipartisanship that is, when they're in office."""
915746856621264897,2017-10-05 01:13:59,"b'Do the math in any developed country mass murder is much less then the US. , ban assault weapons, and limit sales per year for all guns'"
915735527764131843,2017-10-05 00:28:58,"b'President Trump will you at least listen to the gun laws Australia has, no mass murders since they changed the guns the law in 1996, listen'"
915726163024187392,2017-10-04 23:51:45,b'And once again gun sales are up even though we have a Republican president. Sad'
915725916495544320,2017-10-04 23:50:46,"b'My heart bleeds for the people in Vegas that were injured and killed, it will happen again unfortunately until we stop the lobbyists,NRA!'"
915353097723158529,2017-10-03 23:09:19,"b'Donald mr. President stop stroking yourself, you are far from the greatest president you just happen to be the latest like a vacuum you suck'"
