id,created_at,text
940089320337154049,2017-12-11 05:22:14,b'@7brdgesroad @realDonaldTrump At this point Americans need to take up arm against the government. Stop fighting eac\xe2\x80\xa6 https://t.co/BAt4ZZ9tUW'
940087890037452800,2017-12-11 05:16:33,b'@realDonaldTrump BS. You\xe2\x80\x99re demented. Disgusting.'
940084169664708608,2017-12-11 05:01:46,b'@realDonaldTrump How about the no news on the Vegas massacre and the two government helicopters actually shooting into the crowd?'
940083498173456385,2017-12-11 04:59:06,b'@SarahKSilverman Speechless'
916102721857642496,2017-10-06 00:48:03,"b'\xf0\x9f\x92\x9aI love 2 love you, baby\xf0\x9f\x92\x9a'"
911630383053262848,2017-09-23 16:36:35,"b""@tbailey7701 @SenJohnMcCain Yes!!! Single payer. Medicare for all!  Private insurers are what's taking our money &amp;\xe2\x80\xa6 https://t.co/FTmXJnIQOW"""
908516642874781697,2017-09-15 02:23:41,"b'Driving thru ruined power lines for 4 days now. No repairs in sight. Dying with no electricity in Highlands county, Fl. Abandoned heartland'"
907739072625610752,2017-09-12 22:53:54,b'Highlands County hit hard by eye wall. No electricity or gas for days.'
903059645308297217,2017-08-31 00:59:32,b'@realDonaldTrump Cut them off from the $$$'
903046631523790849,2017-08-31 00:07:49,b'Check out 1984 Doug Bair Autographed Detroit Tigers Baseball Card (Donruss #369) #DetroitTigers https://t.co/CsDWWjf5A1 via @eBay'
902709967928475648,2017-08-30 01:50:02,b'RT @Rosie: sue that asswipe!!!! https://t.co/1uk0JQuRS2'
902362588834648065,2017-08-29 02:49:40,b'@rodblackhurst It was safe. By not looking at it longer than I would on any other day.  No problem. Then I used my\xe2\x80\xa6 https://t.co/Xiuq8SOvE4'
902161091807125507,2017-08-28 13:29:00,b'RT @ChrisCJackson: This motherfucker bragged about winning Missouri while I was helping the Coast Guard load seniors into helicopters. http\xe2\x80\xa6'
902022650586959872,2017-08-28 04:18:53,"b'@realDonaldTrump Any more bad news, Donald?'"
901616696833826821,2017-08-27 01:25:46,b'@BettyBuckley @marteeno9 Despicable!  Much work for DOJ to bring law enforcement to justice for their high crimes a\xe2\x80\xa6 https://t.co/KQEu1hhk2d'
901591630913957891,2017-08-26 23:46:10,b'@BetteMidler Words are not enough at this point. Serious action needs to be taken.'
898961778801094656,2017-08-19 17:36:04,b'Have you heard \xe2\x80\x98Try To Understand Me\xe2\x80\x99 by Adam Abbott (Dennis Dick) on #SoundCloud? #np https://t.co/yW1ndliFLQ'
894318900975984644,2017-08-06 22:06:56,b'@BetteMidler Non profits with executive salaries in the millions... Blue Cross is always For profit'
888548666004385792,2017-07-21 23:58:05,"b'RT @Kabbalahinfo: Egoism repels us from connection, and simultaneously, nature pressures us towards connection. As a result, the person fee\xe2\x80\xa6'"
886394336367325188,2017-07-16 01:17:32,b'I love spending time with my friends on Zoom. https://t.co/fnW6EWaK6r'
886393101203460096,2017-07-16 01:12:38,"b""Just started using @Zoom_us -my first experience with video conferencing that doesn't suck. Check it out here. https://t.co/Jt7qzJAu8H"""
878754420661657600,2017-06-24 23:19:15,b'@realDonaldTrump I agree. They should have!'
846701602622836736,2017-03-28 12:32:47,b'@JoeSquawk As a news personality how do you think your viewers feel about your political influence in our financial news? I hate it.'
844342424910647296,2017-03-22 00:18:15,b'RT @justin_kanew: SHE WARNED US. https://t.co/oCI6IOQMka'
829384861467172865,2017-02-08 17:42:14,"b'@realDonaldTrump The U.S. is not DOJ. When the 3 branches of government respect one another, we all win. Rewrite your defective order.'"
823590246818279426,2017-01-23 17:56:31,"b""RT @8Abbottt: Dear President Trump: Be a Hero &amp; sign an executive order to reclassify marijuana. It's not a class A narcotic. End the gov't\xe2\x80\xa6"""
823574104431267840,2017-01-23 16:52:22,"b""Dear President Trump: Be a Hero &amp; sign an executive order to reclassify marijuana. It's not a class A narcotic. End the gov't injustice."""
822522753957986304,2017-01-20 19:14:40,"b""@IvankaTrump I'm very happy that you are going to be there with your father. Keep up the great work!"""
797778296809410560,2016-11-13 12:29:02,b'@BarbaraCorcoran @ChiLantroBBQ   What did the man do when he lifted you and gave hugs?  You seemed like you got molested.'
797271988301611008,2016-11-12 02:57:09,b'What just happened on shark Tank to Barbara when she got that hug and then she started grabbing her ass and called the guest disgusting.'
