id,created_at,text
940370656868237312,2017-12-12 00:00:10,b'@lorde Congrats!!'
940073935952941056,2017-12-11 04:21:06,b'@PattyArquette @realDonaldTrump EXACTLY'
940073740624265218,2017-12-11 04:20:20,b'@realDonaldTrump Why is it that you pick the most insignificant subjects to get a woody over. The world is explodin\xe2\x80\xa6 https://t.co/vsL603ge11'
940071833247682561,2017-12-11 04:12:45,"b'RT @MuslimIQ: God almighty this is depressing\xf0\x9f\x98\x93\n\n""When scientists say bears are going extinct, I want people to realize what it looks like,""\xe2\x80\xa6'"
940071197529686017,2017-12-11 04:10:13,"b'RT @MSNBC: Pussy Riot co-founder says she wants to ""punch Roy Moore in the face"" https://t.co/IFICSdlGJn https://t.co/uPkS6LLiwU'"
940070785342783488,2017-12-11 04:08:35,b'@StephenKing Omg.....now this song gives me the fucking creepies'
939986735462674437,2017-12-10 22:34:36,b'@leshadc @Pajjr2016 @gentlemindmom @redbaybound @FoxNews @JudgeJeanine Always amazes me that folks think this shit\xe2\x80\xa6 https://t.co/jwfH99GI7r'
939983689596801025,2017-12-10 22:22:30,b'@realDonaldTrump Thanks Obama'
939983448399212544,2017-12-10 22:21:32,"b""@realDonaldTrump How would you know....aren't you in Florida this week having ANOTHER vacation on the country's dime?"""
939982972190572544,2017-12-10 22:19:39,b'@MooreSenate Pedo alert. Pedo alert. All hands on deck......PEDO ALERT!!'
939982684037582848,2017-12-10 22:18:30,b'@realDonaldTrump The only stain I know about is in your tighty whities behind your bathroom door. \n\nPerhaps quit be\xe2\x80\xa6 https://t.co/uNsyqNg0RR'
939609330990571520,2017-12-09 21:34:56,"b'@realDonaldTrump The amount of shit that comes out of you, is definitely a gratuitous paper laden, two handed job.\xe2\x80\xa6 https://t.co/Dvkzopr6yr'"
939404761899581440,2017-12-09 08:02:03,b'@realDonaldTrump *kneels*'
939296510025482240,2017-12-09 00:51:53,b'@neeratanden @paulkrugman Gross'
939240699278516224,2017-12-08 21:10:07,"b""@dwallacewells Been saying this very thing for years. Don't understand it. :("""
939239441025003520,2017-12-08 21:05:07,b'RT @chrismassie: Wanted to share a video of Roy Moore in 1997 arguing that kids commit drive-by shooting because they are taught evolution\xe2\x80\xa6'
939238365467000832,2017-12-08 21:00:51,b'@realDonaldTrump @SecretaryAcosta @USDOL Thanks Obama!!!'
939237163744374784,2017-12-08 20:56:04,"b""@MooreSenate I'm not a Clinton voter, I'm a person with morals and decency......anti everything you are. I love my\xe2\x80\xa6 https://t.co/pPvDYUf1A9"""
939236701913747456,2017-12-08 20:54:14,"b""@CoryBooker My heart can't take much more. This has got to be a new low for modern day America. No matter how small\xe2\x80\xa6 https://t.co/8JO8JFeo6a"""
939235825526587392,2017-12-08 20:50:45,"b""@MooreSenate I'll stand with the devil as long as he leaves my kids alone"""
939235025945485312,2017-12-08 20:47:34,b'@realDonaldTrump LMFAO'
939234926703951872,2017-12-08 20:47:11,b'@MooreSenate When did good Christians start trolling malls for little girls to perv on? Gross little troll.....we see you.'
939234432036114432,2017-12-08 20:45:13,b'@sploosk @realDonaldTrump He promised her candy and puppies.'
939234225462525952,2017-12-08 20:44:24,b'@realDonaldTrump Ladies and Gentleman.....our president of the United Sursh endorsing an accused pedophile. Remembe\xe2\x80\xa6 https://t.co/HR5vfvPcOk'
939233660124803072,2017-12-08 20:42:09,b'@mel4uofa @JerryDunleavy @MooreSenate Thought the same thing. Haha'
939233428653842432,2017-12-08 20:41:14,"b'@MooreSenate Loins.......haha....you..... HAHA.......if you had just kept your loins about you, many women today wo\xe2\x80\xa6 https://t.co/pfGNdVlN7N'"
938819831167463424,2017-12-07 17:17:44,"b""@JuddApatow If you watch the whole thing, not just the slurred bits, you'll see he really has to concentrate on wha\xe2\x80\xa6 https://t.co/vPKDwddKMX"""
938805103804391425,2017-12-07 16:19:13,"b'@realDonaldTrump Tell them about the homeless vet program you just cut!!!! How dare you speak about the military, w\xe2\x80\xa6 https://t.co/ABEnv8toLp'"
938797185075789824,2017-12-07 15:47:45,"b""@realDonaldTrump Quit talking about remembering military loss, when you take away veteran's programs.....like the v\xe2\x80\xa6 https://t.co/kq6G0mcdEU"""
