id,created_at,text
940083720261791750,2017-12-11 04:59:59,b'@TheRealAubu @sleater_michael @crkdlake @Jethro_Aryeh @ShennaFoxMusic @realDonaldTrump Trumpdump.trumo. does it matter?\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82'
940082698726416386,2017-12-11 04:55:55,b'@SteveLaBoss135 @Realjmannarino @realDonaldTrump I pray so!'
940082540978716672,2017-12-11 04:55:18,b'RT @JCannyE: @Realjmannarino @realDonaldTrump Nobody forged the yearbook!!  Stop repeating lies.  The young woman put a date and place unde\xe2\x80\xa6'
940082277886803968,2017-12-11 04:54:15,b'@Realjmannarino @realDonaldTrump you like pedophiles?'
940082026127835136,2017-12-11 04:53:15,b'@realDonaldTrump I hope its not up to pedophiles to make our country great sir'
939910873958764546,2017-12-10 17:33:09,"b""@realDonaldTrump They. can't. that name.belongs to FOX news."""
939619869921824768,2017-12-09 22:16:48,b'@randyjo4626 my husband lived in Germany. He to says Trump acts like Hitler and Muselini . The bit he does with his\xe2\x80\xa6 https://t.co/27LB8e5hSk'
939570119642140673,2017-12-09 18:59:07,b'@realDonaldTrump ya. vote for a Pedafile....he can join the rest of you'
939373836637818880,2017-12-09 05:59:10,b'RT @TheRynheart: @realDonaldTrump \xe2\x80\x98Conservatives Are Scared to Death of Robert Mueller\xe2\x80\x99 It\xe2\x80\x99s so true! \xe2\x98\xba\xef\xb8\x8f https://t.co/wG7RLDvBpe'
939373785655971840,2017-12-09 05:58:57,"b""RT @TheRynheart: @realDonaldTrump \xe2\x80\x98Where Is Trump's Infrastructure Plan?\xe2\x80\x99 Building infrastructure would boost the economy and give people j\xe2\x80\xa6"""
939373568927895552,2017-12-09 05:58:06,b'@realDonaldTrump But. and it is a big but..Jones is not a pedafile! Alabama.  vote Jones!!'
939372582721089536,2017-12-09 05:54:11,b'@UwantSomaThis @sleater_michael @ShennaFoxMusic @realDonaldTrump if I lived there. he would have my vote. I could v\xe2\x80\xa6 https://t.co/1DKML9n9sw'
939372105220743168,2017-12-09 05:52:17,"b""Want $5 to spend on Tophatter? It's like eBay, but all auctions are only 90 seconds. Sign up now!\xe2\x80\xa6 https://t.co/JQ6sM8KZy6"""
939353852360392705,2017-12-09 04:39:45,b'@GingerBurnett13 @sleater_michael @crkdlake @Jethro_Aryeh @ShennaFoxMusic @realDonaldTrump thats true'
939353623955374080,2017-12-09 04:38:50,b'@GingerBurnett13 @visavisitors @sleater_michael @crkdlake @Jethro_Aryeh @ShennaFoxMusic @realDonaldTrump Apparently\xe2\x80\xa6 https://t.co/MZxd8ufjPK'
939343475014819846,2017-12-09 03:58:31,b'@katykrayb @NancyThomasPics @MiltShook @davidaxelrod She caused that with her remark that blew his people off. Even\xe2\x80\xa6 https://t.co/gArznLU7a2'
939342683310575616,2017-12-09 03:55:22,b'@katykrayb @NancyThomasPics @MiltShook @davidaxelrod I dont see it that way. The only exception would bebthe so cal\xe2\x80\xa6 https://t.co/kSpHjKrMMh'
939341748769259523,2017-12-09 03:51:39,b'@katykrayb @MiltShook @davidaxelrod Dems are making a scape goat of him.'
939337949728198663,2017-12-09 03:36:33,"b'RT @davidaxelrod: Dems in Congress should \xe2\x80\x9cabsolutely\xe2\x80\x9d withhold votes for a budget without a solution for the Dreamers, says L.A. Mayor Eri\xe2\x80\xa6'"
939337570441465856,2017-12-09 03:35:03,"b'RT @davidaxelrod: Strange principle is emerging:\nIf you admit misconduct, you resign.  But if you deny it, however compelling or voluminous\xe2\x80\xa6'"
939337447758057472,2017-12-09 03:34:34,b'@davidaxelrod @morningmika Only if you are Republican..Sad. So very sad. President is the biggest pervert but yet no one speaks of it.'
939300079080484864,2017-12-09 01:06:04,b'I am so sic of Trump getting awsy with his crap.'
939276449298767873,2017-12-08 23:32:11,"b""@ResistDawg @IvankaTrump @SpeakerRyan makes you sick doesn't it? Damn Republicans"""
939275374919340037,2017-12-08 23:27:54,b'@LakerSteve @ShennaFoxMusic @realDonaldTrump does me...lol'
939275282455977990,2017-12-08 23:27:32,b'RT @LakerSteve: @ShennaFoxMusic @realDonaldTrump  https://t.co/LAtH8rvDc9'
939275250575007745,2017-12-08 23:27:25,"b""@LakerSteve @ShennaFoxMusic @realDonaldTrump Makes you sick that this is the President doesn't it? dors me"""
939274557395013632,2017-12-08 23:24:40,b'RT @marchinstlouis: @ShennaFoxMusic @realDonaldTrump  https://t.co/uL6QbMJJM5'
939274467842420736,2017-12-08 23:24:18,b'@marchinstlouis @ShennaFoxMusic @realDonaldTrump Biy. is that the truth or what! love it'
939274116338765825,2017-12-08 23:22:54,b'@sleater_michael @ShennaFoxMusic @realDonaldTrump Jones has my vote'
939273879532572672,2017-12-08 23:21:58,b'@sleater_michael @crkdlake @Jethro_Aryeh @ShennaFoxMusic @realDonaldTrump Trump or Moore? Trumo has 16 but nobody s\xe2\x80\xa6 https://t.co/3jEEY4DDcg'
939272619890790401,2017-12-08 23:16:58,b'@ShennaFoxMusic @realDonaldTrump You are a true and faithful wife. Blind to your husbands faults but true and faith\xe2\x80\xa6 https://t.co/YGms3k6JiF'
939191347730419712,2017-12-08 17:54:01,b'@novablue18 @SusanNow3 Good question'
939191122508877825,2017-12-08 17:53:07,b'RT @SusanNow3: The 16 women who accused Trump of sexual assault are telling their story in one video. \nPlease share this far &amp; wide. \nEvery\xe2\x80\xa6'
939190897903853569,2017-12-08 17:52:14,"b""@MikeEmanuelFox @FoxNews maybe you won't ahree with me.. but back in the daybwhen most of these alleged women were\xe2\x80\xa6 https://t.co/36JmbK8qf1"""
939187583984324610,2017-12-08 17:39:03,"b""@MikeEmanuelFox @FoxNews won't happen. They are Republucans.  same with Trump."""
