id,created_at,text
940106950095671296,2017-12-11 06:32:17,"b""@Realitycommunic @EladRatson @JustHallel It don't belong to you. It was stolen and giving to you. I guess like what\xe2\x80\xa6 https://t.co/XaN9ZmDV9r"""
940106231674372096,2017-12-11 06:29:26,b'@FoxNews @POTUS Apparently Electoral college whoever the Hell she or he is accounts for 3 million votes.'
940106039503986689,2017-12-11 06:28:40,b'@FoxNews @POTUS Naw he was elected by a rule that was implemented so slave STATES and racist could have a vote for\xe2\x80\xa6 https://t.co/AWRDAFBfOg'
940105075959111680,2017-12-11 06:24:51,b'@tmccain2010 @LindseyGrahamSC @POTUS @realDonaldTrump I think he did it on his own'
940104978319814656,2017-12-11 06:24:27,b'@LindseyGrahamSC @POTUS @realDonaldTrump Shame on you Graham. You took an oath to always uphold our country first!! No MORALS'
940104692142522368,2017-12-11 06:23:19,b'@LindseyGrahamSC @POTUS @realDonaldTrump This is unethical!!! This is completely unethical!!! Why is this being all\xe2\x80\xa6 https://t.co/tHVPBl4hMz'
940103853554282496,2017-12-11 06:19:59,b'@LindseyGrahamSC @POTUS @realDonaldTrump Is this an official government account you promoting the President PRIVATE\xe2\x80\xa6 https://t.co/6m4YAgJch9'
940102557908680705,2017-12-11 06:14:50,b'@NGScott_NZ @EladRatson @StandWithUs Exactly!!!!'
940102341017067520,2017-12-11 06:13:59,b'@EladRatson @JustHallel Funny how people who take up for this BLASPHEMY stop at a certain point in history so they\xe2\x80\xa6 https://t.co/auT9mIPNcA'
940101865064210432,2017-12-11 06:12:05,b'@EladRatson @JustHallel The land belong to the original heebo people so since you up here wanting to spit so call k\xe2\x80\xa6 https://t.co/8vyRDpyiIB'
940100967592161281,2017-12-11 06:08:31,b'@FoxNews @michellemalkin Your state ranks nearly last on every category and number 45 or 46 overall. It has voted R\xe2\x80\xa6 https://t.co/6JReW54QTN'
940094142054412288,2017-12-11 05:41:24,"b""@thatonebria I'm pretty funny\n I'll voice a character for you\n Help write scripts"""
940093770476929024,2017-12-11 05:39:55,b'@GDouglasJones Your state ranks nearly last on every category and number 45 or 46 overall. Its voted Republican at\xe2\x80\xa6 https://t.co/eZFxFeO8wS'
940093494688755713,2017-12-11 05:38:49,"b""@GDouglasJones You can't get any lower then that. 70 years UNDER Republican control. \nHow do dems take the blame fo\xe2\x80\xa6 https://t.co/hkodvn2PF3"""
