id,created_at,text
940365697036705793,2017-12-11 23:40:27,b'Trump\xe2\x80\x99s whirlwind bromance https://t.co/PfqG0a7WxM'
940088850453377026,2017-12-11 05:20:22,"b'@realDonaldTrump Yes, Fox was forced to pull their fake story on Moores accuser forging yearbook!'"
940088431346049025,2017-12-11 05:18:42,"b'@realDonaldTrump Sorry, that honor belongs to Fox News'"
940088043397988353,2017-12-11 05:17:10,"b""@realDonaldTrump Unless you're an NFL player...then it's shut up, stand up or else!"""
940074531695214592,2017-12-11 04:23:28,b'I liked a @YouTube video https://t.co/GkMcpOnxxX Phil Meslow Owes More Taxes'
939604333028675589,2017-12-09 21:15:04,b'I liked a @YouTube video https://t.co/wSk5o51JNt BEST BUDGET GAMING KEYBOARD! | Tecknet Gryphon Pro LED Keyboard &amp; Mouse Set Review'
939601504264126464,2017-12-09 21:03:50,b'I liked a @YouTube video https://t.co/3cacxJfuFg My Tecknet Gryphon Pro Gaming Keyboard And Mouse Set Review'
939241821410091008,2017-12-08 21:14:35,"b'I liked a @YouTube video https://t.co/tXi1UJgM91 Holidays with Pastor Uncle | Craig - Detroit, MI | Atheist Experience 20.49'"
939201273160699906,2017-12-08 18:33:27,b'I liked a @YouTube video https://t.co/asWIRNEcec Tom Segura Completely Normal 2014'
939171470621724672,2017-12-08 16:35:02,b'I liked a @YouTube video https://t.co/B7XWYKzB9k Has Evidence for the Supernatural | Keith - Ohio | Atheist Experience 21.08'
939038070472445952,2017-12-08 07:44:57,b'I liked a @YouTube video https://t.co/vUMGcrJTNO Joe Rogan Newest 2017 - Joe Rogan Stand Up Comedy Full Show'
938831096162209793,2017-12-07 18:02:30,b'I added a video to a @YouTube playlist https://t.co/qoSknh0AI9 Shelley Segal Saved'
938270158061219841,2017-12-06 04:53:32,"b'I liked a @YouTube video https://t.co/MTHz6kNHk8 Evidence for "" intelligent design "" - The Atheist Experience part 2|2'"
938135000976953344,2017-12-05 19:56:28,"b""I liked a @YouTube video https://t.co/2yKYyANemT Why Pascal's Wager isn't valid"""
938125017556103168,2017-12-05 19:16:48,b'I liked a @YouTube video https://t.co/qoSknh0AI9 Shelley Segal Saved'
938087451922456576,2017-12-05 16:47:32,b'I liked a @YouTube video https://t.co/cv0Ktqit3W Getting SUED by a RUST PLAYER?'
937568234450059264,2017-12-04 06:24:20,b'I liked a @YouTube video https://t.co/MnBPztMuMW The Atheist Experience - Christian Argues from Ignorance'
937398387049160704,2017-12-03 19:09:26,"b""I liked a @YouTube video https://t.co/LHXYELl7Fh The Hulk's Greatest Moments Part 2"""
936871240572198912,2017-12-02 08:14:44,b'I liked a @YouTube video https://t.co/pZpOp8NgSl Donald Trump is Prophesied? | Jonne - Netherlands | Atheist Experience 21.08'
936500415406985216,2017-12-01 07:41:13,b'I liked a @YouTube video https://t.co/lfw9dt0Dtc Problems with the Bible | Calvin - Texas | Atheist Experience 21.40'
935695095894102016,2017-11-29 02:21:09,b'I liked a @YouTube video https://t.co/i57zAEql5T BattleTech-Atlas vs Locust Swarm!'
934650039867203586,2017-11-26 05:08:29,b'I liked a @YouTube video https://t.co/yvXKCyCk5K 10 New Bikinis Haul'
934290109045858304,2017-11-25 05:18:14,b'I liked a @YouTube video https://t.co/78Q7XIFYXc PAUL STAMETS EXPLAINS THE STONED APE HYPOTHESIS TO JOE ROGAN'
932298889130135552,2017-11-19 17:25:51,b'I liked a @YouTube video https://t.co/HYKjLXbUAf TOXIC BULLIES GET INSTANT KARMA! | Rust Solo Survival S3 | #6'
932057906027073536,2017-11-19 01:28:16,b'I liked a @YouTube video https://t.co/jBhIR6i8B6 HOW TO SOLO - Rust'
931715261857755136,2017-11-18 02:46:43,b'I liked a @YouTube video https://t.co/AjScQmXDx0 RAIDING DOES NOT END WELL! | Rust Solo Survival #7'
931567119610863616,2017-11-17 16:58:03,b'I liked a @YouTube video https://t.co/fgh9Eem0jT Life in Prison for a Sex Offender'
931229569851494403,2017-11-16 18:36:45,b'I liked a @YouTube video https://t.co/FDW5bvfvHu Put it Together - Living in Colorado Prison'
929392288786198533,2017-11-11 16:56:03,b'I liked a @YouTube video https://t.co/r5b8rksiok I FINALLY HIT THE JACKPOT! | Rust Solo Survival #6'
929076199095091200,2017-11-10 20:00:01,"b'RT @realDonaldTrump: On behalf of an entire nation, Happy 242nd Birthday to the men and women of the United States Marines!\n#USMC242 #Sempe\xe2\x80\xa6'"
929030260649324545,2017-11-10 16:57:29,b'I liked a @YouTube video https://t.co/hP06MvB3dT 200 IQ Bus Stop Base Raid! (Rust)'
928846372882624512,2017-11-10 04:46:47,"b'@realDonaldTrump Ummm, you can blame them for taking advantage....ummm, BECAUSE TAKING ADVANTAGE IS WRONG!! Duh.'"
928306484500402176,2017-11-08 17:01:27,b'I liked a @YouTube video https://t.co/OylbPHiJoe The Amazing Treehouse - Rust'
927902854945345536,2017-11-07 14:17:34,b'I liked a @YouTube video https://t.co/CXQ4lveJ2c atheists are just awful....'
927636478125015045,2017-11-06 20:39:05,"b'I liked a @YouTube video https://t.co/jFdejLiQVl Mariah Carey, Boyz II Men - One Sweet Day'"
927224465989230592,2017-11-05 17:21:54,b'I liked a @YouTube video https://t.co/I8yRtgZUHL Doomsday Awoken | Superman: Doomsday'
927222240361484290,2017-11-05 17:13:03,b'I liked a @YouTube video https://t.co/mJV5yCWY52 This was too awesome not to mirror.'
926856008990937088,2017-11-04 16:57:47,"b""I liked a @YouTube video https://t.co/bVCIxoRI4p Matt Dillahunty's Best quotes and arguments, Part Two"""
926498889993195521,2017-11-03 17:18:43,b'I liked a @YouTube video https://t.co/77rLlNeFaz Rust play flamethrower raid! by crazy person/\xeb\x9f\xac\xec\x8a\xa4\xed\x8a\xb8 \xec\xa0\x95\xec\x8b\xa0\xeb\x82\x98\xea\xb0\x84 \xec\x99\xb8\xea\xb5\xad\xec\x9d\xb8\xec\xa7\x91'
924660844465504256,2017-10-29 15:34:59,b'RT @AAmbrosePhoto: Just WOW! The creativity here is incredible. https://t.co/5vU2FQy3Bj'
923751111722496000,2017-10-27 03:20:02,b'I liked a @YouTube video https://t.co/Tuo97huZTo Joe Rogan Talks about the biggest conspiracy theories that people still believe'
923735924927852544,2017-10-27 02:19:41,"b""I liked a @YouTube video https://t.co/njY9cy97Aw I don't need a man, but..."""
922555606480965633,2017-10-23 20:09:31,"b'I liked a @YouTube video https://t.co/PkQ3iE2nyS Men Talk Honestly About Women, Sex, Dating, Marriage, God and Money'"
922553779089825794,2017-10-23 20:02:15,"b""I liked a @YouTube video https://t.co/5zw4sHUws1 Female Matchmaker Reacts to MGTOW (Men Going Their Own Way): It's Understandable!"""
922321790566895616,2017-10-23 04:40:25,"b""I liked a @YouTube video https://t.co/RtQzcV3qI8 Astronaut Chris Hadfield's Opinion of Aliens - JRE #414"""
922263393091883008,2017-10-23 00:48:22,"b""I liked a @YouTube video https://t.co/qjzQDPL3xr Joe Rogan On if Hunting Should be Acceptable in today's times"""
921834957647040512,2017-10-21 20:25:55,"b""I liked a @YouTube video https://t.co/LUrEBIXQ2i I'm a sexy woman, so stop objectifying me!"""
921827478351634438,2017-10-21 19:56:12,b'I liked a @YouTube video https://t.co/Da3H87z9GJ When female privilege backfires...'
921613881155510273,2017-10-21 05:47:26,b'I liked a @YouTube video https://t.co/mSSOGOxHnw more red pills everywhere...'
