id,created_at,text
940073938939297792,2017-12-11 04:21:07,b'@realDonaldTrump ????? What?'
940054346489765888,2017-12-11 03:03:16,b'@HiIarlous Skrattar fortfarande'
940053761581498369,2017-12-11 03:00:56,"b""RT @HiIarlous: IT'S TIME TO BRING THIS BACK https://t.co/jOE6gSyjkj"""
939909793887776769,2017-12-10 17:28:52,"b'@alltingpa Ostron kan va en id\xc3\xa9. Men kanske l\xc3\xa4sa p\xc3\xa5 lite innan, s\xc3\xa5 att du inte g\xc3\xb6r dig illa.'"
939898625823592448,2017-12-10 16:44:29,b'@DailyMailCeleb @MailOnline Save Hannibal'
939702433646866432,2017-12-10 03:44:53,b'@Iearnsomething N\xc3\xa4men vad? St\xc3\xb6td\xc3\xa4mpare som d\xc3\xa4mpar st\xc3\xb6tar. Nu j\xc3\xa4vlar'
939698274306609152,2017-12-10 03:28:22,b'RT @Crazzyintheusa: Meanwhile in Portland. https://t.co/1ub95b3wsu'
939696718450393089,2017-12-10 03:22:11,b'RT @LeoR1010: Anlita inte denna st\xc3\xa4dfirma. https://t.co/DIyiObKE3C'
939695483064340482,2017-12-10 03:17:16,b'@sselmaal @Ludviger Odo Av Lagery v\xc3\xa4rkar vara en riktigt vidrig m\xc3\xa4nniska. Har anm\xc3\xa4lt.'
939691196552810501,2017-12-10 03:00:14,b'@alltingpa Tack s\xc3\xa5 mycket. V\xc3\xa4ntar med sp\xc3\xa4nning p\xc3\xa5 n\xc3\xa4sta lives\xc3\xa4ndning.'
939326362707550209,2017-12-09 02:50:31,b'@Crazzyintheusa Babylon?'
939325415331639296,2017-12-09 02:46:45,b'@louiseedengren V\xc3\xa4lkommen till Sundsvall.'
939117257808011264,2017-12-08 12:59:36,"b'RT @Plaetten: Dagens humorinslag:\n\nIntervju med Jimmie \xc3\x85kesson i P4 extra. \n\nJimmie babblar p\xc3\xa5 om vikten av deras politik, att v\xc3\xa4rna om tra\xe2\x80\xa6'"
938928617517731841,2017-12-08 00:30:01,b'@Tina_Molndal @rebelllan Bra talat.'
938922506693562368,2017-12-08 00:05:44,b'@jenniedanehav Kompis sa till mig: Kalle du \xc3\xa4r som en potatis..... passar till det mesta.'
937342826165211137,2017-12-03 15:28:39,b'@twitrarn Jag brukar b\xc3\xb6rja bakifr\xc3\xa5n om det \xc3\xa4r ok?'
937150672901935104,2017-12-03 02:45:06,b'RT @jenniedanehav: RT:a om du ocks\xc3\xa5 lever p\xc3\xa5 sexistensminimum'
936800982335234049,2017-12-02 03:35:33,b'RT @funsportsgifs: Brilliant \xf0\x9f\x98\x82 https://t.co/vrkLLlampX'
935115184691171328,2017-11-27 11:56:48,"b""RT @F1: I'm the Iceman \xf0\x9f\x98\x8e\n\nI don't need heat in *my* tyres \xf0\x9f\x98\x82\n\n#AbuDhabiGP #F1Finale https://t.co/49UQxy1DFD"""
934131415595343872,2017-11-24 18:47:39,b'https://t.co/RZ3tfFIRJy'
933856580658921472,2017-11-24 00:35:33,b'@jandihearteco @R0J1N Ni \xc3\xa4r fantastiska!'
933837945991254016,2017-11-23 23:21:30,"b'@ingridsdotra Ingenting med dig \xc3\xa4r v\xc3\xa4rdel\xc3\xb6st. Du \xc3\xa4r en fin, god m\xc3\xa4nniska.'"
933513667349499904,2017-11-23 01:52:56,b'@TribeTestMgr @sveedd @Toppenkille Satte GW'
933513476483534848,2017-11-23 01:52:11,b'@TribeTestMgr @sveedd @Toppenkille Palme s\xc3\xa4tt GE i f\xc3\xa4ngelse. Det r\xc3\xa4cker som motiv.'
933510781345333248,2017-11-23 01:41:28,b'@TribeTestMgr @sveedd @Toppenkille Jag \xc3\xa4r helt p\xc3\xa5 ditt sp\xc3\xa5r'
933509867960233984,2017-11-23 01:37:50,b'RT @Derek1052: Just witnessed this giant seal being chased out the door of a fishmongers shop in Wicklow town. https://t.co/WGlGxlAWfs'
933177013392719872,2017-11-22 03:35:12,b'RT @CringeDaiIy: https://t.co/8BV55FJYfE'
933175064249454593,2017-11-22 03:27:27,"b""RT @oldpicsarchive: Gwen Stefani, No Doubt Concert At The Roxy, Hollywood, September 12 '1989 https://t.co/AJrrEUntEA"""
933172806229118977,2017-11-22 03:18:29,"b'@antonsalll @jenniedanehav Vem \xc3\xa4r det som filmar, och hur?'"
932459621893197824,2017-11-20 04:04:32,b'@rebelllan Ja det \xc3\xa4r ju ett b\xc3\xa4ttre alternativ om en ska k\xc3\xb6ra bil tex'
932454191724974080,2017-11-20 03:42:58,"b""@30secondstomarx It's allways sunny in Philadelphia"""
932275049121361920,2017-11-19 15:51:07,b'@rebelllan \xc3\x84r det en Gammeldansk i gr\xc3\xb6nsaksl\xc3\xa5dan?'
932274395153928192,2017-11-19 15:48:31,b'RT @fiskargubbe: dracula st\xc3\xa5r bakom f\xc3\xb6nstret i sitt slott. han har p\xc3\xa5 sig finkl\xc3\xa4der och en mantel med h\xc3\xb6g krage. han \xc3\xb6ppnar munnen och visa\xe2\x80\xa6'
932171556868034561,2017-11-19 08:59:52,"b'RT @ItsFunnyJokers: This is a chicken in jeans, I have officially seen it all https://t.co/QU121UEcai'"
932074544705294336,2017-11-19 02:34:23,b'RT @GussyRiot: Vi vet att det \xc3\xa4r du Bartin! https://t.co/fjqU5bJyDJ'
932072034623991808,2017-11-19 02:24:24,b'RT @Rancid: Lost another legend today. He was the sole reason I wanted to be a rhythm guitar player. He was the man. No one could hold down\xe2\x80\xa6'
931869733070213120,2017-11-18 13:00:32,"b'RT @fraux: I kassan p\xc3\xa5 BR: ""ska den sl\xc3\xa5s in?"" ""nej!! ta det f\xc3\xb6rsiktigt!"" https://t.co/6QwCjLyMat'"
931705444170649600,2017-11-18 02:07:42,b'RT @Toppenkille: Jag har matchat med tv\xc3\xa5 p\xc3\xa5 Tinder men fr\xc3\xa5gar mest om dom har fint v\xc3\xa4der f\xc3\xb6r kan inte hantera s\xc3\xa5na appar'
931243520752484356,2017-11-16 19:32:11,"b'RT @DickKingSmith: Witness a hunter so poised, so deadly, that nothing can escape its merciless attack. https://t.co/KxPlJ6ehYg'"
928959935450370049,2017-11-10 12:18:02,"b'RT @Renodlad: Tv\xc3\xa5 manliga genier gick \xc3\xb6ver gatan. Den ene blev \xc3\xb6verk\xc3\xb6rd av en bil. D\xc3\xa5 v\xc3\xa4nde sig det andra manliga geniet om och sa ""Hann du\xe2\x80\xa6'"
928430986681110533,2017-11-09 01:16:11,"b'RT @Toppenkille: K\xc3\xb6pa vapen av USA \xc3\xa4r \xc3\xa4nnu ett s\xc3\xa4tt att putsa skorna p\xc3\xa5 NATO, vidrigt'"
928426247088156672,2017-11-09 00:57:21,b'@Toppenkille Kanske inte roman. Men ett m\xc3\xa4sterverk.'
928425833777295360,2017-11-09 00:55:42,b'@Toppenkille  https://t.co/yWEULvl9sf'
927957185870598145,2017-11-07 17:53:28,b'RT @fuckeveryword: fuck moped'
927695299363164160,2017-11-07 00:32:49,"b""It's sad to see UK and USA destroy the World. Napoleon Bonapart. St.helena https://t.co/YmsaE5eGZE"""
927669525755121664,2017-11-06 22:50:24,b'@GothCharlotte @lancehartfetish Ha ha ha ha.....\xf0\x9f\x98\x82 thats great\xf0\x9f\x98\x82'
927291243515793409,2017-11-05 21:47:15,b'RT @MarxVittnen: Enl uppdrag granskning f\xc3\xb6rsvinner 43 j\xc3\xa4vla miljarder pga skatteplanering varje \xc3\xa5r. Och det finns folk som menar att invand\xe2\x80\xa6'
925903123520073728,2017-11-02 01:51:21,b'RT @CarlOscarNordi1: https://t.co/ac5Aqv6qHi'
925902189511536640,2017-11-02 01:47:39,b'@glasskamp  https://t.co/IvL1O9jUiK'
925886578203025408,2017-11-02 00:45:37,b'@glasskamp \xc3\x84r det naken man i det h\xc3\xb6gra f\xc3\xb6nstret?'
