id,created_at,text
940379967866753024,2017-12-12 00:37:10,b'RT @JulyJane: @FoxNews @JudgeJeanine Fox News behaves like the propaganda arm of a dictatorship. This is a democratic republic &amp; Judge Jean\xe2\x80\xa6'
940379002019155968,2017-12-12 00:33:20,b'@VaughnHillyard @daveweigel Thank you Sir. Peace'
940378799769817088,2017-12-12 00:32:31,b'Thank you Sir. Peace https://t.co/oPCbok9sWS'
940378160490844160,2017-12-12 00:29:59,b'RT @ShaunKing: 19 women. \n\n19 women have now accused @realDonaldTrump of sexual assault/sexual misconduct. \n\n19.'
940376826316230656,2017-12-12 00:24:41,"b'RT @BillClinton: There are only 4 days left to sign up for healthcare under the Affordable Care Act for 2018, so don\xe2\x80\x99t wait. Visit https://\xe2\x80\xa6'"
940372442542993408,2017-12-12 00:07:16,b'@macaroni644 @realDonaldTrump Hahahahaha https://t.co/BwVFxdQujD'
940372112514088960,2017-12-12 00:05:57,b'@realDonaldTrump @daveweigel Hahahahaha https://t.co/G2nzchQRmx'
940371964933353473,2017-12-12 00:05:22,b'@realDonaldTrump Hahahahaha https://t.co/BhnTfhQSfC'
940371855029997569,2017-12-12 00:04:56,b'@realDonaldTrump @nytimes Hahahahaha https://t.co/AkvjTrP7Ny'
940348166863540224,2017-12-11 22:30:48,b'RT @SenGillibrand: Republicans in the House and the Senate are cutting backroom deals in a rush to pass their massive corporate tax cuts in\xe2\x80\xa6'
940348121728643073,2017-12-11 22:30:37,b'RT @SenGillibrand: Grateful to the NYPD for quickly apprehending the suspect at Port Authority. We must remain vigilant and give law enforc\xe2\x80\xa6'
940348085917638656,2017-12-11 22:30:29,"b'RT @SenGillibrand: Under the Republican tax plan, corporations can deduct their state and local taxes, but working families cannot. How is\xe2\x80\xa6'"
940347734162321408,2017-12-11 22:29:05,b'@alfranken  What do you think Senator Al Frankin. Please read comments. https://t.co/PtcsHX3aRo'
940347148209655808,2017-12-11 22:26:45,b'RT @NikonLass: @SenGillibrand Go after him the way u went after Franken &amp; make sure he is thrown out of office! That\xe2\x80\x99s how u can make up 4\xe2\x80\xa6'
