id,created_at,text
940265106239258624,2017-12-11 17:00:45,b'#theSameMen @aunjanuejlt #JacksonMS @PhilBryantMS https://t.co/7iaSz4jWbv'
940245087111598086,2017-12-11 15:41:12,"b'Yes, yes, yes. Ok. Maybe not all #Republican women have utterly &amp; completely internalized misogyny.\xe2\x80\xa6 https://t.co/6WAe3uGWn1'"
940244075189587968,2017-12-11 15:37:11,"b'@smartstatistic FOR REAL. Like ""staying on script"" made his presence ok? I\'ve been rolling my eyes each time that p\xe2\x80\xa6 https://t.co/a3vdcbJ9Zp'"
940213296040423424,2017-12-11 13:34:52,b'Wrote about #Trump attending the MS #CivilRights Museum opening for @VICE. https://t.co/C7hyUezh6A #theSameMen #MedgarEvers'
940079074721939456,2017-12-11 04:41:31,"b""@realDonaldTrump Yeah well, maybe that was an honor you didn't deserve. https://t.co/C7hyUehFI0"""
940076827552374784,2017-12-11 04:32:36,"b'RT @washingtonpost: Simeon Booker, intrepid chronicler of civil rights struggle for Jet and Ebony, dies at 99 https://t.co/3wLnaZMSWX'"
939975031207153664,2017-12-10 21:48:05,"b""@thebutterknife Anytime you need a freak-out or a dance party, I'm your woman!"""
939951321658126339,2017-12-10 20:13:53,b'My VICE piece about the #Mississippi #CivilRights Museum opening. https://t.co/C7hyUezh6A #Resist #JacksonMS\xe2\x80\xa6 https://t.co/dbxablLzXm'
939849884320043008,2017-12-10 13:30:48,"b'On #divadom and #babysitting, combined with nuclear keys and veto power...https://t.co/89xGGVQUyP'"
939276889465802753,2017-12-08 23:33:56,"b'RT @nytimes: The official death toll in Puerto Rico after Hurricane Maria was 62.\nThe actual deaths may be 1,052. \nhttps://t.co/2UOvrxbXfW'"
939249088633110529,2017-12-08 21:43:27,b'When it feels like all the news is bad...#hope https://t.co/SCHyg5BBB1'
939245941223247872,2017-12-08 21:30:57,"b'Thank you, Judge David Norton, for holding an officer accountable. https://t.co/uuMbnPlqBx #RIPWalterScott'"
939242583888416769,2017-12-08 21:17:36,"b""Hey #Republicans. Here's a mirror. Look at it. https://t.co/Lb3DrF2AKK #GOP #pedophile #rapist #racist"""
939239862770847744,2017-12-08 21:06:48,"b""https://t.co/96ZVuEBZ6h #BluelivesMatter but civilian lives matter more. And if police don't approach their job wit\xe2\x80\xa6 https://t.co/6D10gl9IfB"""
939234340701122560,2017-12-08 20:44:51,"b'No #JohnLewis or #BennieThompson or #ChokweAntarLumumba, either. https://t.co/NCH42lsxbk'"
938924141247451136,2017-12-08 00:12:14,"b'@blanketboat When I first glanced at this, I read it as, ""recognize unicorns.""'"
938807535410319361,2017-12-07 16:28:53,b'#idealism https://t.co/efMNwcIlOx'
938804971184762880,2017-12-07 16:18:41,"b'The difference btwn #Democrats and #Republicans: when Dems assault women (at least in this decade), the base calls\xe2\x80\xa6 https://t.co/9sSBaZ5ryr'"
938471036420526080,2017-12-06 18:11:45,b'The #CivilRightshero the prez insulted is scheduled to speak at the Mississippi Civil Rights Museum opening that ou\xe2\x80\xa6 https://t.co/voQnbIGdIp'
938469690283823106,2017-12-06 18:06:24,"b""@ifqxdb @PhilBryantMS @POTUS Yep. A great honor to our prez's fellow white supremacists. Who seem to include our st\xe2\x80\xa6 https://t.co/0j7A21xpcR"""
938468960122662912,2017-12-06 18:03:30,"b""@byron_nichols @PhilBryantMS @POTUS @realDonaldTrump Everyone, look for this guy at the party. He'll be the one in the white robe &amp; hood."""
938468621667459077,2017-12-06 18:02:09,b'@PhilBryantMS @POTUS Thanks for starting a huge controversy &amp; inviting white supremacists to protest our Civil Righ\xe2\x80\xa6 https://t.co/diGmBHGXbw'
938430953046896640,2017-12-06 15:32:29,b'Newsflash to #PhilBryant &amp; other confused officials. Trump is NOT a supporter of #CivilRights. #JohnLewis\xe2\x80\xa6 https://t.co/e3oiC7d0Vc'
938427059818385410,2017-12-06 15:17:00,"b""@washingtonpost And another white woman gets credit for a black woman's work/brilliance..."""
938421071828701185,2017-12-06 14:53:13,b'Happy #humpday everyone. This tweet is #thebest. https://t.co/QtMDBM1zpw'
938420098980810753,2017-12-06 14:49:21,b'#everydayfeminism https://t.co/EEN6TDQDJZ'
936259245120655360,2017-11-30 15:42:53,"b'""Doesn\'t matter if videos are real, threat is real."" Same logic often applied to people of color locked up without\xe2\x80\xa6 https://t.co/wNZ40TiRrG'"
935547145175949312,2017-11-28 16:33:15,b'RT @AprilDRyan: A lot of questions about the Native American White House event! Why did they pick the portrait of Andrew Jackson as the bac\xe2\x80\xa6'
935295321126658049,2017-11-27 23:52:36,"b""Does anyone else think he should be released immediately bc the 20 years he spent locked up for a crime he didn't c\xe2\x80\xa6 https://t.co/9zgB2hOJEk"""
935284832845946891,2017-11-27 23:10:55,"b'On guard, journalists: https://t.co/kG6dFOTQFU (I know you are!) #media #journalism #ProjectVeritas #fakenews'"
935273126065311746,2017-11-27 22:24:24,"b""#FreePress is important, y'all. Journalists all over the world are locked up for reporting truth, so y'know, don't\xe2\x80\xa6 https://t.co/GSnHfP5WB0"""
935142846448963585,2017-11-27 13:46:43,"b""So I had thoughts &amp; feelings ab the #NaziProfile and they didn't fit into 140 characters. Or even 280.\xe2\x80\xa6 https://t.co/CWbYPpMpyB"""
935000262548344832,2017-11-27 04:20:08,b'A lovely memoir piece from the same paper that gave us a basically single-sourced Nazi profile not 24 hours ago. Yo\xe2\x80\xa6 https://t.co/BDINqT5ahm'
934991361555750912,2017-11-27 03:44:46,b'@Luceluciane @nytimes Right?!'
934990950551773186,2017-11-27 03:43:08,"b""@nytimes It wouldn't fit in 280 characters, so here's my reply: https://t.co/g2Ngf8BoCo"""
934811845524942849,2017-11-26 15:51:26,"b""He's not above accountability. He only thinks he is. https://t.co/JYXGuH4T23"""
934809472391933952,2017-11-26 15:42:00,b'RT @rebeccagberg: It should be noted that a TIME Mag photo shoot gave us one of the great Trump GIFs https://t.co/7KYMlSRl9v'
934803480031776769,2017-11-26 15:18:12,"b'A stage performer from the #Mississippi #Delta is featured in @nytimes ""neediest cases"" today. https://t.co/JqRGMlZoXA'"
934558288070529025,2017-11-25 23:03:53,"b""@MarkRocon Just wanted to point out the obvious flaws in your logic. Bc apparently they're not obvious to some (aga\xe2\x80\xa6 https://t.co/kFuYG6OKDu"""
934548616529760257,2017-11-25 22:25:27,"b'@MarkRocon Capitalism works for the hustlers, hard workers, risk takers and those willing to do what it takes IN SO\xe2\x80\xa6 https://t.co/TjgcjI4nRM'"
934534732020318208,2017-11-25 21:30:17,b'What #DemocraticSocialism looks like in the 21st century. https://t.co/bqfIM1Zx3r'
934534465732403201,2017-11-25 21:29:14,"b'@MarkRocon Man, sure seems like we need saving from this crazy terrible lifestyle. https://t.co/bqfIM1Zx3r'"
934534198408417280,2017-11-25 21:28:10,b'@charliekirk11 This video explains things nicely. https://t.co/bqfIM1Zx3r'
934449979879542784,2017-11-25 15:53:31,"b""Apparently #selfdefense is just for white people. Let's do the Time to Kill thing. How do you think this would've p\xe2\x80\xa6 https://t.co/3tyny4jQco"""
932806971694178304,2017-11-21 03:04:47,b'Mgmt was nonplussed when I asked  for fresh sheets 30 secs after checkin. I stay in #classyjoints #cheapmotels https://t.co/Xx6OCPIuOi'
930494426086019076,2017-11-14 17:55:33,b'#everydaysexism #civilrights #EOE https://t.co/WOnWxAUWn0'
929528261998243840,2017-11-12 01:56:22,b'more news from #TheUpsideDown https://t.co/QMnmhWzbKz'
929526560285253634,2017-11-12 01:49:36,"b'Thinking about what @GloriaSteinem said after the election: ""This is a vote against the future and the future\'s goi\xe2\x80\xa6 https://t.co/sh1TofZ1ZQ'"
929524208513814528,2017-11-12 01:40:15,"b'RT @jkarsh: In short, being a Democrat is worst than being a pedophile. This is where the Republican party is in 2017. https://t.co/K2UDQqu\xe2\x80\xa6'"
928985210074681346,2017-11-10 13:58:28,b'@mindyfinn @stlouisishome Unfortunately his base includes loads of women #internalizedmisogyny'
928983286742908928,2017-11-10 13:50:49,"b""Re: creepy politicians, do we really expect those who devalue women's bodies in regards to #reproductiverights and\xe2\x80\xa6 https://t.co/EN4hpUcRZl"""
928981817746771968,2017-11-10 13:44:59,b'@JeffFlake Seems like its who you are #GOP. You devalue womens bodies in issues like #reproductiverights and\xe2\x80\xa6 https://t.co/Flh3RbfqLZ'
928979991106342913,2017-11-10 13:37:44,b'@GraziaUK Stop trying to dilute the #BlackGirlMagic! https://t.co/hDmVXmgV6Q'
