id,created_at,text
940159726310100992,2017-12-11 10:02:00,b'RT @Lmao: how i sleep at night knowing 2017 was a wasted year and 2018 will probably be the same https://t.co/x2XqjuYKMA'
940070838883180544,2017-12-11 04:08:48,"b""@realDonaldTrump Do you believe cops should kill innocent people who haven't been proven guilty too. Do you know wh\xe2\x80\xa6 https://t.co/ZZteeoCtvZ"""
939095696946421760,2017-12-08 11:33:56,b'RT @Lmao: retweet to spread some holiday cheer https://t.co/rOVMnKcyPZ'
934636864530608128,2017-11-26 04:16:07,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!'
934301395242565632,2017-11-25 06:03:05,b'Jupiter? https://t.co/jZVICnIkBp'
933184642689069056,2017-11-22 04:05:31,b'RT @Lmao: Steph Curry who?  https://t.co/igenwiZOCF'
933183086698926080,2017-11-22 03:59:20,"b'RT @Lmao: If I ever cut you off, understand and respect that u were toxic to me and you no longer served a purpose in my life. I get tired\xe2\x80\xa6'"
932854116082122752,2017-11-21 06:12:07,b'RT @ta_real_smitty: Why do they call it a living room if your already dead on the inside https://t.co/OeALipJDt1'
932853940194107392,2017-11-21 06:11:25,"b'RT @realDonaldTrump: With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their Licen\xe2\x80\xa6'"
932456730247749634,2017-11-20 03:53:03,"b'RT @realDonaldTrump: Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAngel\xe2\x80\xa6'"
