id,created_at,text
940372726329630721,2017-12-12 00:08:23,b'@Xbox Give me one lol!\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/OaQIMnujVT'
940365932169441282,2017-12-11 23:41:24,b'@realDonaldTrump @nytimes then why do you lie about your tax bill that screws american workers? https://t.co/vBeHfoyZvX'
940054458469302272,2017-12-11 03:03:42,b'@pattysmattyvt @thebradfordfile @realDonaldTrump @PhilBryantMS So fuckin true! https://t.co/NvqXXxwBAP'
940054154294071296,2017-12-11 03:02:30,b'@realDonaldTrump @PhilBryantMS Most politicians are not respected due to there own faults and you are no exception https://t.co/PflPF2u7Ng'
939909795162787843,2017-12-10 17:28:52,"b'@realDonaldTrump Pass a tax plan that helps the poor and people that make less than 100,000 k a year https://t.co/lBvqSUWK0V'"
939626533630640129,2017-12-09 22:43:17,b'@realDonaldTrump Yea they should be put out of buisness!'
939241265614422016,2017-12-08 21:12:22,"b'RT @realDonaldTrump: \xe2\x80\x9cThe unemployment rate remains at a 17-year low of 4.1%. The unemployment rate in manufacturing dropped to 2.6%, the l\xe2\x80\xa6'"
939241130805420032,2017-12-08 21:11:50,b'RT @CraigDamon12: @realDonaldTrump Your failing!!!\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e https://t.co/xXFjLfj32K'
939241096256815104,2017-12-08 21:11:42,b'@realDonaldTrump Your failing!!!\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e https://t.co/xXFjLfj32K'
939240475474710528,2017-12-08 21:09:14,b'@PRESlDENTBANNON @realDonaldTrump Yea hows that fair??? https://t.co/dibUEQ3DrB'
939240254179069952,2017-12-08 21:08:21,b'@realDonaldTrump Prolly less\xf0\x9f\x98\x86 https://t.co/MTBjQuXuAP'
939239999681236992,2017-12-08 21:07:20,b'@realDonaldTrump @SecretaryAcosta @USDOL Maybe but pay is at a all time low and groceries are fuckin outrageous and\xe2\x80\xa6 https://t.co/UTjJEatkUh'
939238186538229760,2017-12-08 21:00:08,b'@bullyray5150 Dope asf advice!! https://t.co/n16X7s1O2q'
938878594247512064,2017-12-07 21:11:15,b'@gameinformer @Rainbowlover25  https://t.co/x2wGSipceb'
938878506892759043,2017-12-07 21:10:54,b'@gameinformer @Rainbowlover25 Sorry but a very horrible magazine'
938814598911877126,2017-12-07 16:56:57,b'@computernerd01 @PlayStation You are right im seriously thinking about switching myself....xbox is getting disappoi\xe2\x80\xa6 https://t.co/AnYKDly9ZI'
938808995153883136,2017-12-07 16:34:41,b'@computernerd01 @PlayStation You are right im seriously thinking about switching myself....xbox is getting disappoi\xe2\x80\xa6 https://t.co/acP3heNDHA'
938599697329147904,2017-12-07 02:43:00,b'@caitlinmoran So true! https://t.co/S9J9opoYAV'
938575287582896128,2017-12-07 01:06:01,b'@Randygbk @f13killerpuzzle Yay!!! https://t.co/glBogqtLWj'
938572501667450880,2017-12-07 00:54:56,b'@kashhill What the hell is bitcoin?? https://t.co/PoSBB0PZ4U'
938526872052404224,2017-12-06 21:53:37,b'@bitcoinmodel @janeinak @kashhill @moorehn True banks are thieves just charging us for EVERY little thing they do! https://t.co/BSloNEr7Nz'
938480607096725504,2017-12-06 18:49:47,b'@computernerd01 @PlayStation Dude you couldve donated it to me lol! https://t.co/5kti7pSkRZ'
938480119475245057,2017-12-06 18:47:51,b'@PlayStation Yes!!!! https://t.co/K1JFvADWXC'
938479991913926660,2017-12-06 18:47:20,b'@13isGodsend So true https://t.co/H514WNYBZ0'
938477896322179072,2017-12-06 18:39:01,b'@MATTHARDYBRAND @WWE Hell yea your back!! https://t.co/xv0ptlB8PY'
938476160400416768,2017-12-06 18:32:07,"b'@realDonaldTrump Yea but your not...your gonna ""make American hate again"" mr trump! https://t.co/KewoGMRgg4'"
938442983006928897,2017-12-06 16:20:17,b'@realDonaldTrump Your a liar!! https://t.co/sWTq55h3r5'
938442424514502657,2017-12-06 16:18:04,b'@realDonaldTrump Well you sure as hell are not!..Giving tax breaks to the wealthiest Americans and shiting on hardw\xe2\x80\xa6 https://t.co/OSDwhYMHvf'
