id,created_at,text
940079234692689921,2017-12-11 04:42:10,b'@realDonaldTrump @CNN Watch CNN make nothing of being caught red handed they will divert thier ineptitude by pickin\xe2\x80\xa6 https://t.co/K6CFzFz344'
940079112474968065,2017-12-11 04:41:40,"b'RT @realDonaldTrump: Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian Ros\xe2\x80\xa6'"
940066422654242817,2017-12-11 03:51:15,b'@oilfieldman1 @JaydaBF @DuaneBme History repeating itself. This is an inkling of how the holocaust began. Though no\xe2\x80\xa6 https://t.co/G1pDCnQh8s'
940065442277625857,2017-12-11 03:47:21,"b'@JaydaBF They are nuts uneducated, uncompromising, and we stand by Israel our allies'"
940062524497575936,2017-12-11 03:35:46,b'@Rupert_McTavish @JaydaBF There is a saying be quiet learn your enemies weakness. I live in America they wanted to\xe2\x80\xa6 https://t.co/qxeYTKcZT9'
940061689088679936,2017-12-11 03:32:26,b'@2053pam @JaydaBF Why do they don\xe2\x80\x99t deport these people'
940061335278063616,2017-12-11 03:31:02,b'@pestis1 @JaydaBF @AlexTheYid87 Gang won\xe2\x80\x99t move to south in yanks. Every man woman child owns a gun for hunting food'
940060835715547136,2017-12-11 03:29:03,b'@JaydaBF Isn\xe2\x80\x99t it always they blame everyone but the pedophiles. Always the poor illiterate bad person raping child\xe2\x80\xa6 https://t.co/YVL2uhJl2R'
938603814227185664,2017-12-07 02:59:22,b'https://t.co/ABDezV1Kvo     Irradiated this link it was one of two other women who refused to give up her seat to C\xe2\x80\xa6 https://t.co/WlVa1P8kbe'
938601137976102912,2017-12-07 02:48:44,b'@TruthFeedNews USA and ISRAEL allies forever'
938600787365781505,2017-12-07 02:47:20,b'Obama removed Winston Churchill\xe2\x80\x99s  bust https://t.co/6RGCiJtVGT'
938600473015316480,2017-12-07 02:46:05,b'@ABC To First Lady Trump'
938600194463105024,2017-12-07 02:44:59,"b""RT @DStephenson2018: President Obama Explains Why Winston Churchill's Bust Was Removed From the Oval Office - ABC News -  via @ABC https://\xe2\x80\xa6"""
938599978741714944,2017-12-07 02:44:07,b'@FLOTUS @CoastalBendFB First Lady Melania Trump would you please put the bust of Winston Churchill\xe2\x80\x99s back into the\xe2\x80\xa6 https://t.co/ZJSO0AriDy'
