id,created_at,text
940074429681250305,2017-12-11 04:23:04,b'@FlitterMargirl @KazmierskiR @realDonaldTrump Yes it is getting better'
940074156959264774,2017-12-11 04:21:59,b'@realDonaldTrump Your awesome Mr President Trump'
939476961402920960,2017-12-09 12:48:56,b'@ken_memphis @cujoknows @realDonaldTrump MERRY CHRISTMAS https://t.co/C5sNBD5iOD'
939476733991907328,2017-12-09 12:48:02,"b'@Joseph_Kott @TheRynheart @realDonaldTrump Yes, yes yes no evidence from Mule man https://t.co/GsOGY0KI6p'"
939476295645216768,2017-12-09 12:46:18,b'@NananaMeows @MirandaEscoto1 @ShafPatel @realDonaldTrump I recently lost a dear friend who was killed by the people\xe2\x80\xa6 https://t.co/4t3XE88WmZ'
939475462119555072,2017-12-09 12:42:59,"b""@NananaMeows @MirandaEscoto1 @ShafPatel @realDonaldTrump Your an Obama lover and hate true American people don't yo\xe2\x80\xa6 https://t.co/dqTuN4kmHd"""
939475053111951362,2017-12-09 12:41:21,b'@JustGaga77 @ILissaJackson @sl1nasty @Sirrjammer @benloveday @ShafPatel He has shown his tax returns what planet ar\xe2\x80\xa6 https://t.co/HQd8xm8Pwc'
939474610336153600,2017-12-09 12:39:36,b'@BachKlem @tonysredskins_t @ShafPatel @realDonaldTrump You know your not making any sense RIGHT?'
939474328696922112,2017-12-09 12:38:29,"b'@DrWifeQuotes @De_la_Ghetto_1 @ShafPatel @realDonaldTrump @BarackObama I know typo , you do know that happens right\xe2\x80\xa6 https://t.co/6gr8tqswKT'"
939473766400237569,2017-12-09 12:36:15,"b""@25thThe45thNOW @realDonaldTrump Look in the mirror , then look outside bad girl bad girl what's you going to do wh\xe2\x80\xa6 https://t.co/8RfwVnExBr"""
939473091444457474,2017-12-09 12:33:34,"b""@JosLuis45424050 @goodoldcatchy @thebradfordfile @realDonaldTrump That's right president of the United States of Am\xe2\x80\xa6 https://t.co/qjtqx7aghH"""
939472307939975168,2017-12-09 12:30:27,b'@LoveMyLordGod @sue_pettengill @ShafPatel @realDonaldTrump Agreed'
939472150066372610,2017-12-09 12:29:49,"b'@NananaMeows @MirandaEscoto1 @ShafPatel @realDonaldTrump I have seen it first hand and second hand , to bad your blind'"
939471711585443840,2017-12-09 12:28:05,"b""@JerseyJerkerola @theloneronin @Keido29 @realDonaldTrump Stop talking about yourself that way don't you know that y\xe2\x80\xa6 https://t.co/UkzIIpvoj1"""
939471263390580736,2017-12-09 12:26:18,b'@MDanhelka66 @putavips @ShafPatel @realDonaldTrump You must be talking about the demecrats because I see the sign is blue'
939470878068183043,2017-12-09 12:24:46,"b'@25thThe45thNOW @What_If_Only @realDonaldTrump Never talk bad about your president, pray for him to succeed, becaus\xe2\x80\xa6 https://t.co/exBCUVIeJb'"
939470432003964929,2017-12-09 12:23:00,b'@25thThe45thNOW @What_If_Only @realDonaldTrump This one is for you Laurie https://t.co/mUg9PO7Kf2'
939469413203435521,2017-12-09 12:18:57,"b""@25thThe45thNOW @derik_slaton @realDonaldTrump O by the way it's MERRY CHRISTMAS, AMD HAS BEEN THAT WAY FOR 200 YEARS NOW"""
939469057547317250,2017-12-09 12:17:32,b'@25thThe45thNOW @realDonaldTrump To Laurie'
939468923887501314,2017-12-09 12:17:00,"b'@25thThe45thNOW @realDonaldTrump You will be the one going to jail or sued for slander , which would you prefer https://t.co/EPrmVz7wJ3'"
939468143826649091,2017-12-09 12:13:54,"b'@25thThe45thNOW @realDonaldTrump No we want you to leave Laurie , from the true American people'"
939467896752766978,2017-12-09 12:12:55,"b'@goodoldcatchy @JosLuis45424050 @thebradfordfile @realDonaldTrump Quit downing our President, https://t.co/26hV5MGx6v'"
939467456535412736,2017-12-09 12:11:10,b'@realDonaldTrump HOOAH! https://t.co/0KCgzbl3qn'
939466509436383232,2017-12-09 12:07:24,"b'@TheRynheart @realDonaldTrump TRUMP, TRUMP, TRUMP https://t.co/16fM4hU3oH'"
939465200180240386,2017-12-09 12:02:12,b'@Joseph_Kott @TheRynheart @realDonaldTrump Looks like Trump has the upper hand'
939464943866220546,2017-12-09 12:01:11,b'@Sheepdog_60 @TheRynheart @realDonaldTrump Yes you are or you would not reply'
939464586398281728,2017-12-09 11:59:46,"b'@rhonda_harbison @TheRynheart @realDonaldTrump Your a joke please stop with the fake news already , we get it you d\xe2\x80\xa6 https://t.co/H6eW6MjIKg'"
939464048210411520,2017-12-09 11:57:38,"b'@Valdez1Geeno @TheRynheart @realDonaldTrump Obama, Hillery Clinton, and several Dems as well as Sorros'"
939463636321427456,2017-12-09 11:55:59,"b'@TheRynheart @realDonaldTrump No not really the guys a joke , real news location C.I.A website look it up if you dare'"
939463356083093505,2017-12-09 11:54:53,"b""@TheRynheart @realDonaldTrump It's been stopped by demecrats like everything else because they don't like Trump tha\xe2\x80\xa6 https://t.co/dH6mQjkic9"""
