id,created_at,text
940383982524477440,2017-12-12 00:53:07,b'@realDonaldTrump @nytimes #FakeNews #CNN #MSNBC are trying to spread the Liberal fake story again!\n#BoycottCNN\xe2\x80\xa6 https://t.co/PK8LPofha8'
940383583398752256,2017-12-12 00:51:32,"b'RT @realDonaldTrump: Another false story, this time in the Failing @nytimes, that I watch 4-8 hours of television a day - Wrong!  Also, I s\xe2\x80\xa6'"
940199604825612288,2017-12-11 12:40:28,b'RT @Don_Vito_08: @realDonaldTrump @ABC .@BrianRoss and @abc are responsible for my family losing money and we are now considering filing a\xe2\x80\xa6'
940199467353026561,2017-12-11 12:39:55,"b""RT @Don_Vito_08: A No-Brainer! 'Retweet' if you agree. https://t.co/tDtkGLVyMv"""
940199394124685312,2017-12-11 12:39:38,"b'RT @Don_Vito_08: NO DREAM is too big, NO CHALLENGE is too great. Nothing we want for our future is BEYOND OUR REACH. #AmericaFirst\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n#MakeA\xe2\x80\xa6'"
940198223158882306,2017-12-11 12:34:59,b'RT @JudicialWatch: Judicial Watch uncovered new #FBI records showing major conflicts of interest within the FBI leadership during the #Clin\xe2\x80\xa6'
940197968761774080,2017-12-11 12:33:58,b'@DerekUtleyCEO @TXhistorylover #Military #ArmyNavyGame https://t.co/hY68JoXj77'
940197738343534592,2017-12-11 12:33:03,b'RT @DerekUtleyCEO: Wow. The combined glee club singing the National Anthem at the Army-Navy Game gave me goosebumps! https://t.co/NMLtt6y8KM'
940196731811258368,2017-12-11 12:29:03,b'@Divadancer21 @realDonaldTrump Please delete your account! https://t.co/lHfcBAuIfc'
940196485731356672,2017-12-11 12:28:04,b'@theimpishartist @Divadancer21 @realDonaldTrump #TrumpLeaks #TheResistance is a big fat lie! #MAGA https://t.co/vZ2rG2SxvM'
940067349956194311,2017-12-11 03:54:56,b'@Scavino45 @Varneyco #MAGA https://t.co/9SrV3c1nbX'
940067176806957058,2017-12-11 03:54:15,"b""RT @Scavino45: 1. We've got the best growth rate in a decade.\n\n2. We have the lowest unemployment in 17 years.\n\n3. We got this jobs report\xe2\x80\xa6"""
940066556104417283,2017-12-11 03:51:47,"b""RT @Don_Vito_08: #RobertMueller Investigation into RUSSIAN COLLUSION began 1 year ago &amp; he's charged: \n\n1. Michael Flynn \n2. Paul Manafort\xe2\x80\xa6"""
940066357831331841,2017-12-11 03:50:59,b'@realDonaldTrump #CNN are a bunch of clowns https://t.co/LiDw0jc8cw'
