id,created_at,text
940074414258794496,2017-12-11 04:23:00,b'@realDonaldTrump @daveweigel @washingtonpost The left had trouble filling a basketball court.... why is this even a issue.'
936313226689527808,2017-11-30 19:17:23,"b""@missmayn So you believe in an almighty lord and savior. But won't celebrate because they got the date wrong?"""
929965922462285824,2017-11-13 06:55:28,"b""@SquigglyRick Wouldn't be needed if there wasn't a movement trying to punish people who don't agree with SSM. A mov\xe2\x80\xa6 https://t.co/9SPH9l2Sru"""
929965159157612544,2017-11-13 06:52:26,b'@latts92 @SenPaterson Its exactly that attitude that makes allot of people vote no. All the discrimination you get you bring upon yourself.'
929964811764383744,2017-11-13 06:51:03,b'@latts92 @SenPaterson'
921161355138301952,2017-10-19 23:49:16,b'@stealthygeek If time travel were possible and your mother decided to go back and abort you... You could stop it an\xe2\x80\xa6 https://t.co/n9QORQUObn'
909187418225491968,2017-09-16 22:49:07,"b""@JenniferMeyer6 @WhiteHouse @SHSanders45 Bwah... ha ha ha....  Looking quite the fool now aren't you."""
908918396170858497,2017-09-16 05:00:07,"b""@xychelsea @CIA @Harvard You're a traitor!"""
904468479847174144,2017-09-03 22:17:44,"b'RT @charliekirk11: INSANE!! \n\nHigh school teacher calls Trump shirt a ""swastika"" and makes him take it off in class! \n\nHow is this ok!?!\n\nR\xe2\x80\xa6'"
891938010270322688,2017-07-31 08:26:07,b'@maslowsflawed @TheYoungTurks @cenkuygur I work in an Australian Public Hospital. The first day I was there I decid\xe2\x80\xa6 https://t.co/8P1O6pUNQG'
891937453409320964,2017-07-31 08:23:54,b'@tracygreen @TheYoungTurks @cenkuygur His show is called The Young Turks it was also the name of the group that tri\xe2\x80\xa6 https://t.co/LEb22rCzRi'
