id,created_at,text
940196653675397120,2017-12-11 12:28:44,"b'RT @MarkHertling: Senator, please tell me this is a fake account and you\xe2\x80\x99re not providing an advertisement and a commercial endorsement. ht\xe2\x80\xa6'"
940077739549253632,2017-12-11 04:36:13,"b""I use my copy in the barn, placed between a constipated cow's back legs it seem to coax her to take a shit https://t.co/BJHAKKqdqu"""
940076548597497857,2017-12-11 04:31:29,b'And a spray tan...a cheap one https://t.co/Ds6ak1Dv0I'
940076380972244992,2017-12-11 04:30:49,"b'RT @johnpmcneil02: I am old Marine, combat vet, and business owner.\n\nI\xe2\x80\x99m tired of chicken shits, dipshits, and draftdodgers in the @GOP lik\xe2\x80\xa6'"
940075973529104384,2017-12-11 04:29:12,b'All the truth seeking and fact checking loyalists and supporters of objective investigation must immediatly be remo\xe2\x80\xa6 https://t.co/rq23giPQD8'
940075073507016704,2017-12-11 04:25:37,"b'RT @AdamParkhomenko: WATCH, SHARE, and stay until the very end where Roy Moore starts speaking Russian fluently after praising Putin. \nThen\xe2\x80\xa6'"
940074872394334208,2017-12-11 04:24:49,b'RT @TeaPainUSA: 280 characters liberates Trumpers to be more poorly informed than ever! https://t.co/6eM3I6hoIy'
940074533997789184,2017-12-11 04:23:29,b'Sources in the Moore campaign indicate that on the ground polls show Moore likely to be defeated https://t.co/HVkm251hy9'
940073302948700160,2017-12-11 04:18:35,b'@realDonaldTrump @daveweigel Sources say trump cash balances are low. Can no longer afford to pay supporters to attend.'
940072152350339072,2017-12-11 04:14:01,"b'That trump message changes every day, depending on what is most beneficial to the trumps. https://t.co/zanjmumS3j'"
940071791929602051,2017-12-11 04:12:35,b'RT @SaysHummingbird: The 21-year-old who shot and killed two students at a High School in New Mexico was previously investigated by FBI for\xe2\x80\xa6'
940071676464660480,2017-12-11 04:12:08,"b'RT @BillKristol: I\xe2\x80\x99m looking forward to a Republican or independent leader in 2020 unafraid to boldly proclaim those two simple, beautiful\xe2\x80\xa6'"
940071569665040385,2017-12-11 04:11:42,"b""RT @RWPUSA: Alabama Sen. Shelby: 'I couldn't vote for Roy Moore' - CNNPolitics https://t.co/J8G30l7feL"""
940071517429235713,2017-12-11 04:11:30,b'RT @frankrichny: Has anyone tried looking for Moore at the nearest mall? \nhttps://t.co/7g2n1owfDC'
940071056278044672,2017-12-11 04:09:40,"b'RT @ananavarro: Ok. I\xe2\x80\x99ll make the offer. Now, please go right ahead and keep your side of the bargain. Preferably a metal door. https://t.c\xe2\x80\xa6'"
939729918384132096,2017-12-10 05:34:06,"b""Yeah, and he's got all you dumbasses thinkn' he knows something, #Depraved https://t.co/lRAH9WYJuW"""
939716846709805056,2017-12-10 04:42:10,"b'@DineshDSouza @DineshDSouza celebrating death and destruction, typical shitbag trumpist.\n.'"
939346872149381120,2017-12-09 04:12:01,"b""@brycetache You forgot He's an asshole"""
939346697989312512,2017-12-09 04:11:19,b'RT @brycetache: Enough about Trump\xe2\x80\x99s dentures.\nI don\xe2\x80\x99t care about his teeth or hair or fake tan.\nI care how he stole an election.\nI care th\xe2\x80\xa6'
939346088028442624,2017-12-09 04:08:54,"b""RT @HolmesJosh: In my life, I've never met any American, Republican or Democrat, who holds this view: https://t.co/vum8l5BueR"""
938994480224468992,2017-12-08 04:51:44,"b'RT @DearAuntCrabby: THIS gets the Auntie Amen for the day! You go, @ProudResister! https://t.co/d1nVbE45gL'"
938994407428124672,2017-12-08 04:51:27,"b'RT @adamgoldmanNYT: Breaking news: @nytimes now has more than 3.5 million paid subscriptions and more than 130 million monthly readers, mor\xe2\x80\xa6'"
938994285516435456,2017-12-08 04:50:57,b'RT @normative: Gohmert is now doing an incredibly disturbing thing.  Running down a list of DOJ/FBI officials and asking if they have any \xe2\x80\x9c\xe2\x80\xa6'
938993497209577472,2017-12-08 04:47:50,b'RT @ProudResister: Republicans keep using the term \xe2\x80\x9cReligious Liberty\xe2\x80\x9d to discriminate against LGBTQ people. Stop falling for it. People in\xe2\x80\xa6'
938993256171421696,2017-12-08 04:46:52,b'@mitchellvii Fake News. The Putanists are here.'
938992373580775424,2017-12-08 04:43:22,b'@activist360 I heard Charles Manson had a 33% approval rating right before he died.'
