id,created_at,text
940319790958342146,2017-12-11 20:38:03,b'@FoxNews #thoughtsandprayers'
940319682145513472,2017-12-11 20:37:37,b'@ShaunKing @vicenews #thoughtsandprayers'
940319567452262400,2017-12-11 20:37:09,b'@vicenews #thoughtsandprayers'
940318968644034560,2017-12-11 20:34:47,b'@VP @POTUS #thoughtsandprayers'
940239900850425857,2017-12-11 15:20:35,b'@CNN #thoughtsandprayers'
940239818272968705,2017-12-11 15:20:16,b'@Tyrangiel @vicenews #thoughtsandprayers'
940239663700291584,2017-12-11 15:19:39,b'@USSupremeCourt1 #thoughtsandprayers'
940239624320049152,2017-12-11 15:19:29,b'@KellyannePolls @CNN @POTUS @ChrisCuomo #thoughtsandprayers'
940239586437029888,2017-12-11 15:19:20,b'@FL_Bar_Found @SenatorLeahy @NLADA #thoughtsandprayers'
940078381466390529,2017-12-11 04:38:46,b'@realDonaldTrump #thoughtsandprayers'
940078307801890817,2017-12-11 04:38:29,b'@realDonaldTrump #thoughtsandprayers'
940078257780568064,2017-12-11 04:38:17,b'@realDonaldTrump #thoughtsandprayers'
940077239613341696,2017-12-11 04:34:14,b'@realDonaldTrump #thoughtsandprayers'
940075275727003649,2017-12-11 04:26:26,b'@realDonaldTrump #thoughtsandprayers'
940075186040082433,2017-12-11 04:26:04,b'@VP @SecondLady #thoughtsandprayers'
940075094277177344,2017-12-11 04:25:42,b'@FLOTUS #thoughtsandprayers'
940075040590110720,2017-12-11 04:25:30,b'@FoxNews @WattersWorld @PressSec @BarackObama @realDonaldTrump #thoughtsandprayers'
940074917982126082,2017-12-11 04:25:00,b'@FoxNews @POTUS #thoughtsandprayers'
940074788629790721,2017-12-11 04:24:30,b'#thoughtsandprayers'
939347646006857728,2017-12-09 04:15:05,b'Thoughts and prayers.'
939324471424450560,2017-12-09 02:43:00,b'@realDonaldTrump #thoughtsandprayers'
939266061198913537,2017-12-08 22:50:54,b'@VICE @vicenews #thoughtsandprayers'
939253790833872896,2017-12-08 22:02:08,b'@FoxNews @FLOTUS #thoughtsandprayers'
939252687048232960,2017-12-08 21:57:45,b'@vicenews #thoughtsandprayers'
939252540042043395,2017-12-08 21:57:10,b'@realDonaldTrump #thoughtsandprayers'
939249813224386560,2017-12-08 21:46:20,b'@SecNielsen @DHSgov #thoughtsandprayers'
939249764079734789,2017-12-08 21:46:08,b'@CNN #thoughtsandprayers'
