id,created_at,text
940426162995585024,2017-12-12 03:40:44,"b'RT @ProudResister: Steve Bannon represents White Supremacy, Roy Moore represents Pedophilia, Mitch McConnell represents Billionaires, Donal\xe2\x80\xa6'"
940425545879207936,2017-12-12 03:38:17,"b""RT @krassenstein: Fox News poll: Doug Jones leads Roy Moore by 10 points \n\nWARNING: Don't believe it. They are likely trying to get Democra\xe2\x80\xa6"""
940425475628961792,2017-12-12 03:38:00,"b'RT @TheGoodGodAbove: Dear Alabamians,\n\nIf you call yourself a follower of Christ, then you already know the right thing to do tomorrow. Tho\xe2\x80\xa6'"
940083895717916672,2017-12-11 05:00:41,"b'@realDonaldTrump I sure hope you weren\xe2\x80\x99t in any proximity to schools. Hopefully, the children were evacuated before\xe2\x80\xa6 https://t.co/RlEe8DYxkk'"
940082056276557827,2017-12-11 04:53:22,b'RT @DearAuntCrabby: @realDonaldTrump @CNN Does this mean you are also going to call out @FoxNews for all their misreporting of all your #MA\xe2\x80\xa6'
940081892677771266,2017-12-11 04:52:43,"b""RT @billmaher: Isn't it weird Trump's gal Friday is Hope Hicks and his whole presidency is about giving hicks hope."""
940081787148972032,2017-12-11 04:52:18,"b'RT @PersistsSheDoes: @realDonaldTrump Lies, lies and more lies.  Like your huge inauguration crowd?  Or the tree lighting crowd? Not surpri\xe2\x80\xa6'"
940081712515526657,2017-12-11 04:52:00,"b""RT @PersistsSheDoes: Nike just dumped Trump. We can't let this momentum go to waste. Tell Starbucks: Move OUT of Trump Tower. https://t.co/\xe2\x80\xa6"""
939338914124390401,2017-12-09 03:40:23,"b""RT @Sethrogen: I was supposed to do a press tour on @SIRIUSXM on teusday but I'm no longer doing it because I can't bring myself to appear\xe2\x80\xa6"""
939317996312395776,2017-12-09 02:17:16,b'RT @tonyposnanski: Young lady walks in bar...\n\nDonald Trump- I\xe2\x80\x99d grab her pussy\n\nRoy Moore- She\xe2\x80\x99s too old\n\nTrent Franks- I need to impregna\xe2\x80\xa6'
938776150133817344,2017-12-07 14:24:10,b'@H_Combs @TomiLahren I mean seriously Tomi. I rather listen to cicadas swarm my house then hear the ignorant vile p\xe2\x80\xa6 https://t.co/ooprJhBXiX'
938774453374169088,2017-12-07 14:17:25,"b'RT @goldengateblond: Alexa, restore my faith in humanity. https://t.co/hyzuEBDPrK'"
938614317624188928,2017-12-07 03:41:06,"b'RT @PersistsSheDoes: @realDonaldTrump  Sooooo, about that trade gap promise you made.  China is winning bigly, your ""deals"", not so much, y\xe2\x80\xa6'"
938247555976007681,2017-12-06 03:23:43,b'RT @The_UnSilent_: Tickets are free! Register at the link below and let\xe2\x80\x99s see how many seats we can empty at @realDonaldTrump Nazi rally.\xe2\x80\xa6'
938247052739321861,2017-12-06 03:21:43,b'@MooreSenate I think you got that backwards. What you meant to say is \xe2\x80\x9cI value raping children and I want to go to Washington\xe2\x80\x9d'
938246116201480192,2017-12-06 03:18:00,b'RT @perlmutations: Wait. What? https://t.co/v99sVPKugh'
938242668903010304,2017-12-06 03:04:18,b'@SeeDaneRun @CNN \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 that\xe2\x80\x99s the best new nickname for the orange skid mark I have heard.... ever!!!! Crotch Fungus!!!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
938242327855763456,2017-12-06 03:02:57,"b'RT @TeaPainUSA: Woman:  ""I need to report a sexual assault.""\n\nPolice Chief:  ""I\'m sorry ma\'am, but your attacker is a Republican so there\'s\xe2\x80\xa6'"
938241665193598976,2017-12-06 03:00:19,"b'RT @JohnLeguizamo: In 1999, Jeff Sessions, then a senator from Alabama, argued that Clinton be removed from office for obstructing justice\xe2\x80\xa6'"
938240793696862213,2017-12-06 02:56:51,b'RT @EdKrassen: @IRdotnet @realDonaldTrump Is this another fundraiser for your legal fund?'
937880840012406784,2017-12-05 03:06:31,"b'RT @joncoopertweets: I\xe2\x80\x99m happy to report that @SenJohnMcCain has lost more than 10,000 followers since I posted the below tweet. Please ret\xe2\x80\xa6'"
937880674832302080,2017-12-05 03:05:52,b'RT @TheGoodGodAbove: The stupid people will never realize they\xe2\x80\x99re the stupid people \xe2\x80\x98cuz they\xe2\x80\x99re fuckin\xe2\x80\x99 stupid.'
937880277715701760,2017-12-05 03:04:17,"b'RT @PersistsSheDoes: MGM, release the Trump tapes already. https://t.co/o8hayqvvYQ'"
937801568925114368,2017-12-04 21:51:32,b'@realDonaldTrump @foxandfriends Your distraction from your upcoming prison sentence is adorable. I wonder if they w\xe2\x80\xa6 https://t.co/tUAKoXXMGJ'
937522773420736512,2017-12-04 03:23:42,b'RT @MMFlint: The only thing left to decide about Trump is do we try him as an adult?'
937522692562984960,2017-12-04 03:23:22,"b'RT @TheTweetwit: Donald J. Trump @realDonaldTrump TWEETED:\n\n""I never asked Comey to stop investigating Flynn. Just more Fake News covering\xe2\x80\xa6'"
937522548673097728,2017-12-04 03:22:48,"b""RT @RobMyers1968: FUCK YOU @GOP and all those who support you.  I don't give a rats ass if people unfriend me, this is personal. Cutting my\xe2\x80\xa6"""
937191949777244160,2017-12-03 05:29:07,b'@realDonaldTrump You wanna talk about no justice? Let\xe2\x80\x99s talk about why you aren\xe2\x80\x99t wearing a suit as orange as your\xe2\x80\xa6 https://t.co/ky3BxpuOm8'
937191457189912576,2017-12-03 05:27:10,b'@realDonaldTrump @ABC You do realize that calling it a witch hunt and fake news isn\xe2\x80\x99t going to change the fact you\xe2\x80\x99\xe2\x80\xa6 https://t.co/mD0rDEZji7'
