id,created_at,text
940373447246581760,2017-12-12 00:11:15,b'@jaeu2 @RipCitizen_NBA @cmclymer Soooo... You have nothing better to do other then blog and hate other people? Raci\xe2\x80\xa6 https://t.co/O4GPdpzPcd'
940353931191947265,2017-12-11 22:53:42,"b'@jaeu2 @RipCitizen_NBA @cmclymer Go back to school, and learn what you are talking about.\n ""A fool takes no pleasur\xe2\x80\xa6 https://t.co/DlRAb2TQNI'"
940251002246180869,2017-12-11 16:04:42,b'@realDonaldTrump @nytimes They can trace your television use\n...'
940249962956382213,2017-12-11 16:00:34,b'#NewProfilePic https://t.co/yV1gVW83v0'
940198912538873856,2017-12-11 12:37:43,"b""@jaeu2 @RipCitizen_NBA @cmclymer Nope I'm just trying to piss you off and it's working also, you aren't putting the\xe2\x80\xa6 https://t.co/ZX09nEFK5b"""
940193814714740736,2017-12-11 12:17:28,"b'@jaeu2 @RipCitizen_NBA @cmclymer ""You cannot pick &amp; choose read the entire book!"" Your point is mute, shut up.'"
940075827764518913,2017-12-11 04:28:37,b'@realDonaldTrump FREEDOM OF RELIGION HAIL ALLAH'
940075420627615744,2017-12-11 04:27:00,b'@realDonaldTrump FREEDOM OF RELIGION BITCH HAIL ALLAH'
940073327032377351,2017-12-11 04:18:41,"b'@jaeu2 @RipCitizen_NBA @cmclymer Bible said that all Jews needed to die, gays needed to die, and Palestines needed\xe2\x80\xa6 https://t.co/IV5Z9N0LQE'"
938743341268766720,2017-12-07 12:13:48,b'@Scavino45 Ladder'
938054850096631809,2017-12-05 14:37:59,"b'@realDonaldTrump Jesus was just a mislead child whose mom had with a man who was not Johseph, Praise Allah'"
934932286340034561,2017-11-26 23:50:01,"b'@FLOTUS @POTUS @WhiteHouse He pardoned the white ones, like usual'"
934931555797041152,2017-11-26 23:47:07,b'@eugenegu Ayyyy my boy Gu back with the roasts'
922233893864071168,2017-10-22 22:51:09,b'@realDonaldTrump R for Retard?'
921954722919206913,2017-10-22 04:21:49,"b""@GenJohnFKelly Was your son black? I agree that it's sad that he gave his life.  But he took the risk.  Black peopl\xe2\x80\xa6 https://t.co/McZiNN366Z"""
921953530906333184,2017-10-22 04:17:05,"b'@realDonaldTrump @bpolitics Was already on the upclimb, you inherited a good situation'"
919640127181344768,2017-10-15 19:04:27,b'@JacobAWohl @realDonaldTrump The Trump train is on a collision course with war and chaos.'
919639879360839680,2017-10-15 19:03:27,b'@realDonaldTrump What does that have to do with you?'
915901767090626560,2017-10-05 11:29:32,"b""@johniadarola @realDonaldTrump Aren't those the people that tell him he's smart? Wait that's Fox news...."""
915900414863822850,2017-10-05 11:24:10,"b'@realDonaldTrump You are right, Fox news, is fake.'"
710231546293309440,2016-03-16 22:29:30,"b""I'm in the running to win a powerful MSI Gaming Laptop with @BundleStars. Get your entry in too: https://t.co/U2GCqNZrjT"""
662049726389424132,2015-11-04 23:32:09,b'At Moes #awesome'
