id,created_at,text
940429002971533312,2017-12-12 03:52:01,b'RT @dmccay77: @DonaldJTrumpJr @G6throughF5  https://t.co/g4uLfWgy0w'
940428328229593089,2017-12-12 03:49:20,b'RT @Southviabirth: @DonaldJTrumpJr There\xe2\x80\x99s no Twitter in jail. Diaper Donnie'
940428164798566400,2017-12-12 03:48:41,b'RT @needsomerest2: @DonaldJTrumpJr  https://t.co/W3ownZ6K3B'
940393876824711168,2017-12-12 01:32:26,"b""RT @JoeNBC: Hey Bannon, you only went to Harvard because you couldn't get into Alabama. #RollDamnTide https://t.co/AUj9U3CihU"""
940393669974114304,2017-12-12 01:31:37,b'RT @CNNPolitics: A group of Democratic congresswomen is calling on the House Oversight Committee to investigate allegations of sexual misco\xe2\x80\xa6'
940378121882230784,2017-12-12 00:29:50,b'@JacobAWohl @realDonaldTrump Go hang yourself you ass!!!!!!'
940377405503496192,2017-12-12 00:26:59,b'@zenflakes @cristinyaccarin @Siliconlaw @Divscotty @bsb3242 @aprilmayn @realDonaldTrump No way!!!  They all deserve justice!'
940376527145000960,2017-12-12 00:23:30,"b""@cristinyaccarin @Siliconlaw @Divscotty @bsb3242 @aprilmayn @realDonaldTrump Oh no!    He didn't touch you to?"""
940376091444817920,2017-12-12 00:21:46,b'@cristinyaccarin @aprilmayn @realDonaldTrump Jerks like you voting for him'
940375776624594944,2017-12-12 00:20:31,b'@realDonaldTrump Just following your lead'
940375161810882560,2017-12-12 00:18:04,b'RT @CNNPolitics: CNN Exclusive: Sen. Kirsten Gillibrand calls on President Trump to resign\nhttps://t.co/zn1rACgtQn https://t.co/JGIJWTQZtK'
940073916789268480,2017-12-11 04:21:02,"b""@realDonaldTrump Oh wow... what inspiring words. Yes this is my land, my home and my voice.  Sooooo the change I've\xe2\x80\xa6 https://t.co/Jt9pMvkIDR"""
940070668711759872,2017-12-11 04:08:07,b'@JacobAWohl @realDonaldTrump Hey dick head. Time to take action on a-holes like you!'
940069751493029894,2017-12-11 04:04:29,"b""RT @deedeesSay: @realDonaldTrump \xf0\x9f\x8e\xb6chumpie's having a melt down... na na na na na naaaaahhhhhhh \xf0\x9f\x8e\xb6 https://t.co/VAYCiSot5u"""
940069616235057152,2017-12-11 04:03:56,b'RT @mary513: @realDonaldTrump  https://t.co/Ig3Ke50CHB'
940069409455927297,2017-12-11 04:03:07,b'@realDonaldTrump tRump..... You are a stain on AMERICA!!!'
938986938479951872,2017-12-08 04:21:46,"b""RT @Grafx_Rob: @ErikaHarlacher Maybe that explains him the day before. I'll bet he'd hate to see this picture retweeted... \n#DentureDonald\xe2\x80\xa6"""
938986363554209794,2017-12-08 04:19:29,b'RT @RHart_York: #DentureDonald #DentureDonald #DentureDonald #DentureDonald #DentureDonald #DentureDonald #DentureDonald #DentureDonald #De\xe2\x80\xa6'
938986029142306817,2017-12-08 04:18:09,"b""RT @BinksterD: If #DentureDonald keeps trending, I'm gonna get mad.\nWhat?\nNow #DentureDonaldASongOrMovie is trending?\n@Trevornoah, this is\xe2\x80\xa6"""
938985638216417280,2017-12-08 04:16:36,"b""RT @RoseNels1951: #DentureDonald:  Remember, Trevor Noah has asked that we don't tweet this.  Again, please DON'T tweet #DentureDonald.   T\xe2\x80\xa6"""
938985336369176576,2017-12-08 04:15:24,"b""RT @AndrewBloom97: @TheDailyShow Got it. I won't tweet #DentureDonald anymore ;)\n.\n.\n.\n(#DentureDonald #DentureDonald #DentureDonald #Dentu\xe2\x80\xa6"""
938985259978207235,2017-12-08 04:15:06,b'RT @AmericasPapi: @realDonaldTrump You might want to give them a call before your next speech \n#DentureDonald #impeach #resist https://t.co\xe2\x80\xa6'
938985187035119618,2017-12-08 04:14:48,b'RT @pavlovlover: He even looks evil swirling whatever is going on with his maw in there . . .  #DentureDonald https://t.co/WFX48wooHe'
938984656980008960,2017-12-08 04:12:42,b'RT @resistedsister: I cannot with the person who created this gif of #DentureDonald \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dDwyMycMuP'
938907764994334720,2017-12-07 23:07:09,b'@washingtonpost Friends????'
938905365340721154,2017-12-07 22:57:37,"b'@SenFranken Sen. Franken, you got railroaded on this one. I am ashamed as a Democrat that you were treated by your\xe2\x80\xa6 https://t.co/apeg4Lum0v'"
