id,created_at,text
940367474813489152,2017-12-11 23:47:31,b'@AlChestBreach Some how i expect Harvey has something to do with this his always plotting.'
940366783755714560,2017-12-11 23:44:47,"b""@calgarysun The city seriously just needs to build another arena seems like its the cities government that doesn't\xe2\x80\xa6 https://t.co/Gbiwg0ik6f"""
940365785259790336,2017-12-11 23:40:49,b'@IslesBlog They could never afford him and there window of winning is closing pretty quick little princess of there\xe2\x80\xa6 https://t.co/cmcbqYvyEv'
940307689187536897,2017-12-11 19:49:57,b'@danawhite @keaton Making money off this is truly sad from what i keep hearing the kid had it coming going to be a\xe2\x80\xa6 https://t.co/Ql14636JLg'
940159803921453056,2017-12-11 10:02:19,b'@realDonaldTrump  https://t.co/hdD0oAyrkc'
940108760135098368,2017-12-11 06:39:29,b'Two Cousins Loven \n#RejectedCountryBandNames'
940097683825467392,2017-12-11 05:55:28,b'@realDonaldTrump If there was a god you definitely wouldnt be in charge'
940096429988515840,2017-12-11 05:50:29,b'@realDonaldTrump @pixelatedboat @UncleBibby @BestBergerever Just no'
940092232283054080,2017-12-11 05:33:48,b'@lindseyvonn All you people saying she deserved this and this is karma are pathetic people are allowed to have opin\xe2\x80\xa6 https://t.co/SXVEqkTqh4'
939647925717815297,2017-12-10 00:08:17,b'@Feinsand @MLB Shesh they seriously need to put in a salary cap seems pretty unfair for teams that can never afford things'
939647408237096960,2017-12-10 00:06:14,b'@MLB @Giancarlo818 Seriously need to do a salary cap'
938991255203090437,2017-12-08 04:38:55,"b""RT @EatMyDiction1: Hey a good game that's actually a finished product won GOTY nice dudes! #TheGameAwards2017"""
938620041993572352,2017-12-07 04:03:51,b'@TheFourthPeriod Why would NJ be there  seems  weird unless it maybe for depth the team looks good as it is some off nights but still.'
938538434066513922,2017-12-06 22:39:34,b'@JStein_Wonkblog We need a goverment purge'
938271409759023105,2017-12-06 04:58:30,b'#ThingsNotSoldOnAmazon  A buttplug the size of Trumps ego.'
937917218637086721,2017-12-05 05:31:05,b'@TSNBobMcKenzie Should be a central divison team being added no offense to seattle but even up the divisions first'
937914162063298560,2017-12-05 05:18:56,b'@Dansgaming  https://t.co/v4A0hWTBSq'
937814531501445122,2017-12-04 22:43:02,b'@HRC Oh he will serve girls not in a good way though i cant believe his allowed to run pedophiles running for senat\xe2\x80\xa6 https://t.co/jhtflO7Hm6'
937814026909831168,2017-12-04 22:41:02,b'@realDonaldTrump Gg nice to know this country now supports pedophiles  that man gets the seat then this is the one\xe2\x80\xa6 https://t.co/qu0aNKMK3S'
937521412222439424,2017-12-04 03:18:17,b'@DGComedy Im starting to think Alex Jones has a serious mental problem.. https://t.co/aWk4B13xJV'
937418156938878976,2017-12-03 20:27:59,b'@LuiCalibre  https://t.co/wgqahvFzkY'
937417721620434944,2017-12-03 20:26:15,b'@realDonaldTrump Lay off the crack your starting to make things up in your mind again https://t.co/8DsUFKh4of'
937412976830832641,2017-12-03 20:07:24,b'The hot dog sausage elders have spoken xD https://t.co/9ubQyTOti7'
936856164960059392,2017-12-02 07:14:50,b'Well you know if this #TaxScamBill passed threw you can pretty much  gurantee you can kiss @NetNeutrality gone also\xe2\x80\xa6 https://t.co/qDUBimBEQK'
936852774263779333,2017-12-02 07:01:21,b'@realDonaldTrump Yay thank for screwing the middle class over yet again well whats left of them got to protect your\xe2\x80\xa6 https://t.co/zmjHCvvjKa'
936842338122350592,2017-12-02 06:19:53,b'@SenateGOP @POTUS So you really want to screw over people this badly huh.. Are you sure your for the american peopl\xe2\x80\xa6 https://t.co/IbnbvBBo14'
936733629216165888,2017-12-01 23:07:55,b'@AGrossRecord Not sure why people are complaining vatanen is s top 4 dmen  santini sitting for a game wont hurt anything'
936087674263392256,2017-11-30 04:21:07,b'@Dansgaming How dare you sir i say how dare you. https://t.co/8Mwi7JJzzp'
935740885475708928,2017-11-29 05:23:06,b'@BrendanCarrFCC The american people know your not in favor of what  we want stop trying to act like you are because\xe2\x80\xa6 https://t.co/edraBJDGEP'
935740037039296512,2017-11-29 05:19:44,"b""@kristianstout @AjitPaiFCC @WSJopinion you know you won't win mister Ajit give up you do this there is going to be\xe2\x80\xa6 https://t.co/jzQiFs8R5o"""
935335155333521408,2017-11-28 02:30:53,b'@NJDevils  https://t.co/XsHqvYmOP1'
935325605263966208,2017-11-28 01:52:56,b'@NJDevils the boy are aware there is a game happening right? only person who seems to be there is Schneider he can only do so much though'
935293174834221056,2017-11-27 23:44:04,b'@Prospects_Watch More like who could afford him canadeins would want a kings ransom for him'
935264309353025536,2017-11-27 21:49:22,"b""@ACLU i still love how trump supporters say he isn't racist."""
935226058537947137,2017-11-27 19:17:22,"b""@Phaiax @WahcaMia @Macaron_1971 @realDonaldTrump @FoxNews Hey don't be so rude to the joker his 100 times better th\xe2\x80\xa6 https://t.co/iNsfximO89"""
935224651533438976,2017-11-27 19:11:47,b'@realDonaldTrump To bad no vote was illegal you lost the popular vote get over it nut job.'
