id,created_at,text
940063919460122624,2017-12-11 03:41:18,b'@realDonaldTrump @USArmy @USNavy  https://t.co/HRQInhjlJZ'
939383695236059136,2017-12-09 06:38:20,b'@FlatEarthOrg @Alexa_Kantor @SamualSeptember @DrPaulDWilliams @HSchlembach @Enkide Were*'
939383517435322368,2017-12-09 06:37:38,"b""@FlatEarthOrg @Alexa_Kantor @SamualSeptember @DrPaulDWilliams @HSchlembach @Enkide M8. You known the earth isn't fl\xe2\x80\xa6 https://t.co/Mbt5wEUGMw"""
936423154335014912,2017-12-01 02:34:12,"b""@FlatEarthOrg Get fucked, you know the earth isn't flat, you're just too afraid to accept it"""
936211625304055809,2017-11-30 12:33:40,"b""@FlatEarthOrg  I'm going to be pushed off of the earth \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 https://t.co/WIjtaWq0ZV"""
936083896164380673,2017-11-30 04:06:07,b'@FlatEarthOrg Fuck you https://t.co/q8xYimTp04'
930061486377934848,2017-11-13 13:15:12,b'@MiniLaddd Your hair is the same color as your cs:go rank'
889157290733031424,2017-07-23 16:16:32,b'@MiniLaddd  https://t.co/DcIjzacKIe'
886619908695523330,2017-07-16 16:13:53,b'@wiildladd @MiniLaddd @YouTube  https://t.co/0lvavWu2IY'
885165570865410048,2017-07-12 15:54:52,b'@DIWD_Official  https://t.co/lnarkgA1Ap'
885165352958779392,2017-07-12 15:54:00,b'@MiniLaddd How where you 4hrs late to @DaithiDeNogla in that beauty?'
884823621516054529,2017-07-11 17:16:05,b'@MiniLaddd @Terroriser @DaithiDeNogla Talk aboot memes'
877118517660798976,2017-06-20 10:58:45,b'@MiniLaddd  https://t.co/DNsdxVNute'
863876441682870277,2017-05-14 21:59:28,b'@pewdiepie tHaTS tHe REaL AMOunT YOu DEServE https://t.co/VOsgKZkotA'
858896320362426368,2017-05-01 04:10:14,b'@MiniLaddd  when people ask why you need two monitors https://t.co/Ryq3GwYrQe'
847759199845179392,2017-03-31 10:35:18,"b""@MiniLaddd Welp... I'm happy that I've watched it before they did that, R.I.P"""
844616508642934799,2017-03-22 18:27:22,b'@MiniLaddd @tom_catalyst I had a dream where I kidnapped a chicken for some reason'
843005775081627649,2017-03-18 07:46:53,b'@MiniLaddd https://t.co/wnf7DEtPrT'
841489784581296128,2017-03-14 03:22:53,b'@MiniLaddd @YouTube you should play The Forest mini'
780888223627214848,2016-09-27 21:53:55,b'#I #got #Free #Steam #Wallet #Gift #Code #From #Below #URL https://t.co/iFWsUGRz1R'
780883492049682433,2016-09-27 21:35:07,b'https://t.co/at7HgXbkmd - Help me to collect referrals for Steam-Wallet reward! M'
780883254815682561,2016-09-27 21:34:10,b'https://t.co/at7HgXbkmd - Help me to collect referrals for Steam-Wallet reward!'
