id,created_at,text
940071254362484736,2017-12-11 04:10:27,b'@realDonaldTrump @daveweigel @washingtonpost You mad bro? @realDonaldTrump'
933314515747274753,2017-11-22 12:41:35,b'@realDonaldTrump What time do you go to bed? https://t.co/0YUiaJUays'
932470001495240704,2017-11-20 04:45:47,"b'@PressSec I was going to Tweet some stupid shit regarding your face and how you don\xe2\x80\x99t provide shit for the press, i\xe2\x80\xa6 https://t.co/oQVXwxSB8f'"
932465209389621248,2017-11-20 04:26:44,b'RT @YG: Played yo dumb ass https://t.co/5pAUUVCFRs'
932464406218260481,2017-11-20 04:23:33,"b""RT @ThePunisher: When your friend tells you they haven't started #ThePunisher yet... https://t.co/lHFZml7crg"""
932463948258983937,2017-11-20 04:21:44,b'@perlmutations Trump looks like he\xe2\x80\x99s just shit himself. \xf0\x9f\x98\x82'
931683864233119744,2017-11-18 00:41:57,b'@prthatrocks @perlmutations @PressSec @SarahHuckabee This is amazing! \xf0\x9f\x98\x82'
931683020662235136,2017-11-18 00:38:36,b'something about your face 0001 https://t.co/ibFUyMzQRM via @YouTube'
917475121316560896,2017-10-09 19:41:29,b'Happy Erikson day! https://t.co/XqLiv5dHS0'
914273566098460673,2017-09-30 23:39:39,b'@realDonaldTrump  https://t.co/o1DZzYqNTA'
914272359195992064,2017-09-30 23:34:51,b'@realDonaldTrump \xf0\x9f\x98\x82 Cha! Right! He lost points because of your endorsement. Are you Mental? Nobody wants your endorsements Stacey!'
912381632920866823,2017-09-25 18:21:47,b'@WalshFreedom Maybe one day you\xe2\x80\x99ll get lucky \xf0\x9f\x8d\x80 and become a victim of that crime statistic. Karma\xe2\x80\x99s a mother fucker.'
912176583254802432,2017-09-25 04:46:59,b'@realDonaldTrump You need to do some \xe2\x80\x9cvetting\xe2\x80\x9d on yourself. Dividing is your number\xe2\x98\x9d\xf0\x9f\x8f\xbcpriority. FDT!'
912138409870630912,2017-09-25 02:15:18,b'@realDonaldTrump Thanks for making Hockey great again! https://t.co/LKbaEKd6yn'
912093623981707265,2017-09-24 23:17:20,"b'RT @TellEmMikey: @realDonaldTrump They\xe2\x80\x99re uniting against you, you dumb mother fucker.'"
905962572117008384,2017-09-08 01:14:43,b'@realDonaldTrump I advise you and your staff to take shelter in #MaraLago during #hurricaneirma and heed the advice of local Democrats!\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
905241968183148544,2017-09-06 01:31:18,"b""@realDonaldTrump You'll be gone in 6 months. \xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc\xf0\x9f\x96\x95\xf0\x9f\x8f\xbc"""
905241376631042050,2017-09-06 01:28:57,b'https://t.co/ltf380H9qM'
904510837196337153,2017-09-04 01:06:03,b'RT @Ch4BrickTamland: Dolphins are truly beautiful \xf0\x9f\x90\xac https://t.co/vhlEns4B6e'
903814877365407745,2017-09-02 03:00:33,"b'@realDonaldTrump By Working you mean, cleaning up the dump of a White House your forced to tweet about staying in. Get your knee pads on!'"
903802021865590784,2017-09-02 02:09:28,b'I think I need Vodka.'
899671122441940993,2017-08-21 16:34:45,"b""RT @brooklundy1: @IvankaTrump @smithsonian @airandspace That's longer than most White House employees last."""
898780375882752001,2017-08-19 05:35:14,"b""@EdKrassen @realDonaldTrump He's just trying to figure what he's going to tweet tomorrow in connection with the Nazis. \xf0\x9f\xa4\x94"""
887850452003332096,2017-07-20 01:43:37,b'RT @Ch4BrickTamland: Me when I meet people https://t.co/uqOeIaW8i7'
886791177210437633,2017-07-17 03:34:27,b'@deray you work for the BLM in Idaho. Bureau of Land Management is a good gig around here!'
883513225647501313,2017-07-08 02:29:02,b'RT @TheNotoriousMMA: I am built to run through people. https://t.co/Lx08t2UrVp'
883510609542762496,2017-07-08 02:18:38,b'RT @TheNotoriousMMA: If he dies. He dies. https://t.co/MsjHIMUY3o'
882419779729936384,2017-07-05 02:04:04,b'Louisiana hot links! \xf0\x9f\x92\xa9 \xf0\x9f\x94\xa5 \xf0\x9f\x9a\xbd!!!'
882337085289488385,2017-07-04 20:35:28,b'It makes so much sense though! https://t.co/3v9lVI17hG'
881324579024642048,2017-07-02 01:32:08,b'Vacation starts right now! https://t.co/ycGMBeLnVJ'
871448799411003392,2017-06-04 19:29:19,b'Hungry!'
866288134727671808,2017-05-21 13:42:40,"b""When one flush just isn't enough! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x90\x92"""
