id,created_at,text
940273025722789888,2017-12-11 17:32:13,b'@realDonaldTrump @nytimes Way to debunk rumors on social media like a middle-school girl.'
940089474070876160,2017-12-11 05:22:51,"b""Why can't Luis just be real with himself and leave??!  #90dayfiance"""
940089091604889600,2017-12-11 05:21:20,b'@realDonaldTrump Take a look at yourself in the mirror before you call others fake.'
940087579868774407,2017-12-11 05:15:19,b'@1PlanetClaire This. #90dayfiance'
940087409760276480,2017-12-11 05:14:39,"b'RT @haikutweeting: Best TV line of the year: ""You\xe2\x80\x99re blaming an owl with a candle on the fact that you are an asshole."" #90DayFiance'"
935829864929689600,2017-11-29 11:16:41,"b'RT @twillight23: @IrisRimon Jack Skellington, who knew nothing about Christmas, did it better.'"
933911692693602305,2017-11-24 04:14:33,b'@KKCraine @perlmutations @POTUS You are part of the problem by defending him...#clueless'
933531109773709313,2017-11-23 03:02:15,"b'RT @DEW_1968: Because You think ""Thoughts and Prayers"" actually solves problems #AndThatsWhyWeCantBeFriends https://t.co/5JetczFgKf'"
933531085631295490,2017-11-23 03:02:09,b'@DEW_1968 Bwhahaha this relates to too many people I know #andthatswhywecantbefriends #youknowwhoyouare'
933530546520674304,2017-11-23 03:00:01,"b'RT @Dreamweasel: You routinely use the expression ""butthurt libtard snowflakes""\n\n #AndThatsWhyWeCantBeFriends'"
933530520704704512,2017-11-23 02:59:54,b'RT @JemiSHaaaZzz: You voted for Trump #AndThatsWhyWeCantBeFriends'
933530258854342657,2017-11-23 02:58:52,"b""@Pringles where's my Thanksgiving dinner at??! Please make more next year!!"""
933403402222043136,2017-11-22 18:34:47,"b'RT @nicktsimmons: when I ask ""is someone sitting here?"" and the person replies, ""yes,"" is there any appropriate response that can make me f\xe2\x80\xa6'"
931008899641200640,2017-11-16 03:59:53,b'@SheWolf310 @TLC  https://t.co/2XRun9cndL'
931008094695501825,2017-11-16 03:56:41,"b'RT @livelife1964: All the millennials Googling ""Who is Charles Manson"" https://t.co/4J8hnVN9bZ'"
931005705670348800,2017-11-16 03:47:12,"b""@MallieRydzik I'm 29 and no kids. Ditto!! \xf0\x9f\x91\x8d"""
931005311086989313,2017-11-16 03:45:38,"b""What school doesn't require sex education in a health class???!!! #Unexpected"""
931004973646835719,2017-11-16 03:44:17,"b""I'm 29 and no kids. I was an outcast in high school but at least I wasn't pregnant at 15. #Unexpected"""
930657767337156608,2017-11-15 04:44:37,"b""RT @meganamram: Republicans want life to begin at conception so they can convince themselves the kids they're attracted to are at least 9 m\xe2\x80\xa6"""
928798693930696704,2017-11-10 01:37:19,"b""@blueridgelove39 @MyFavMurder @truecrimegarage @WineandCrimePod Don't forget @MurderSmall  \xf0\x9f\x91\x8d"""
925184867943567360,2017-10-31 02:17:16,"b""RT @fortunefunny: U can't be in the closet your whole career b/c it's safe &amp; then when u get accused of pedophilia u drag the whole gay com\xe2\x80\xa6"""
925055328089264128,2017-10-30 17:42:31,"b'@ShannonC8183 @nicktsimmons @GameOfThrones No, right on point \xf0\x9f\x91\x8c\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x82'"
923594039135522817,2017-10-26 16:55:53,b'@pattonoswalt Needles in the change drop? Jk'
921998063736119296,2017-10-22 07:14:02,"b""@YourBoyFred_ @lizmeriwether Birth control isn't free. The health insurance I WORKED for paid for it.  I would rath\xe2\x80\xa6 https://t.co/4D6bPcUKCu"""
921534586366103554,2017-10-21 00:32:21,b'@snapsforjillian @MurderSmall @CrimeInSports You forgot whenever they mention oil \xf0\x9f\x98\x82\xf0\x9f\x91\x8d'
920880375307603968,2017-10-19 05:12:45,b'@metmuseum Iowan here. Yay!'
918679223719612416,2017-10-13 03:26:09,"b""@Leslie67915456 @nowthisnews What's your proof? Go to bed, grandma."""
917874423134326788,2017-10-10 22:08:10,"b""@truecrimegarage @oxygen So many theories and so little time \xf0\x9f\x98\xa5. Personally I wanna be optimistic and say she's alive in Canada?"""
909959140080017408,2017-09-19 01:55:39,b'@truecrimegarage Never!'
908900422437523456,2017-09-16 03:48:41,b'New Kids on the Block suck a lot of tits.. #LFO #BoobASong'
908898268784025600,2017-09-16 03:40:08,b'@GordonRamsay does pineapple go on pizza?'
908898065989472256,2017-09-16 03:39:20,b'@mikeymoviemusic @truecrimegarage This is perfect \xf0\x9f\x92\xaf'
908701762185555968,2017-09-15 14:39:17,b'@MurderSmall thanks for getting me thru my work day! Keep up the laughs xoxo'
907439457342763008,2017-09-12 03:03:20,"b""@truecrimegarage Throw in some beer and I'll have to get a t-shirt \xf0\x9f\x91\x8d"""
907439158037282816,2017-09-12 03:02:09,b'@BarackObama Miss you \xf0\x9f\x98\xa5 \xe2\x99\xa5\xef\xb8\x8f'
907278211888898049,2017-09-11 16:22:36,b'@truecrimegarage What are you cooking me? :)'
896569265930854400,2017-08-13 03:09:05,"b'@truecrimegarage ""but what I\'m saying is, Captain....""'"
896219428303622145,2017-08-12 03:58:57,"b""@truecrimegarage How's that Billy Beer? :)"""
893179511138897920,2017-08-03 18:39:24,"b'@truecrimegarage you guys are awesome! Thanks for getting me thru my work day, good vibes sent from Iowa! Xo'"
872860062032769026,2017-06-08 16:57:10,"b""@VP As long as you keep governing my uterus we're gonna be...."""
865229936658976770,2017-05-18 15:37:46,"b""@GShaneMorris The Handmaid's Tail is your wet dream, isn't it?"""
865229483997106176,2017-05-18 15:35:58,"b""@GShaneMorris I'm 28, no kids, have a bf and a dog. Wouldn't change it for the world. Get your Bible-thumping head out of your ass."""
