id,created_at,text
940077283884220416,2017-12-11 04:34:24,b'@CBSNews @bravenewfilms Stupid r u to be part of this.  Trump is far better than your slush fund grabbers!'
940075006796611584,2017-12-11 04:25:22,b'@dbk0727 @FLOTUS @CoastalBendFB She speaks many languages fluently. How many do u???'
940074388619083776,2017-12-11 04:22:54,b'@FLOTUS @CoastalBendFB We love u.'
940074138441457665,2017-12-11 04:21:54,b'@realDonaldTrump I am fighting my HOA now. They want me to remove all my birdhouses from front yard. Wish u could help me.'
940073790637187072,2017-12-11 04:20:32,b'@realDonaldTrump Take funding away from NFL. WHY do they get $$$anyway???'
940073515318779904,2017-12-11 04:19:26,b'@PrmMvrPolitics @williamOsborn_ @realDonaldTrump No u don\xe2\x80\x99t. U only want to crab.'
940073318199189505,2017-12-11 04:18:39,"b'@MarcoPolo305954 @williamOsborn_ @realDonaldTrump Bull. U r a sore loser. Prefer a traitor and thief of obama, huh??'"
940073168852545537,2017-12-11 04:18:03,b'@CorporalRicci @williamOsborn_ @realDonaldTrump Don\xe2\x80\x99t u know how to read?'
940073056390733826,2017-12-11 04:17:37,b'@JohnBar80104300 @williamOsborn_ @realDonaldTrump Obama spent more'
940072964178898946,2017-12-11 04:17:15,b'@victoriavonb @williamOsborn_ @realDonaldTrump GET RID OF PAUL RYAN. NONE OF US WANT DACA ILLEGALS HERE.  PERIOD. F\xe2\x80\xa6 https://t.co/0efvDt26cs'
940072612364894208,2017-12-11 04:15:51,b'@OompaLoompaUSA @williamOsborn_ @realDonaldTrump GET RID OF PAUL RYAN. NONE OF US WANT DACA ILLEGALS HERE.  PERIOD.\xe2\x80\xa6 https://t.co/urhqexRiAQ'
940072559873101828,2017-12-11 04:15:38,b'@OompaLoompaUSA @williamOsborn_ @realDonaldTrump Why were u at the Austin rally if u say this??'
940072108268306437,2017-12-11 04:13:50,b'@realDonaldTrump GET RID OF PAUL RYAN. NONE OF US WANT DACA ILLEGALS HERE.  PERIOD. FIRE HIM.  REMOVE HIM FROM POWE\xe2\x80\xa6 https://t.co/OtiN0YZrqp'
925972770604945408,2017-11-02 06:28:06,"b'@kingskid2020 @GOP Yet u wanted hilary, biggest thief &amp;liar? Hussein was the liar.'"
925971627103440896,2017-11-02 06:23:34,b'@GOP I am a retired under $25k. Trump plan raises my tax by 2%. This is no cut. What about employees who must drive? Need mileage expense'
925968025215479809,2017-11-02 06:09:15,b'Never tweeted before. Only replied. Time to learn! Astros won tonight!'
925963633376579584,2017-11-02 05:51:48,"b'@GOP @SenJohnThune Retirees need tax cuts, not 2%increase'"
925962427044425728,2017-11-02 05:47:00,b'@HMAesq @FAIRImmigration @BreitbartNews No!! U must meet rules to get valid ssn or ITIN. DEPORT ALL ILLEGALS. PERIOD.'
925962062286721024,2017-11-02 05:45:33,"b'@FAIRImmigration @BreitbartNews I knew that from the beginning, having worked at IRS'"
924164412881227776,2017-10-28 06:42:20,b'@TrendHot_ What happened?'
922990441225687040,2017-10-25 00:57:24,b'@FAIRImmigration @dallasnews @tweeterson Mexico has NO SAY so in our country!'
922989417286991872,2017-10-25 00:53:20,b'@B_Rouse @Jali_Cat @FLOTUS Look at Obama\xe2\x80\x99s and slutty rappers and rheanna'
922988764317847554,2017-10-25 00:50:44,b'@FLOTUS Not far from Utica where I grew up.\xf0\x9f\x98\x8a'
922988484096380928,2017-10-25 00:49:37,b'@KennethWingard Are u in Topeka?'
916718716016087041,2017-10-07 17:35:48,b'@southernkat360 @FAIRImmigration @BreitbartNews @IP_Mason Amen'
916718595283054593,2017-10-07 17:35:19,"b'@FAIRImmigration @BreitbartNews @IP_Mason If they are in our country and can\xe2\x80\x99t speak English by now, it\xe2\x80\x99s proof the\xe2\x80\xa6 https://t.co/dHwvpso0Nk'"
916717796528140288,2017-10-07 17:32:09,b'@cbsaustin Austin is liberal and stupid.  Columbus discovered those indigenous people who lived here.'
916716850930741248,2017-10-07 17:28:23,b'@klkopinion @cbsaustin No....TRUMP WON. HE HAD MOST.'
916716748782661633,2017-10-07 17:27:59,b'@cbsaustin Why don\xe2\x80\x99t you poll TRUMP SUPPORTERS? Your figures will change.'
916716512718749699,2017-10-07 17:27:03,b'@IMI_social @Lumosity I love WORD BUBBLES. Now on level 49 of 50'
916716357173022722,2017-10-07 17:26:25,b'@Lumosity Shouldn\xe2\x80\x99t it be luminosity?'
916714667988389889,2017-10-07 17:19:43,b'@SPimpernel13 @FAIRImmigration @BreitbartNews @NeilMunroDC Well put! No rewards to hussein!'
