id,created_at,text
940414528617107456,2017-12-12 02:54:30,"b""RT @krassenstein: I'm not sure if we should be more concerned that all these politicians and our President are sexual deviants and alleged\xe2\x80\xa6"""
940414336425701377,2017-12-12 02:53:44,"b""RT @DavidAFrench: Do you ever write 2,000 words and think you've barely skimmed the subject? Here's the comprehensive case against Roy Moor\xe2\x80\xa6"""
940414202275123201,2017-12-12 02:53:12,"b'RT @CNN: ""This is serious sexual harassment and misconduct, and he should be held just as accountable as a member of the Senate"": Sen. Jeff\xe2\x80\xa6'"
940413976961265664,2017-12-12 02:52:18,"b""RT @krassenstein: It\xe2\x80\x99s time to thoroughly investigate the multiple sexual assault charges against Donald Trump.\nBeing President doesn't mak\xe2\x80\xa6"""
940413774019858432,2017-12-12 02:51:30,"b""RT @EdKrassen: Remember when Hillary Clinton lost the election because Russia misdirected the American people?\n\nDon't let this happen again\xe2\x80\xa6"""
940396893682782208,2017-12-12 01:44:25,"b""RT @CNN: Here's what really scares Donald Trump | Analysis by CNN's Chris Cillizza https://t.co/uNxpM4yvKZ https://t.co/FaGK8zLXf3"""
940394470712934405,2017-12-12 01:34:48,"b'RT @CNN: Airlines made a record $1.2 billion off baggage fees between July and September, up 10% from the same time period last year https:\xe2\x80\xa6'"
940393803025911808,2017-12-12 01:32:08,"b""RT @CNN: Sarah Sanders just made a hugely offensive allegation against the media | Analysis by CNN's Chris Cillizza https://t.co/z5gswR1gPF\xe2\x80\xa6"""
940391850510372864,2017-12-12 01:24:23,"b'RT @CNN: He may no longer be in office, but former President Obama is still encouraging people to sign up for Obamacare as a deadline appro\xe2\x80\xa6'"
940391785901314048,2017-12-12 01:24:08,b'RT @rebecca_rigor: Hopefully Alabama will NOT vote for Moore..'
940391724031074306,2017-12-12 01:23:53,"b'RT @CNN: Condoleezza Rice on the Alabama special election: ""Reject bigotry, sexism, and intolerance"" https://t.co/05g4mHhDPC https://t.co/k\xe2\x80\xa6'"
940390957899567104,2017-12-12 01:20:50,"b'RT @cnnbrk: The New Yorker has fired star political reporter Ryan Lizza, following a review of what it called ""improper sexual conduct"" htt\xe2\x80\xa6'"
