id,created_at,text
940426584544174082,2017-12-12 03:42:24,b'RT @goldengateblond: There were 60 sources for the story. That means 60 people around you sold you out. Have a great day! https://t.co/iPjd\xe2\x80\xa6'
940426243081736194,2017-12-12 03:41:03,b'@rdwaite @Angela48525188 @vanisles @CNNPolitics I draw the line at throwing another Senator under the bus to remove\xe2\x80\xa6 https://t.co/a5eMqJTY6V'
940425916148264960,2017-12-12 03:39:45,"b""@Angela48525188 @vanisles @CNNPolitics Stabbing her better in the back wasn't a good move."""
940425707196428288,2017-12-12 03:38:55,b'@GerardoRitchey @yvettedube @milohagie @CNNPolitics @SenFranken To whom exactly?\n\nWho cares how it looks! The nation is in peril.'
940425447015403520,2017-12-12 03:37:53,b'RT @yvettedube: @GerardoRitchey @milohagie @CNNPolitics Don\xe2\x80\x99t you think @SenFranken should postpone resignation until after the ethics inve\xe2\x80\xa6'
940425425813147650,2017-12-12 03:37:48,"b""RT @GerardoRitchey: @CNNPolitics I like Senator Gillibrand, but it's interesting how she now feels that a Congressional Ethics Investigatio\xe2\x80\xa6"""
940425331097382914,2017-12-12 03:37:25,b'RT @ShaunKing: I have to say this:\n\nRobert Mueller and James Comey are LIFELONG REPUBLICANS.\n\nJust heard Hannity and others call them both\xe2\x80\xa6'
940425188625264646,2017-12-12 03:36:51,"b'RT @Brasilmagic: Just asking: in almost a year, what has Melania Trump done to stop bullying?'"
940425141510647808,2017-12-12 03:36:40,"b'RT @krassenstein: To all the Trump Supporters who attack me by calling me ""Gay"" or a ""F@g""...\nHere\'s some news for you.  This is 2017.  Bei\xe2\x80\xa6'"
940425047071711232,2017-12-12 03:36:18,"b'RT @TPSOperations: Missing: Elizabeth Johnson, 38, last seen in the Isabella St and Church St area.  She is 5\'4""/ thin build/ short blonde\xe2\x80\xa6'"
940424902498275328,2017-12-12 03:35:43,b'RT @Rosie: @MooreSenate yes u pathetic pedophile i have been fighting men like u my whole life - u r a sexual predator - u twisted tainted\xe2\x80\xa6'
940424763188453376,2017-12-12 03:35:10,"b""RT @Trollin_Trump: The attempted terror attack in NYC today was carried out but an immigrant from Bangladesh.\n\nCountries on trump's immigra\xe2\x80\xa6"""
940098385142415361,2017-12-11 05:58:15,"b'How the ""Citizens United"" Ruling Paved the Way for This Abhorrent Tax Bill https://t.co/qL1AzIesx9 via @truthout'"
940094907045179393,2017-12-11 05:44:26,"b""@MooreSenate is not just a pedophile, he'll support pedophilia.\nVote @GDouglasJones who has no such perversion. https://t.co/6iYJyRJzJJ"""
940094577322496002,2017-12-11 05:43:08,"b""@realDonaldTrump:\n\nThis is an example of NOT JOURNALISM. Stop yammering about Fake News because there's no such thi\xe2\x80\xa6 https://t.co/3xbzJihGOY"""
940094276758790144,2017-12-11 05:41:56,"b'Roy Moore also claims America is evil, in this clip.\n\n@MooreSenate is unfit to serve. https://t.co/g8aLRvo0qK'"
940093896188559365,2017-12-11 05:40:25,b'RT @1Jedi_Rey: Doug Jones Supports Economic Growth: \nSmall Business = Backbone of the American Economy \n\n#AlabamaSenateRace  #KitchenTableI\xe2\x80\xa6'
940093822482055168,2017-12-11 05:40:08,"b'RT @funder: Here\xe2\x80\x99s Roy Moore complimenting Putin &amp; then speaking fluent Russian, because of course.\n\n#DigDoug #RightSideOfHistory #VoteDec1\xe2\x80\xa6'"
940093710989115393,2017-12-11 05:39:41,"b'RT @jennycohn1: 6. In ALABAMA, the ability to conduct a citizen recount of the BALLOT IMAGES is critical because ALABAMA law does not allow\xe2\x80\xa6'"
940093484840525824,2017-12-11 05:38:47,b'RT @LindseyGrahamSC: I also cannot in good conscience support Donald Trump because I do not believe he is a reliable Republican conservativ\xe2\x80\xa6'
940093407380176896,2017-12-11 05:38:29,"b'RT @gettinnoticedmo: Hey @Flotus, when you gonna start fighting cyber-bullying?\n\nAsking for all of us.'"
940093370117996545,2017-12-11 05:38:20,b'RT @Grandma_Shelia: @KassandraSeven #TheResistance #ResistanceUnited #FollowBackResistance #FBR\nAnger is energising. The opposite of anger\xe2\x80\xa6'
940093237099864065,2017-12-11 05:37:48,"b'Alabama needs @GDouglasJones, a problem solver, to address their terrible poverty - someone like Doug Jones.\n\nNot\xe2\x80\xa6 https://t.co/BFLxM0UVHS'"
940093002562727937,2017-12-11 05:36:52,b'RT @RWPUSA: What Roy Moore did to children is disgusting. What he wants to do to African Americans is as well. Every single black voter in\xe2\x80\xa6'
940092834174005249,2017-12-11 05:36:12,"b'@MooreSenate Pedophiles belong in prison, not in the Senate. Vote for @GDouglasJones who put child killers in prison.'"
940091978288467974,2017-12-11 05:32:48,"b'@MarkHertling @statsguy Nobody in the Senate is more ""morally flexible"" than @LindseyGrahamSC.\n\nWhat do trump and t\xe2\x80\xa6 https://t.co/Fy7drd7s5a'"
940091743029968896,2017-12-11 05:31:52,b'RT @FiredupBethy: @FoxNews @JudgeJeanine  https://t.co/JIAUbPCVEo'
940091587182202882,2017-12-11 05:31:15,b'@realDonaldTrump I believe in the First Amendment. I believe our government AT ALL LEVELS should act with such inte\xe2\x80\xa6 https://t.co/4ATLcqwxTm'
940090951090913281,2017-12-11 05:28:43,"b""@FoxNews @JudgeJeanine @JudgeJeanine Someone who DOESN'T have a husband who went to prison on multiple crimes (c'es\xe2\x80\xa6 https://t.co/KsS9ILOx6b"""
940090593337778177,2017-12-11 05:27:18,b'RT @perlmutations: @SteveSchmidtSES got it right; this chick\xe2\x80\x99s a judge like Colonel Sanders is a War Hero! https://t.co/5WJysVd73s'
940090030625718272,2017-12-11 05:25:03,"b""We're not asking @SenFranken to resign. Some jealous Senators did. https://t.co/1IEKxKvtPr"""
940089819333500930,2017-12-11 05:24:13,"b'RT @MarkHarrisNYC: Whatever happens on Tuesday, the President of the United States endorsed a child molester who thinks gay people should b\xe2\x80\xa6'"
940089730246500352,2017-12-11 05:23:52,b'Alabama needs a problem solver to address their terrible poverty - someone like Doug Jones.\n\nNot a pedophile and an\xe2\x80\xa6 https://t.co/LwIn5MQ4fH'
940088921421094912,2017-12-11 05:20:39,b'@SpeakerRyan Just because. https://t.co/z8lqzMnYXp'
940088677849432064,2017-12-11 05:19:41,"b""RT @seacorc: I think Guccifer 2.0 got a hold of Lindsey Graham's browsing history. https://t.co/htF8XeaAKT"""
940088650942914561,2017-12-11 05:19:35,"b'RT @neeratanden: I demand an apology for the 10,000 times @realDonaldTrump has lied and misled the country.  Retweet if you think he should\xe2\x80\xa6'"
940088520420421633,2017-12-11 05:19:03,b'@realDonaldTrump Do you know how dumb you sound?'
940088451130474497,2017-12-11 05:18:47,"b""@realDonaldTrump There is no Fake News Media. That's something you made up in your small brain to mislead the Ameri\xe2\x80\xa6 https://t.co/zKPTJT1AcE"""
940087303354990592,2017-12-11 05:14:13,"b""Because @MaggieNYT can't overcome her bias. Something about her mommy working for Kushners. Shame on @NYTimes. https://t.co/2RDhSBYLvH"""
940087110618378241,2017-12-11 05:13:27,b'RT @CREWcrew: Hope Hicks just spent two days meeting with Mueller\xe2\x80\x99s team...\nhttps://t.co/qsw5IFSGSY'
940086918137528320,2017-12-11 05:12:41,"b""RT @chainsawpancake: This is a grocery store for the poor, where if you're let in, everything is free. My mom used to have to take us there\xe2\x80\xa6"""
940086782057521155,2017-12-11 05:12:09,b'RT @funder: .@SpeakerRyan-You need to investigate Trump\xe2\x80\x99s sex crimes immediately. Everyone who retweets this agrees.\n\n#TrumpSexProbe #AMJoy\xe2\x80\xa6'
940085596797595650,2017-12-11 05:07:26,b'RT @goldengateblond: I\xe2\x80\x99ve heard rape described a lot of ways but until now \xe2\x80\x9cbuzzkill\xe2\x80\x9d was not one of them. https://t.co/91XbuuGoKF'
940085528434688000,2017-12-11 05:07:10,b'RT @Howard_Hoffman: @PressSec The Dow broke records for six years from 2010 to 2016. You could be gracious and acknowledge that. Or...you c\xe2\x80\xa6'
940085433576202241,2017-12-11 05:06:47,b'RT @devchelle: @PressSec That\xe2\x80\x99s just factually wrong. Your job is to communicate truthfully to the American people. You are a disgrace'
940085405868630016,2017-12-11 05:06:41,b'RT @ResistTilDeath: @PressSec GO BACK TO YOUR FASCIST HELLHOLE IN ARKANSAS.'
940085326717927424,2017-12-11 05:06:22,"b""RT @TheAmerican22: @PressSec I think we can all agree you're a soulless, lying, waste case."""
940085295856287744,2017-12-11 05:06:15,b'RT @AgentScullyGR: Moore violated the Constitutional oath he was clearly bound by. He will break promises he makes to #Alabama too.\n\nThere\xe2\x80\x99\xe2\x80\xa6'
940085181444063238,2017-12-11 05:05:47,b'RT @CaptainsLog2017: Retweet if you think Mueller should subpoena &amp; interview about 75% of the Faux News crew \xf0\x9f\x98\x82\n\nIt looks pretty obvious to\xe2\x80\xa6'
940084968314695681,2017-12-11 05:04:57,b'RT @natemcdermott: 13th amendment: ended slavery\n14th amendment: guarantees equal protection \n15th amendment: prevents voter discrimination\xe2\x80\xa6'
940084738286436358,2017-12-11 05:04:02,"b'RT @Patriotpssy: ""What Leeanne Tweeden has done is stolen the very real traumas of very real survivors\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8apeople like me\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8aand mocked them.""\xe2\x80\xa6'"
940084682724478976,2017-12-11 05:03:48,"b'RT @GDouglasJones: ""Please go out and vote, vote for Doug Jones on Tuesday. Do it, it\'s the right thing to do"" Jason Isbell\n\nhttps://t.co/b\xe2\x80\xa6'"
940084447206039553,2017-12-11 05:02:52,b'@SenFranken you cannot resign.'
940084150593138689,2017-12-11 05:01:42,b'@JonRiley7 Nothing'
940083637550116866,2017-12-11 04:59:39,"b""RT @DTrumpPoll: Should @realDonaldTrump's female accusers be heard?\n\nPlease vote &amp; RT \xf0\x9f\x98\x8a"""
940083559838052357,2017-12-11 04:59:21,"b'RT @jennycohn1: Thread w/ sources showing that France, Germany, Holland, Norway, and Canada have fled voting machines for publicly HAND cou\xe2\x80\xa6'"
940083515797807105,2017-12-11 04:59:10,b'RT @jennycohn1: Please RT every post in this short Thread. Voters must understand that we are just about the only western democracy dumb en\xe2\x80\xa6'
940083439054733313,2017-12-11 04:58:52,b'@RepJohnConyers cannot be allowed to step down until his seat is filled. @NancyPelosi'
940083158258614273,2017-12-11 04:57:45,"b'RT @SheWolfResists: @SocialPowerOne1 Kelly is an opportunist, too.  For her, this is more about ratings than justice.'"
940082967375896576,2017-12-11 04:56:59,"b'RT @SethAbramson: VIDEO: On 10/30/16, 96 hours after Giuliani teased on FNC a big surprise upcoming in the Clinton probe, his ""very good fr\xe2\x80\xa6'"
940082720645849088,2017-12-11 04:56:01,b'RT @CheriJacobus: Pirro needs to be taken out in a straitjacket. https://t.co/zc0d9rVL45'
940082660872896512,2017-12-11 04:55:46,"b'RT @mikealbeland: #IAmTheResistance\n- I live in Montana\n- My middle class family are cattle ranchers, outdoorsmen, teachers, &amp; a Pearl Habo\xe2\x80\xa6'"
940082523631001600,2017-12-11 04:55:14,b'@PressSec Are you too dumb to read a chart? I think so.'
940082246635044864,2017-12-11 04:54:08,b'Okay so because your husband did prison time for corruption you think everyone should? Bitter looks ugly on you\xe2\x80\xa6 https://t.co/l5grmB5YoU'
940081956116500481,2017-12-11 04:52:58,b'RT @Scout_Finch: Her husband was convicted on 34 counts of tax evasion and conspiracy. https://t.co/kl15lIDp9e'
940081737689792513,2017-12-11 04:52:06,b'RT @Shareblue: \xe2\x80\x9cAbetting a cover-up\xe2\x80\x9d: Watergate reporter says Fox News is complicit in Trump misconduct \n\nhttps://t.co/5nn6X4ZFrX https://t\xe2\x80\xa6'
940081675802787841,2017-12-11 04:51:52,b'RT @Wulfkat: Who here on twitter feels like they are not being represented in Congress and are still paying their taxes?\n\n#TaxationWithoutR\xe2\x80\xa6'
940081452988764160,2017-12-11 04:50:58,"b""There's no question how Koch tool @RepLynnJenkins will vote on #GOPTaxScam. Glad the puppet is retiring (probably t\xe2\x80\xa6 https://t.co/nMDZKfaC74"""
940080928700821506,2017-12-11 04:48:53,"b""RT @GDouglasJones: Tomorrow is the deadline to postmark and return your mail ballot! Haven't received the ballot you requested yet? Worried\xe2\x80\xa6"""
940080831984427009,2017-12-11 04:48:30,"b'RT @Scott_Wiener: Today @SenatorTimScott said his state, South Carolina, is \xe2\x80\x9csubsidizing\xe2\x80\x9d states w income tax, since ppl can deduct state i\xe2\x80\xa6'"
940080712794771456,2017-12-11 04:48:02,"b'@funder Roy Moore says America is evil, in this tape.'"
940080514089697281,2017-12-11 04:47:15,"b""@pennyw503 @dilanesper @Phaedrus08 @SallyAlbright @tomwatson I'm muting this conversation. It's far too complex for Twitter."""
940080254353207298,2017-12-11 04:46:13,b'Roy Moore saying America is evil and Russia is good. WTF! @MooreSenate https://t.co/EnfmRZaI70'
940079640558702592,2017-12-11 04:43:46,b'RT @lcmoser: 9. That explains why voter suppression has been such a priority of the Trump Administration. \n\nhttps://t.co/IP8NrpGGUE'
940079154757636097,2017-12-11 04:41:50,"b'RT @mercola: At 60 years old, 1 in 10 women develop osteoporosis. How can you protect yourself from this problem? https://t.co/k6kInCbB6E'"
940078997446189062,2017-12-11 04:41:13,b'RT @Adamwchs: @LindseyGrahamSC @BuzzAtTheState @POTUS @realDonaldTrump \xf0\x9f\xa4\x94 https://t.co/YwB1C4Oaqh'
940078853401096192,2017-12-11 04:40:39,b'RT @nyc_oz: @LindseyGrahamSC @POTUS @realDonaldTrump  https://t.co/F19NAn1rto'
940078658584064000,2017-12-11 04:39:52,"b'RT @matthewjdowd: I am a christian and love the Bible and Christmas, but I would much prefer to hang out with atheists who refuse to say Me\xe2\x80\xa6'"
940074297690689537,2017-12-11 04:22:32,"b'RT @tonyschwartz: I rarely agree with Sen. Richard Shelby of Alabama, but he showed great political courage this morning in saying he doesn\xe2\x80\xa6'"
940074211556564993,2017-12-11 04:22:12,"b'RT @jennycohn1: This is important. Per this Bloomberg article, ALEC (a Koch Brothers vehicle) is still considering a resolution to recommen\xe2\x80\xa6'"
940074074675363841,2017-12-11 04:21:39,"b'RT @cnnbrk: For the first time in US history, the Interior Department will likely approve a plan to carve a new road through a protected wi\xe2\x80\xa6'"
940074007130292225,2017-12-11 04:21:23,"b'RT @wokeluisa: Michelle Obama is the most academically accomplished First Lady. She skipped second grade, graduated salutatorian at her Mag\xe2\x80\xa6'"
940073955792117761,2017-12-11 04:21:11,"b""RT @LINDA_BETZ: @CheriJacobus @realDonaldTrump @BillOReilly This Merry Christmas crap is a bunch of Bullsh!t. I'm sick of listening to it a\xe2\x80\xa6"""
940073843065888776,2017-12-11 04:20:44,b'RT @JeffreyGuterman: There Are Four Times More US Troops In Syria Than The Pentagon Said Previously https://t.co/VH2SUW83PU https://t.co/zE\xe2\x80\xa6'
940073732059545600,2017-12-11 04:20:18,"b""RT @natemcdermott: Roy Moore in 2011: Getting rid of constitutional amendments after the 10th would 'eliminate many problems'\nhttps://t.co/\xe2\x80\xa6"""
940073075005046785,2017-12-11 04:17:41,b'RT @davidfrum: The differences between the inevitable errors of honest journalis - and systematic official lying. A video reply to Don Trum\xe2\x80\xa6'
940038419916374018,2017-12-11 01:59:59,"b""@pennyw503 @dilanesper @Phaedrus08 @SallyAlbright @tomwatson I don't think Sanders is going to run again. That's not what he's working for."""
939894270198206464,2017-12-10 16:27:11,b'@obbiecole @tomwatson You missed the point. Too many ppl are undecided about primaries 6 mos out. I have occasional\xe2\x80\xa6 https://t.co/OniOsyB9gu'
939893064499376128,2017-12-10 16:22:23,b'RT @JCali1967: @SenGillibrand @jhiattsteele You lost my support. Are you threatened by @SenFranken who is the strongest moral voice in the\xe2\x80\xa6'
939892976347688966,2017-12-10 16:22:02,b'@BlueGreenSpork @dilanesper @tomwatson You must be joking. State election boards &amp; legislatures are partisan as hel\xe2\x80\xa6 https://t.co/VBAx8N6Aom'
939892124526489602,2017-12-10 16:18:39,"b""@Quandras5 @daddydude55 @timkaine I hope @SenFranken doesn't actually resign. Minnesota needs to rally around him."""
