id,created_at,text
940081091553067008,2017-12-11 04:49:32,b'@MissICU2 @realDonaldTrump  https://t.co/EW9KgE4LbH'
940080608474042368,2017-12-11 04:47:37,b'RT @BirchTreeMMA: @realDonaldTrump What happened to separation of church and state?'
940078881469378560,2017-12-11 04:40:45,b'RT @flamethrower_30: @realDonaldTrump What do Roy Moore and Walmart have in common? They both have kids underwear half off. \xf0\x9f\x98\xae'
940078239422193664,2017-12-11 04:38:12,b'@writerlyscrawls @realDonaldTrump Please remember the only sin Lucifer commited was loving god more than he loved humans'
940077321624608768,2017-12-11 04:34:33,"b'@realDonaldTrump JUST REMEMBER ""ONE NATION UNDER GOD"" WASNT ADDED TO THE PLEDGE UNTIL THE COLD WAR DURING THE RED S\xe2\x80\xa6 https://t.co/jP47JjleW2'"
940004462839652358,2017-12-10 23:45:03,b'Little bit of Siege action. #Twitch #TomClancey #R6S  https://t.co/vaLMCY9ubi'
939842660474474496,2017-12-10 13:02:06,"b'RT @seamonlyndsey: @Jessewayne_Bruh Aww you\xe2\x80\x99re the sweetest thing, Jess!! it was so good seeing you\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99'"
939720461528850433,2017-12-10 04:56:31,"b""Yeah, I've heard of sex, but have you ever had pizza and garlic cheese bread?"""
939720033131008000,2017-12-10 04:54:49,b'@StdadleyJohnson https://t.co/UHCevrtqMm'
939718378574532608,2017-12-10 04:48:15,b'SHOUTOUT TO @seamonlyndsey for making a dope pizza pie'
939571787498651653,2017-12-09 19:05:45,b'@mattdeis Still pissed cause I click your display picture and expect an instagram picture to come up.'
939023351120457728,2017-12-08 06:46:27,"b'RT @nihilist_arbys: God is dead and the perverts have claimed his throne. Behold, there will be suffering, sadness, death, &amp; then nothing.\xe2\x80\xa6'"
939018764103835648,2017-12-08 06:28:14,b'RT @Kojima_Hideo: All 3 of us back together!!! https://t.co/hApgm32k0X'
938788764264083460,2017-12-07 15:14:17,b'RT @Wendys: *looks at logo on bag*\n\nYou failed. https://t.co/DStUGEySbF'
938787604404817920,2017-12-07 15:09:41,b'@Syydneyy99 YOur mOms a nice lady'
938624926755549184,2017-12-07 04:23:16,"b'RT @camrenbicondova: If life is sucking for you right now, and it feels like nothing is hoing right, nothing you do is right... \n\nAppreciat\xe2\x80\xa6'"
938012796435955712,2017-12-05 11:50:52,"b'@faithdeski Marine Bio could always use a few more, specifically in Coral Reef preservation &amp; restoration \xf0\x9f\x90\xb3\xf0\x9f\x90\xa0\xf0\x9f\x90\x9a\xf0\x9f\x90\x99\xf0\x9f\xa6\x80\xf0\x9f\x90\x9f\xf0\x9f\x90\xac'"
937933223174262784,2017-12-05 06:34:41,"b""It's 2am. Time for a double shot and a paint roll. Will hopefully have my living room finished and painted today"""
937905642777477120,2017-12-05 04:45:05,b'RT @JamarRobinsonJr: RT if you from Ohio and this a lie https://t.co/1yhqQrUJNY'
937905599404302336,2017-12-05 04:44:54,b'@ChynaBandz I pay 425 for a one bd room'
937788330527346688,2017-12-04 20:58:55,b'RT @nadearaxc: instead of retweeting that horrifying video of that guy throwing a cat let\xe2\x80\x99s spread this around instead https://t.co/bMlleOa\xe2\x80\xa6'
936822453640208385,2017-12-02 05:00:52,"b""@Gagethegreatham If I'm at my mothers, their dog eats whatever we eat, from strip steak, cheese burgers, candy. You\xe2\x80\xa6 https://t.co/fyDehuRdz4"""
936620123078692865,2017-12-01 15:36:53,b'@Gagethegreatham @StdadleyJohnson JESUS CHRIST GAGE'
936070911228248064,2017-11-30 03:14:31,"b'@addisonnjones Giirrrlll ya know, go on get on whitcho bad self'"
936070727580647426,2017-11-30 03:13:47,"b'RT @ClintFalin: YOU SAID YOU\xe2\x80\x99D JUST BE A SECOND, DAVE. https://t.co/thfuf8MUrD'"
936069028120027137,2017-11-30 03:07:02,"b'@addisonnjones how do you slay so wel, gurl teach me'"
936067688987754496,2017-11-30 03:01:43,b'#AssassinsCreedOrigins tonight I guess'
936000623849476096,2017-11-29 22:35:13,b'Connect with me on Myspace. https://t.co/sCEwR9RSPZ'
935519369999933441,2017-11-28 14:42:53,"b'I will finally be done with the drywall in my apartment today and hopefully can start to paint!!!!!!!!!!!!!!!!!! So tired, need coffee'"
934544004154355714,2017-11-25 22:07:08,b'@missbreezylee Yeah 10/10 wont do again \xf0\x9f\x98\x82'
934506054284652544,2017-11-25 19:36:20,"b'@missbreezylee I did 42 and a half last weekend, wanted to blow my brains out'"
933863241729630209,2017-11-24 01:02:01,b'I always forget that @robinlordtaylor had a role in Accepted. Kills it even tho its a small one.'
933742689538969602,2017-11-23 17:02:59,b'RT @HilaKleinH3: YES THIS IS REAL!! WE WORKED SUPER HARD ON THIS AND WERE SUPER EXCITED AND SUPER PROUD OF THIS!! https://t.co/S2jkjZ8vJ6'
933366866504044545,2017-11-22 16:09:36,b'RT @MarkRober: Feel frustrated about the Net Neutrality thing? Enter your phone number into this website and it will automatically connect\xe2\x80\xa6'
933182427052118016,2017-11-22 03:56:42,"b""Don't end #NetNeutrality https://t.co/8PxJtbdz31"""
933154179740327936,2017-11-22 02:04:28,b'@GetSpectrum #EndingNetNeutrality is dumb I really hope you dont change something to where I and many other of my f\xe2\x80\xa6 https://t.co/xFlmNTzT9W'
929209445485371392,2017-11-11 04:49:30,b'I do love cooking. @GordonRamsay what do ya think of my homemade garlic bread and spaghetti dinner? Bread and meat\xe2\x80\xa6 https://t.co/5RQBBGd9fU'
929176310433353728,2017-11-11 02:37:50,b'Im the cringiest motherfucker who doesnt get recognized #cky #ckymusic #homecooking #garlicbread #spaghettiforone https://t.co/LwrtvEXVH7'
928423870276784129,2017-11-09 00:47:54,"b'Really, still cant believe I actually got this weeks @BAM__MARGERA signed board. In total shock and extremely happy\xe2\x80\xa6 https://t.co/kla864cra4'"
928387757638078464,2017-11-08 22:24:24,"b'I just bought a Signed Bam Trophy 8.0 Skateboard Deck from https://t.co/c7Vad8RbIe #BAMISBACK finally after 9 weeks, week 10 was the lucky 1'"
928335243433730054,2017-11-08 18:55:44,"b'RT @nbcsvu: In the criminal justice system, sexually based offenses are considered especially heinous. In New York City, the dedicated dete\xe2\x80\xa6'"
928334976914993152,2017-11-08 18:54:40,b'@PostMalone STG44 or M1917 Enfield or gtfo'
928334702607466496,2017-11-08 18:53:35,b'RT @PostMalone: whoever uses a shotgun in CoD ya moms a hoe'
928334133323010050,2017-11-08 18:51:19,b'&amp;hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhshdjdjdjdjdjdjdjdjdjsjsjsjsnsjsjsnsnxnxnxnxnxnxnxnxndjdjdjdjdjdjsjjssjjajanzjc\xe2\x80\xa6 https://t.co/fKjz4nQarc'
927948200656424970,2017-11-07 17:17:46,b'Day off. You know what that means my guys. Back to that #CODWWII grind. Lets sag? 12pm-12am?'
927711680230035456,2017-11-07 01:37:55,b'@missbreezylee happy birthday'
927393396913852416,2017-11-06 04:33:10,b'We are doing one thing and one thing only...Killin Nazis. No less than 10 wins and 100 Nazi scalps. #PS4share\xe2\x80\xa6 https://t.co/G1Qp8geOMu'
927381683610976256,2017-11-06 03:46:37,"b""RT @StephenKing: Enough with the prayin'. Time to start legislatin'."""
926830346242473991,2017-11-04 15:15:48,b'@Gagethegreatham I scoped the bitch a few times but fuck. Shooting me thru 2 walls?'
926801033879261184,2017-11-04 13:19:20,"b'@ashakay20 hey, facebook said it was your birthday. Happy Birthday and have a wonderful dayy!'"
926651801054695424,2017-11-04 03:26:20,b'Nothing like hackers day one #CallOfDutyWWII'
926593339549511680,2017-11-03 23:34:02,b'No less than ONE HUNDRED NAZI SCALPS TONIGHT MEN #CODWWII'
926464731631833088,2017-11-03 15:02:59,b'RT @OG_fat_FLO: Being single is getting old'
926298500932837376,2017-11-03 04:02:27,b'Now we wait for it to finish downloading. #callofduty #callofdutyww2 #ps4 of course always\xe2\x80\xa6 https://t.co/b8JGfvDMfQ'
926270248696930304,2017-11-03 02:10:11,"b""@gem_baby2 Then you haven't even started to do anything hard, kiddo"""
926245539028533248,2017-11-03 00:31:59,b'@gem_baby2 But have you done cocaine?'
926245180889542656,2017-11-03 00:30:34,b'RT @Syydneyy99: #NewProfilePic https://t.co/m6gTLRUhBw'
926109959913340928,2017-11-02 15:33:15,"b""@ashakay20 I'm Jesse, and I'm proud of you."""
925903034860883968,2017-11-02 01:51:00,"b'RT @BernieSanders: Instead of more tax breaks for billionaires, we must demand the wealthiest people in this country start paying their fai\xe2\x80\xa6'"
925902499021819904,2017-11-02 01:48:52,b'@addisonnjones Its hard not to when the puss is bomb'
925520903257165826,2017-11-01 00:32:33,b'@_joelleehess fuckkinn slay'
925520493259698176,2017-11-01 00:30:55,b'RT @DrDisRespect: Thanks for the $100 @C9shroud \n\nhttps://t.co/ndJ5aJdtSs'
925070736838012928,2017-10-30 18:43:45,b'Im 20 today. Fuck im old'
924995365929144322,2017-10-30 13:44:15,b'RT @_emilywillis: Someone be motivational and drag me to the gym'
924494049272352769,2017-10-29 04:32:12,"b'Legit tho, they pissed themselves... the girl told me she did \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 @realscreamteam https://t.co/kNMrXAzuNR'"
924008221311946752,2017-10-27 20:21:41,b'Lookkk what I got in the mail todayyy @JIDoubleMYPopGo  soooo stoked...#bloodhoundgang #mope #stoked https://t.co/SONn9b1qOu'
924007618804355072,2017-10-27 20:19:18,b'@BellevueArtClub Sooo coool'
923630602930225152,2017-10-26 19:21:10,"b""RT @GrantHWTspring: My house is so cold it's stupid"""
923352667090505728,2017-10-26 00:56:45,b'@DrDisRespect @Grub_Face'
923297510784823297,2017-10-25 21:17:35,b'@cafeinatedsk8er @elementbrand I put it in my cart seconds after they drop and i still cant seem to get one. Best o\xe2\x80\xa6 https://t.co/CyQ8LxcUy4'
923297272854491136,2017-10-25 21:16:38,"b'@cafeinatedsk8er @elementbrand It really does, like id kill to have one to hang up next to my signed cky poster.  A\xe2\x80\xa6 https://t.co/yj9jt8jrmg'"
923295072187170816,2017-10-25 21:07:53,"b'Heyy look, a listing already on ebay for the Deck that just sold out that was in my cart and then the site crashed!\xe2\x80\xa6 https://t.co/aNWAARvPyM'"
923242535367118849,2017-10-25 17:39:08,b'Its heree finally #GMM #rhettandlink #BookofMythicality https://t.co/cN25X9AstX'
923231982858903552,2017-10-25 16:57:12,b'Win a FREE #PS4 #CallofDuty Bundle and a Tub of #GFUEL Strawberry Shortcake!! https://t.co/Fl9TaFBO6Q'
923224953486479361,2017-10-25 16:29:16,b'I wanna get up and do get ready for work but this playlist is to lit to not just lay and listen too #music'
923071146794344448,2017-10-25 06:18:05,"b'My throat hurts, i wanna stay home from school and have my moms soup but im 19 and have to work tomorrow'"
922997442085191681,2017-10-25 01:25:13,"b'""Once they peek,... they sink!""\n\n- @DrDisRespect  2017'"
922991206665252864,2017-10-25 01:00:26,b'@Grub_Face https://t.co/4HpLN0xNMQ'
922965090177048576,2017-10-24 23:16:40,b'Just ordered something siicc off the store for myself for my birthday....you da best @JIDoubleMYPopGo @bloodhoundgang'
922945536956694529,2017-10-24 21:58:58,b'@bloodhoundgang Time to treat myself to some birthday savings come the 30th then. Thanks for the code!'
922846967012712448,2017-10-24 15:27:17,b'@EpicMealTime @icp @YouTube @HarleyPlays @PrinceAtari @Jessewayne_Bruh'
922327692636229633,2017-10-23 05:03:52,b'ayyee https://t.co/qAwMflI7gY'
922263582540169219,2017-10-23 00:49:07,"b'RT @DrDisRespect: Confirmed the shotgun is still broken on H1Z1.\n\nAlso, I was stream sniped.\n\nAlso, @SandyRavage cheats.'"
921872224906305536,2017-10-21 22:54:00,b'@rhettandlink @nytimes Ordered mine todayyyyyyyyyyyyyyyyyyyyyyyyyy'
921774023897427969,2017-10-21 16:23:47,b'@Grub_Face @gamingbible @DrDisRespect @Razer Ya saw this was like fuckkk'
921556233433296897,2017-10-21 01:58:22,b'RT @Twitch: The next generation of DISRESPECT.\n\n@DrDisRespect #TwitchCon https://t.co/wXEkVmE7H1'
921376513731293184,2017-10-20 14:04:13,b'RT @LyonsSilver: If I don\xe2\x80\x99t get to meet bam and Novak I\xe2\x80\x99m going to be highly disappointed'
921142827756802048,2017-10-19 22:35:38,"b""RT @DrDisRespect: I've arrived #TwitchCon https://t.co/COd1rfpBb0"""
920829534500524039,2017-10-19 01:50:43,"b'@laterk8rrr Try Orange Diet Coke, sounds fucking disgusting but is a life changing soda'"
920828693848690688,2017-10-19 01:47:23,b'Am I a rude person?\n\nanswers 3 and 4 are the same'
920827067809267713,2017-10-19 01:40:55,"b""It's a night for sad music, hot drinks, and packing boxes. Fucking sucks being this sick"""
920782003590574080,2017-10-18 22:41:51,"b'If anyone is planning on taking me out, I will be in Greenwich, US 224  tonight after 10:30 #assassinate #me'"
920760468108652544,2017-10-18 21:16:17,b'@BAM__MARGERA Whyyy dooo youuu hatteee meeee'
920759786425200641,2017-10-18 21:13:34,"b""every week I've tried I havent been able to get one #BamIsBack @BAM__MARGERA ... I love ya to death but this site is really ruining me"""
