id,created_at,text
940092121763102721,2017-12-11 05:33:22,b'RT @natemcdermott: 13th amendment: ended slavery\n14th amendment: guarantees equal protection \n15th amendment: prevents voter discrimination\xe2\x80\xa6'
940090064897433601,2017-12-11 05:25:12,b'Ruh oh https://t.co/9M8TkuDCei'
940086679905304578,2017-12-11 05:11:45,b'RT @HuffPost: This church banner perfectly captures how progressive Christians feel right now https://t.co/T8CrzARVNU https://t.co/WqJZjuv3\xe2\x80\xa6'
940086575429324800,2017-12-11 05:11:20,"b'RT @LouiseMensch: In the last ten seconds of this video, Roy Moore speaks superb Russian. \n\nNo, I\xe2\x80\x99m not kidding. https://t.co/GDCdmvaNhS'"
940086357682089984,2017-12-11 05:10:28,b'@realDonaldTrump 32% Donnie boy. Worst approval rating since forever.'
940085593756770304,2017-12-11 05:07:26,"b""RT @HamillHimself: Keaton-Don't waste time wondering why a bully would be so mean-They're sad people who think hurting others will make the\xe2\x80\xa6"""
940085088477265920,2017-12-11 05:05:25,"b'RT @NatGeo: ""When scientists say bears are going extinct, I want people to realize what it looks like,"" says photographer Paul Nicklen http\xe2\x80\xa6'"
940084899112873984,2017-12-11 05:04:40,b'RT @OhNoSheTwitnt: The president of the United States who retweeted 3 fake anti-Muslim videos from an ultranationalist group and made no ap\xe2\x80\xa6'
940084754598174725,2017-12-11 05:04:06,"b'RT @TheGoodGodAbove: Hi Alabama,\n\nPlease don\xe2\x80\x99t vote for the child molester.\n\nThanks,\n\nGod'"
926212123679748096,2017-11-02 22:19:13,b'RT @chelseahandler: Happy Halloween to everyone in the White House\xe2\x80\xa6 have fun bobbing for indictments.'
925453504935878657,2017-10-31 20:04:44,"b'RT @AP: BREAKING: Police and witnesses: Motorist drove onto bike path near World Trade Center, hit people, fired what appeared to be gun.'"
896618878612254720,2017-08-13 06:26:13,"b'RT @SallyQYates: The poison spewed by Nazis, white supremacists, and the KKK is not who we are as a country. Takes less than 140 characters\xe2\x80\xa6'"
896618451267137536,2017-08-13 06:24:31,"b'RT @AynRandPaulRyan: David Duke in #Charlottesville saying this Nazi, #UniteTheRight fiasco ""fulfills the promises of Donald Trump."" \nhttps\xe2\x80\xa6'"
896618152288821248,2017-08-13 06:23:20,"b'RT @ABC: Pres. Trump ignores shouted question after remarks on Charlottesville: ""Do you want the support of these white nationalist groups?\xe2\x80\xa6'"
896617902979383297,2017-08-13 06:22:21,b'@realDonaldTrump So sad!?!? Really?  So sad?!? GTFO'
896617728001400834,2017-08-13 06:21:39,b'RT @slaybask: Ironic...huh? https://t.co/6QuXdUCODZ'
896616755417812996,2017-08-13 06:17:47,b'RT @MattOswaltVA: Trumps thoughts on:\nObama - disaster\nParis - shithole\nWhite House - dump\nBoy Scouts - liars\nNeo-Nazi rally - many sides t\xe2\x80\xa6'
896616329503006720,2017-08-13 06:16:05,"b""RT @senorrinhatch: We should call evil by its name. My brother didn't give his life fighting Hitler for Nazi ideas to go unchallenged here\xe2\x80\xa6"""
896616268941451264,2017-08-13 06:15:51,b'RT @ChelseaClinton: Mr. President?'
896616260091465728,2017-08-13 06:15:49,"b'RT @TheGoodGodAbove: World War 2 was a battle between Nazis and those that would oppose them.\n\nTrump would describe it as ""violence on many\xe2\x80\xa6'"
896616192546308096,2017-08-13 06:15:33,"b'RT @TheGoodGodAbove: I, the LORD God, am calling for a complete deportation of all Nazis from the USA.\n\nYes, even Trump and Bannon.'"
896616081066000384,2017-08-13 06:15:06,b'RT @JoeBiden: There is only one side. #charlottesville'
896616047381544960,2017-08-13 06:14:58,"b'RT @BarackObama: ""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/\xe2\x80\xa6'"
896615684372914176,2017-08-13 06:13:32,"b'RT @YesYoureRacist: #RestInPower Heather Heyer, who gave her life today in defense of liberty and justice for all. We will not forget you.\xe2\x80\xa6'"
896615278242656256,2017-08-13 06:11:55,b'RT @PreetBharara: Where is the voice of the Attorney General of the United States?'
896615227575422976,2017-08-13 06:11:43,"b'RT @McFaul: If white supremacists are praising your statement @realDonaldTrump , maybe you should try again.'"
896615205890916352,2017-08-13 06:11:38,"b""RT @KingJames: It's sad what's going on in Charlottesville. Is this the direction our country is heading? Make America Great Again huh?! He\xe2\x80\xa6"""
896611972657152000,2017-08-13 05:58:47,b'RT @ThePerezHilton: @realDonaldTrump  https://t.co/Xyd1NTgv3q'
896611097767235584,2017-08-13 05:55:18,b'RT @ladygaga: I pray a true leader will rise to expel hatred from America. This is not US! This is Anti-American #ThisIsNotUS #Charlottesvi\xe2\x80\xa6'
896610964841402368,2017-08-13 05:54:46,"b""RT @YesYoureRacist: Lil dude with the pedo 'stache is @millennial_matt, one of @bakedalaska's white supremacist homies https://t.co/GQbWf1Q\xe2\x80\xa6"""
896610792187056128,2017-08-13 05:54:05,b'RT @HowdyItsTed: @YesYoureRacist @FaithFortune99 So they marched to protest nonwhites...using tiku torches MADE IN MEXICO. #Irony https://t\xe2\x80\xa6'
896610646795726850,2017-08-13 05:53:31,"b""RT @YesYoureRacist: This charming Nazi is Pete Tefft of Fargo, ND -- spotted in @UR_Ninja's video: https://t.co/2oslzXHtRZ #GoodNightAltRig\xe2\x80\xa6"""
896610606844973056,2017-08-13 05:53:21,"b'RT @YesYoureRacist: Looks like Jason Kessler, the white supremacist who organized the hate march, met with Congressman @RepTomGarrett (R-ob\xe2\x80\xa6'"
896610577597874176,2017-08-13 05:53:14,"b""RT @YesYoureRacist: If you recognize any of the Nazis marching in #Charlottesville, send me their names/profiles and I'll make them famous\xe2\x80\xa6"""
896610538792394753,2017-08-13 05:53:05,"b""RT @YesYoureRacist: Annnnd here's a photo of Peter Cvjetanovic (angry torch guy) with U.S. Sen. @DeanHeller (via @BattleBornProg) #GoodNigh\xe2\x80\xa6"""
892198567347195904,2017-08-01 01:41:29,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x8e\xa4\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd https://t.co/4RE3hIwq9W'
890962437637365760,2017-07-28 15:49:33,b'RT @McJesse: Why you never wear GREEN on TV\xf0\x9f\xa4\x97 https://t.co/IsC8TuE3Ei'
890961322871062528,2017-07-28 15:45:07,b'RT @chelseahandler: To the great women @lisamurkowski @SenatorCollins. Thank you for standing up for women everywhere. You have honored us.\xe2\x80\xa6'
890825348807569409,2017-07-28 06:44:48,b'RT @ABC: Michelle Obama says breaking the glass ceiling in becoming first black first lady left some lasting emotional scars. https://t.co/\xe2\x80\xa6'
890825165025792001,2017-07-28 06:44:04,"b""RT @johnlegend: Looks like America's drunk uncle is awake https://t.co/IKhSMJx2e2"""
890824901963259904,2017-07-28 06:43:02,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/o7ZM3tXX37'
890751018757128192,2017-07-28 01:49:26,b'RT @ABC: Michelle Obama says breaking the glass ceiling in becoming first black first lady left some lasting emotional scars. https://t.co/\xe2\x80\xa6'
890750860988436480,2017-07-28 01:48:49,"b'RT @StephenAtHome: Fixed it for you, @realDonaldTrump. https://t.co/taObp6nR68'"
890750708252893184,2017-07-28 01:48:12,"b'RT @ABC: U.S. Army Chief of Staff: \xe2\x80\x9cChain of command will...treat every single soldier, sailor, airman, Marine, Coast Guard with dignity an\xe2\x80\xa6'"
890750687193247744,2017-07-28 01:48:07,b'RT @ThePerezHilton: RT this! Because for every retweet @realDonaldTrump will die a little on the inside! You know this kills him! https://t\xe2\x80\xa6'
889326384841183232,2017-07-24 03:28:27,b'RT @karagoldin: Two gifts to give your children.  One is roots and the other is wings.'
888800730278232064,2017-07-22 16:39:41,b'RT @jimmykimmel: Billy is 3 months old &amp; doing great. Thx for the love &amp; support. Please remind your Congresspeople that every kid deserves\xe2\x80\xa6'
887839479955959809,2017-07-20 01:00:01,"b""RT @GeorgeTakei: Just so we're clear, the head of Donald's own election integrity commission just questioned the legitimacy of Trump's elec\xe2\x80\xa6"""
