id,created_at,text
940097520071352320,2017-12-11 05:54:49,"b""My handsome son getting his deer with my dad's rifle.  #proudmom https://t.co/PDjwyHLp7Q"""
940082116406079489,2017-12-11 04:53:37,"b""@SexualTurnOns @femaleproblems If she's smiling you're not doing it right \xf0\x9f\x98\x89\xf0\x9f\x98\x88"""
940078469420945408,2017-12-11 04:39:07,b'I see I have missed nothing on Twitter.'
940076895269306368,2017-12-11 04:32:52,b'RT @femaleproblems: \xe2\x80\x9cDon\xe2\x80\x99t come in here with that bs\xe2\x80\x9d\n\nMe coming in with the bs: https://t.co/LuMOgzX4Yj'
609914669499691009,2015-06-14 02:46:03,b'Crazy Tx weather!!!  #loveit'
544719084894420992,2014-12-16 05:02:04,b'@baileeeeb Count me in.'
544718833773072384,2014-12-16 05:01:05,"b""@baileeeeb They think kids are accessories.  It's pretty sad."""
544342810296475648,2014-12-15 04:06:54,b'RT @FlTNESS: yes pls! http://t.co/PJCfUk0ME8'
544339902167412737,2014-12-15 03:55:20,"b""Back to your bridge you evil troll!  You have no powers here!!!  @baileeeeb I seriously can't stop laughing right now........ #missyou"""
541742533089320960,2014-12-07 23:54:19,"b""It's so cute that you think they like you.  #thetruthisoutthere"""
541312323600646144,2014-12-06 19:24:49,b'RT @bitchprblmz: How you feel when your ex downgrades http://t.co/T5rGDKkwcl'
538835854337126401,2014-11-29 23:24:13,b'I need someone that sees the fire in my eyes....and wants to play with it. \n#youwantsome'
537453164413206528,2014-11-26 03:49:54,"b""4 more days!! #BlueOctober #HouseOfBlues #Dallas I'll be the hottie in the 5th row dancin' my ass off :)  #blackboots #BigHair #spoiled"""
533381702182121472,2014-11-14 22:11:22,b'RT @Notebook: True Love http://t.co/d53fInZUlG'
532783277753786368,2014-11-13 06:33:26,"b""Say you'll see me again.....even if it's just in your wildest dreams. #tangledup #onecondition #BurningItDown"""
532688126943461376,2014-11-13 00:15:20,b'I could show you incredible things.......  #magic #madness #heaven #sin'
532374355339390976,2014-11-12 03:28:32,"b'RT @SincerelyTumblr: ""Being different is not wrong, it can actually be a beautiful thing"" http://t.co/NvSbuMhMks'"
532201640213094400,2014-11-11 16:02:13,b'Happy Veterans Day!  I am so blessed to have such an amazing son.  You are my hero.  #ArmyStrong #VeteransDay'
531989259138650113,2014-11-11 01:58:18,b'RT @SincerelyTumblr: OMG \xf0\x9f\x98\xad\xf0\x9f\x98\x82 http://t.co/TIpArol3nd'
530949732513091584,2014-11-08 05:07:35,b'Dallas Stars.  Five rows from the ice.  Center of the ring. This is the life :)  #winning #datenight'
529748721983320067,2014-11-04 21:35:12,"b""Dinner and drinks at the Ritz Carlton tonight.  *sigh*  It's so nice to be spoiled. #princess #rainydays Love my @CalvinKlein!"""
529748043382661121,2014-11-04 21:32:30,b'RT @SincerelyTumblr: YES \xf0\x9f\x98\x8d http://t.co/8L0MxbsDMy'
525670219717808128,2014-10-24 15:28:41,b'RT @SincerelyTumblr: When someone you hate texts you http://t.co/VjtOj8f0qJ'
524777679745474560,2014-10-22 04:22:03,"b""RT @KennethColePrd: Can't sleep? Shop us on @Spring right from your bed. #GetSpring http://t.co/lH0VhCxYvF http://t.co/HA9f7SlHhs"""
524777515404247041,2014-10-22 04:21:24,b'#MissingYou http://t.co/y0S1FvSroB'
521502004183445505,2014-10-13 03:25:41,"b""You're excited about Halloween because it's the only time of the year you don't have to dress up!!! #chubbybunny  No candy for you!!"""
521496773949288450,2014-10-13 03:04:54,"b""If I don't respond to your insults it means that it was just too cruel and I decided to let your dumb ass live.  #word"""
521496147756478464,2014-10-13 03:02:25,b'@bitchprblmz  Oh God......made my night!  Ah hahhaha!!!'
516978711174717440,2014-09-30 15:51:44,"b""People that are intimidated by you talk bad about you with hopes that others won't find you so appealing.  #YouAreSad"""
516807439199391744,2014-09-30 04:31:09,"b""When you know someone still reads your twitter after not talking for 5 months.  Don't worry baby, I still miss you too."""
516586521416458241,2014-09-29 13:53:19,"b""@dolcegabbana @JaydeKatz Your Dolce &amp; Gabbana wedding :)  You'll be so happy.....and pink.  #engineer #socute #fourdaywedding"""
516586013943009280,2014-09-29 13:51:18,b'RT @SincerelyTumblr: i\xe2\x80\x99m only a morning person on december 25th'
515690959007264768,2014-09-27 02:34:40,b'Every.Single.Day. #coffeebuzz http://t.co/wYkgs4QuKb'
515689462357954560,2014-09-27 02:28:43,"b""Honey you'll have to drop that drama bomb somewhere else.  I'm busy.  #goodlaughs #getalife"""
514693349367091200,2014-09-24 08:30:31,"b""RT @Notebook: When I close my eyes... I'm somewhere with you."""
513530794489303040,2014-09-21 03:30:57,b'#myadviceforyou http://t.co/B9fYgoH2Y9'
513196402675941376,2014-09-20 05:22:11,b'RT @Notebook: Yes. http://t.co/WxiG9U7C2O'
