id,created_at,text
940087737121570818,2017-12-11 05:15:57,"b""@realDonaldTrump Florida, America's trailer park."""
940087590463475713,2017-12-11 05:15:22,"b'@realDonaldTrump Speaking f stains, how is your wife?'"
940087412037902337,2017-12-11 05:14:39,b'@realDonaldTrump  https://t.co/69gbI4fw94'
940087281473355777,2017-12-11 05:14:08,"b""@realDonaldTrump Blow me c'mon and blow me bend over and show me all your love life could be so neat if you're suck\xe2\x80\xa6 https://t.co/213U5oSgLA"""
938700074653241344,2017-12-07 09:21:52,"b'RT @joncoopertweets: Is this image too harsh...or not harsh enough??\n\nIf you think it fairly reflects today\xe2\x80\x99s GOP, which is filled with def\xe2\x80\xa6'"
938699586801106944,2017-12-07 09:19:56,"b'@realDonaldTrump @WhiteHouse Melania gonna do her ping pong ball trick, cunt?'"
938699319821193216,2017-12-07 09:18:52,"b'@realDonaldTrump Hope your plane crashes, cunt!'"
938699179160981507,2017-12-07 09:18:19,"b'@realDonaldTrump @foxandfriends Fuck you, and fuck Alan, cunt!'"
938698984914391040,2017-12-07 09:17:32,"b'@realDonaldTrump Thanks for NOTHING, cunt!'"
938698779259293696,2017-12-07 09:16:43,"b""@realDonaldTrump Isn't child molestation a crime? Not in Alabama, huh cunt?"""
938698541601574912,2017-12-07 09:15:47,"b'@realDonaldTrump Drink much, cunt?'"
938698356829966336,2017-12-07 09:15:03,"b'@realDonaldTrump After all, better to have a child molester, huh cunt?'"
938698082820284417,2017-12-07 09:13:57,"b'@realDonaldTrump Next time try cutting your throat, cunt!'"
938697893271298049,2017-12-07 09:13:12,"b'@realDonaldTrump So jump off a cliff, cunt!'"
937317520742039553,2017-12-03 13:48:06,"b""@realDonaldTrump Whether ya like it or don't like it, learn to love it, cunt face!"""
937317107305291778,2017-12-03 13:46:27,"b'@realDonaldTrump Blow me, cunt face!'"
936906218571829248,2017-12-02 10:33:44,"b'@JaydaBF @realDonaldTrump There is no Virgin Mary. She never existed. Grow up, man baby!'"
936906005346004993,2017-12-02 10:32:53,"b'@realDonaldTrump Yeah, but how do you come?'"
936905831433375747,2017-12-02 10:32:11,"b""@realDonaldTrump Can I grab Melania's pussy?"""
936905617846845441,2017-12-02 10:31:20,"b'@realDonaldTrump Shut the fuck up, pussy, before I make ya!'"
936905320831500289,2017-12-02 10:30:10,"b'@realDonaldTrump @FoxNews Suck it, bitch.'"
936905150601445382,2017-12-02 10:29:29,"b'@realDonaldTrump Dream on, cunt, dream on.'"
936904963422220288,2017-12-02 10:28:44,"b""@realDonaldTrump @nytimes Speaking of pipe organs, how's your wife&gt;"""
936904630470033408,2017-12-02 10:27:25,"b'@realDonaldTrump @senorrinhatch Blow me, cocksucker.'"
936904426983272448,2017-12-02 10:26:36,b'@realDonaldTrump Jesus is a lie. He never existed.'
934539289978949632,2017-11-25 21:48:24,b'We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer\xe2\x80\x99s petition demanding Congress impeach Trump. https://t.co/2Xi3Mca7gG'
934265602646081536,2017-11-25 03:40:52,b'@realDonaldTrump  https://t.co/t5Xd0U2Eef'
934264678263508993,2017-11-25 03:37:11,b'@CNN  https://t.co/9GKG69eha2'
934264180911329280,2017-11-25 03:35:13,b'https://t.co/0uKtDjCR5l'
927251058430238720,2017-11-05 19:07:34,"b'@TheTweetOfGod ""America Fuck Yeah"" Team America'"
926604534851538951,2017-11-04 00:18:31,b'https://t.co/VPonXOhSOr'
926604289929351169,2017-11-04 00:17:32,b'https://t.co/zVbiMG2bNn'
926603467707346944,2017-11-04 00:14:16,"b""@realDonaldTrump Wouldn't it be great if North Korea shot down AF One with you on it?"""
926603272437321728,2017-11-04 00:13:30,b'@realDonaldTrump Suck my dick!'
926602916487712768,2017-11-04 00:12:05,"b'@realDonaldTrump Dont come back, fatboy!'"
926602805581942784,2017-11-04 00:11:38,"b'@realDonaldTrump Looking into your family, asshole!'"
926602687722020864,2017-11-04 00:11:10,"b""@realDonaldTrump Gonna give 'em a purple nerple?"""
926602517454249984,2017-11-04 00:10:30,b'@realDonaldTrump What about love...'
926602423375982592,2017-11-04 00:10:07,b'@realDonaldTrump I always felt your daughter would be deep throating a black man. Am I right?'
