id,created_at,text
940409799245795328,2017-12-12 02:35:42,b'@artiequitter @starlandNJ  https://t.co/TNJWZd9mtr'
940405616991985664,2017-12-12 02:19:05,"b'RT @tedlieu: Scared yet? If so, support HR 669 / S 200 by @SenMarkey and me. Our bipartisan legislation prevents @POTUS from launching a nu\xe2\x80\xa6'"
940405567994155008,2017-12-12 02:18:53,"b""RT @GDouglasJones: \xe2\x80\x9cHistory says don't hope on this side of the grave, but once in a lifetime the long formed tidal wave of Justice will ri\xe2\x80\xa6"""
940405362401955843,2017-12-12 02:18:04,b'@meganamram  https://t.co/4A6qKxkc2T'
940393891995545600,2017-12-12 01:32:30,b'RT @PattyArquette: If #Keaton was making racially bullying statements he and his mom needs to go to the principles office too &amp; give an apo\xe2\x80\xa6'
940393754124607489,2017-12-12 01:31:57,b'RT @Amatodeb: \xe2\x80\x98Serial misconduct and perversion\xe2\x80\x99: Trump accusers describe incidents \xe2\x80\x98a thousand times worse than what Franken has done\xe2\x80\x99 | R\xe2\x80\xa6'
940393718477131776,2017-12-12 01:31:48,"b'RT @kylegriffin1: Rachel Crooks, who accuses Trump of sexual misconduct: \xe2\x80\x9c12 years ago, as a young receptionist in Trump Tower, I was forci\xe2\x80\xa6'"
940393696234586112,2017-12-12 01:31:43,b'RT @ava: This. https://t.co/vQghfSGofx'
940393643617243138,2017-12-12 01:31:30,"b""RT @SenSanders: Mr. Trump, watch these Patriotic Millionaires explain how to stimulate the economy. It's not by giving massive tax breaks t\xe2\x80\xa6"""
940393530777853953,2017-12-12 01:31:04,b'RT @MuslimIQ: 4 separate instances in Oct of white American men who planted or detonated pipe bombs\xe2\x80\x94one in an airport.\n\nI recall zero conde\xe2\x80\xa6'
940392957588492288,2017-12-12 01:28:47,"b'RT @Latinos4Bernie: Dear @SenSchumer and @NancyPelosi, \n\nWhat say you?\n\ncc: @TomPerez https://t.co/lRetzuHyhM'"
940392794316836864,2017-12-12 01:28:08,b'RT @womensmarch: Reminder to everyone in Alabama: the number for the DNC Voter Hotline is 833-336-VOTE. For voters with disabilities the nu\xe2\x80\xa6'
940392663731326976,2017-12-12 01:27:37,b'RT @MarkRuffalo: This young man is my Hero too. The kids know in their hearts what is right. Both want to be accepted outside of their appe\xe2\x80\xa6'
940391948761878528,2017-12-12 01:24:46,b'@KateAurthur @RonanFarrow @alecbaldwin'
940391821980692483,2017-12-12 01:24:16,b'RT @KateAurthur: Every word in this Dylan Farrow LAT op-ed is so crucial to trying to understand who is left out of #MeToo. Devastating kic\xe2\x80\xa6'
940391504576679941,2017-12-12 01:23:00,b'@AlecBaldwin Allen was not cleared by the investigations.  The prosecutor didnt want to put the little girl through\xe2\x80\xa6 https://t.co/meh6TV0pMo'
940389389787717632,2017-12-12 01:14:36,b'RT @Post_Truth_Era: @TheRickWilson \xf0\x9f\xa4\x94\nhttps://t.co/nyxjA44uae'
940389238922776576,2017-12-12 01:14:00,b'@TheRickWilson @CheriJacobus  https://t.co/rWoIeYx6q6'
940388414876192769,2017-12-12 01:10:44,"b""RT @TheRickWilson: I don't know what's wrong with Trump's speech, but I'm curious does anyone know if he's going to Walter Reed or to docto\xe2\x80\xa6"""
940388367656681474,2017-12-12 01:10:33,b'RT @ShaunKing: 19 women. \n\n19 women have now accused @realDonaldTrump of sexual assault/sexual misconduct. \n\n19.'
940388349050834944,2017-12-12 01:10:28,b'RT @williamlegate: ISIS is threatening another Times Square attack before Christmas with propaganda posters which also have the following s\xe2\x80\xa6'
940388296324190208,2017-12-12 01:10:16,"b'RT @krassenstein: When \xe2\x80\x98Democrat\xe2\x80\x99 or ""Liberal"" are worse slurs to you than \xe2\x80\x98alleged child rapist\xe2\x80\x99 then you know you have a problem.\nThose d\xe2\x80\xa6'"
940385107227168768,2017-12-12 00:57:35,b'RT @DrDenaGrayson: An analysis of the 30 investigations by Special Prosecutors since 1875 shows that even if Trump is stupid enough to fire\xe2\x80\xa6'
940384911852220416,2017-12-12 00:56:49,"b'RT @karimtbe: In under two hours, we raised the remaining $5000 for the family to allow Ashawnty to rest in peace like she deserves. It doe\xe2\x80\xa6'"
940384859738042370,2017-12-12 00:56:36,b'RT @karimtbe: Keaton out here gettin a $100k bag from GoFundMe and his mom a racist and this lil boy who got bullied and is wise beyond his\xe2\x80\xa6'
940384791211409408,2017-12-12 00:56:20,"b'@realDonaldTrump Nikki Haley said your accusers should be heard, shitdick.'"
940384635460247552,2017-12-12 00:55:43,b'RT @MattJorg4543446: @realDonaldTrump \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/Ajd1Pcu7oz'
940384519001202688,2017-12-12 00:55:15,"b'RT @thedailybeast: EXCLUSIVE: Jared Kushner may not be done telling the Capitol Hill\xe2\x80\x99s Russia investigators what he knew, saw and heard. ht\xe2\x80\xa6'"
940384487145398273,2017-12-12 00:55:07,"b""RT @anylaurie16: in general, don't tweet a video of your tween child sobbing."""
940384467755159552,2017-12-12 00:55:03,"b""RT @JuddLegum: UPDATE: It's now been four hours and Sarah Sanders has not produced, as promised, the list of eyewitnesses who contradict th\xe2\x80\xa6"""
940383895043952647,2017-12-12 00:52:46,b'RT @chriskkenny: Get your head around this. The Australian Labor Party has just had a Senator resign from the parliament because he was cau\xe2\x80\xa6'
940383818355232768,2017-12-12 00:52:28,"b""RT @SenGillibrand: President Trump should resign. But, of course, he won't hold himself accountable. Therefore, Congress should investigate\xe2\x80\xa6"""
940383794359623680,2017-12-12 00:52:22,b'RT @ProudResister: Sarah Sanders on Trump\xe2\x80\x99s 16+ sexual assault allegations: \xe2\x80\x9cThe President has denied any of these allegations as have EYEW\xe2\x80\xa6'
940383688218628096,2017-12-12 00:51:57,b'RT @rgay: Stop being surprised when men who reported on Hillary in a slanted way turn out to also be sexually inappropriate. Stop being sur\xe2\x80\xa6'
940383652017573888,2017-12-12 00:51:48,b'RT @krassenstein: Four-star general Michael Hayden: \n\xe2\x80\x9cI have wasted 40 years of my life\xe2\x80\x9d if Trump\xe2\x80\x99s lies represent \xe2\x80\x9cwho we are\xe2\x80\x9d'
940383608728178688,2017-12-12 00:51:38,b'RT @LouiseMensch: Vote for Doug Jones. Bring three others in the car. Then go call your friends and get them to vote for Doug Jones. Pick t\xe2\x80\xa6'
940383548527316992,2017-12-12 00:51:24,b'RT @RWPUSA: Both parties need more leaders like @SenWarren who spends 90% of her time talking about the issues that 90% of Americans care m\xe2\x80\xa6'
940383493837684737,2017-12-12 00:51:11,"b""RT @_7FiguresLife: The overwhelming support for Keaton showed us all what's beautiful about the people of this country, and his shitbag mom\xe2\x80\xa6"""
940383449403273221,2017-12-12 00:51:00,"b""RT @GDouglasJones: Honored to have Sir Charles join the Jones family before our Birmingham GOTV rally &amp; help us share our campaign's messag\xe2\x80\xa6"""
