id,created_at,text
940089411714277376,2017-12-11 05:22:36,b'@realDonaldTrump Fox the most untrusted name in news'
935679707911143424,2017-11-29 01:20:01,b'@BarbraStreisand @realDonaldTrump @SenWarren He is such a disgrace.'
935351185623588864,2017-11-28 03:34:35,b'@nytimes Fox news'
934602233856929792,2017-11-26 01:58:31,b'@realDonaldTrump @FoxNews The only fake news is fox  whose lies  will be uncovered by the real network CNN'
932120603946975232,2017-11-19 05:37:24,b'@DSWT @TheEllenShow #'
931741370397503488,2017-11-18 04:30:28,b'@realDonaldTrump Such a disgrace.   Shame on you for even considering this!'
925115383798906881,2017-10-30 21:41:09,b'@nytimes Because they are only focusing on the crooks'
924844618687979520,2017-10-30 03:45:14,"b""@washingtonpost The only liar is the president who bragged about grabbing woman's privates"""
917524422591840258,2017-10-09 22:57:23,"b""@washingtonpost Reelection, you won't make it through this thus term"""
908462004733489152,2017-09-14 22:46:34,"b""@washingtonpost He doesn't know how to spell, does he read?"""
904852977889927168,2017-09-04 23:45:35,b'@TheEllenShow Congratulations on 15 years Ellen hope for 15 more\xe2\x9d\xa4\xef\xb8\x8f'
904482368261545984,2017-09-03 23:12:55,b'@AnniseParker Keep fighting the good fight against idiots like coulter.'
903433100549488640,2017-09-01 01:43:30,b'@washingtonpost @PostEverything Impeach!'
900895675327553536,2017-08-25 01:40:41,b'@realDonaldTrump Weak potus'
898945017963618305,2017-08-19 16:29:28,b'@washingtonpost So un-presidential.'
898944162459820032,2017-08-19 16:26:04,b'@realDonaldTrump I think  the country will be saying crooked trump shortly'
898734165671018496,2017-08-19 02:31:37,"b'@washingtonpost Good try Chuck, but the republicans are glued to trumps ass.'"
897668568912973825,2017-08-16 03:57:19,b'@washingtonpost Rd'
892523897639231488,2017-08-01 23:14:14,"b'@SlicksTweetz @realDonaldTrump Talk about crooked, trump tops the list'"
892523453512785920,2017-08-01 23:12:28,b'@realDonaldTrump Start telling the truth'
891070508678103041,2017-07-28 22:58:59,"b""@realDonaldTrump Maybe it's time for you to be president to all the people"""
888978438299701248,2017-07-23 04:25:50,b'@realDonaldTrump @WhiteHouse So much for made in America.  Your products are not made in the USA.'
884091780647366656,2017-07-09 16:48:00,"b'@realDonaldTrump Take responsibility, you are supposed to be in charge, do your job!'"
883526572669403138,2017-07-08 03:22:04,b'@SenSchumer Keep fighting Chuck'
879903691590909952,2017-06-28 03:26:02,b'@realDonaldTrump @nytimes @washingtonpost One day the media and the special prosecutor will be the heroes of this country'
879484638091132928,2017-06-26 23:40:52,"b'@realDonaldTrump What have you done, you have been in office for five months'"
