id,created_at,text
940222076375453696,2017-12-11 14:09:46,b'RT @elinannaregina: Haha Arsenals divor i -20 i \xc3\xb6versn\xc3\xb6at \xc3\x96stersund kommer ju bli en dr\xc3\xb6m'
940181943949451264,2017-12-11 11:30:17,b'RT @jeremysmith98: PSG finish first and get Real.\nBayern finish second and get Besiktas.'
940085694461919232,2017-12-11 05:07:50,"b'@realDonaldTrump Wtf, is this a tweet for twelve year olds?'"
939950515349225474,2017-12-10 20:10:40,b'@mlundgr3n Fanboy \xe2\x9d\xa4\xef\xb8\x8f'
939885204885377025,2017-12-10 15:51:09,b'RT @DavidVujanic: Dejan Lovren...y you do dis??'
939814208493023233,2017-12-10 11:09:02,b'@mlundgr3n Jag har h\xc3\xb6rt att global uppv\xc3\xa4rmning \xc3\xa4r ett p\xc3\xa5hitt fr\xc3\xa5n Kina!'
939454478511738880,2017-12-09 11:19:36,"b'RT @Fotbollsdamp: Jag har aldrig, ALDRIG, sk\xc3\xa5dat en s\xc3\xa5 ointressant artikel. Allts\xc3\xa5, N.\xc3\x85.G.O.N.S.I.N! https://t.co/lYnD2jAM4P'"
939122912036098048,2017-12-08 13:22:04,b'RT @FIFAWorIdCup18: The greatest save in World Cup history \xf0\x9f\xa4\xa3 https://t.co/hv1KS4ywuS'
939049843972083712,2017-12-08 08:31:44,b'RT @BobMenery: Video of the year by far! Omg https://t.co/B4Cjds8mOc'
938794033517867009,2017-12-07 15:35:14,"b'@mlundgr3n Inte om\xc3\xb6jligt, skulle vara den perfekta ers\xc3\xa4ttaren till Benzema egentligen, men tror han g\xc3\xa5r under radarn f\xc3\xb6r m\xc3\xa5nga storklubbar'"
938773518325633024,2017-12-07 14:13:42,b'RT @Tinkerman78: @AnfieldEdition @IndigoLFC @juventusfc @realmadriden @FC_Basel @shakhtar_brasil @FCBayern @FCPorto @bimbeshausen Mancheste\xe2\x80\xa6'
938723502005325824,2017-12-07 10:54:58,"b'RT @SachinNakrani: Phil Coutinho and Sadio Mane will rightly get a lot of praise, but once again Roberto Firmino was wonderful. He\xe2\x80\x99s the co\xe2\x80\xa6'"
938533308408922112,2017-12-06 22:19:12,b'RT @sleemmy: F\xc3\xb6rest\xc3\xa4ll er att ni levt med n\xc3\xa5gon i 3 \xc3\xa5r &amp; det visar sig att denne har en Takida-l\xc3\xa5t bland sina topp 5 mest spelade l\xc3\xa5tar 201\xe2\x80\xa6'
938526243867299840,2017-12-06 21:51:08,b'Fantastisk fin fotbollsspelare Roberto Firmino blivit under Klopp \xc3\xa4nd\xc3\xa5 \xe2\x9d\xa4\xef\xb8\x8f'
938188924786216960,2017-12-05 23:30:45,b'RT @petervaa: M.\xc3\x96.R.K.T https://t.co/xUBHFylSgp'
937661529247375361,2017-12-04 12:35:04,b'RT @Marcusthapper: [Julafton p\xc3\xa5 SVT 2017]\nLotta Lundgren: och s\xc3\xa5 t\xc3\xa4nder vi ett ljus \n*t\xc3\xa4nder t\xc3\xa4ndsticka*\n\nErik Haag: \xc3\x84re d\xc3\xa4r riktig eld lik\xe2\x80\xa6'
937600616293167104,2017-12-04 08:33:01,"b'RT @Moristico: It took a while, but finally humans became dumb enough to teach robots how to use guns https://t.co/ivo9jmXvf3'"
937435527896289282,2017-12-03 21:37:01,b'RT @TheRealSMA: How has he pretended to play a ufc fight on stream to avoid getting copyrighted LOOOOOOOOOOOOOOOOOOOOOOOOL https://t.co/I4y\xe2\x80\xa6'
937048555692404737,2017-12-02 19:59:19,b'RT @eigenar: T\xc3\xa4nkte att jag ville tacka er som har vett \xc3\xa5 f\xc3\xb6rst\xc3\xa5 att bara f\xc3\xb6r att jag ber\xc3\xa4ttar saker s\xc3\xa5 beh\xc3\xb6ver det inte vara saker jag \xc3\xa4r\xe2\x80\xa6'
936712775304466434,2017-12-01 21:45:03,b'RT @xtop: we are all moon pie https://t.co/x2PhI7RDld'
936655561709547520,2017-12-01 17:57:42,b'RT @leffesture: -Har vi tacos\xc3\xa5s?\n-Vet inte. K\xc3\xb6p en f\xc3\xb6r s\xc3\xa4kerhets skull.\n\nSa vi alla g\xc3\xa5nger vi gjorde tacos. https://t.co/VoVAe6hQW0'
936483972787425282,2017-12-01 06:35:52,b'RT @Sethrogen: We made a movie about the worst movie and it might be our best movie. https://t.co/WTT6hUV6KQ'
936337323800891393,2017-11-30 20:53:08,"b""RT @BeardedGenius: I can't prove it for sure, but I'm pretty definite various Egyptian civilisations from the 1st century BC onwards have b\xe2\x80\xa6"""
936335033610199040,2017-11-30 20:44:02,"b'RT @tobiasemmerdahl: Kliva ut i en kr\xc3\xb6nika och s\xc3\xa5ga ""h\xc3\xb6h\xc3\xb6-st\xc3\xa4mningen och ryggdunkandet"" i @TuttoBalutto-intervjun med Mathias Ran\xc3\xa9gie.\n\nGl\xc3\xb6\xe2\x80\xa6'"
935875277351251968,2017-11-29 14:17:08,"b'RT @sannaandersson: Fick just en fr\xc3\xa5ga om jag gillar blodpudding?? Vad ere f\xc3\xb6r j\xc3\xa4vla fr\xc3\xa5ga, DET \xc3\x84E FAN LIVETS M\xc3\x85LTID'"
