id,created_at,text
940300520991928322,2017-12-11 19:21:28,"b'@realDonaldTrump The BIGGEST stain on America is you, The history books will not be kind to you or your family and for good reason.'"
940071017107546112,2017-12-11 04:09:30,"b'@realDonaldTrump All your talk about GOD and how you read the bible. Yet, you can not ever quote anything from the\xe2\x80\xa6 https://t.co/Uvf6uDN26P'"
940070696293580800,2017-12-11 04:08:14,"b'@realDonaldTrump All your talk about fake news....really. You give us fake news all the time, just lies and more li\xe2\x80\xa6 https://t.co/Psg8JPd3bT'"
939703324936474625,2017-12-10 03:48:26,b'@realDonaldTrump @daveweigel So...you post fake pictures all of the time. Pictures of FAKE Time magazine covers. Yo\xe2\x80\xa6 https://t.co/RZLnp8eXbd'
939489144723705859,2017-12-09 13:37:21,b'@realDonaldTrump ROY MOORE is a pig and a child molester he should NOT hold any office.'
939488967656865792,2017-12-09 13:36:39,b'@realDonaldTrump Just like Donald Trump is the biggest liar ever to be in the White House.'
939221931307552770,2017-12-08 19:55:32,"b'@realDonaldTrump BADE, HORRIBLE decision and most of the world agrees.'"
939221743402733568,2017-12-08 19:54:48,b'@realDonaldTrump Roy Moore is a disgusting PIG and a child molester. We do NOT need him for anything.'
939221545481834499,2017-12-08 19:54:00,"b'@realDonaldTrump @SecretaryAcosta @USDOL Fake news, u are using U-3 figures NOT U-6 , which are more accurate. Learn your job.'"
938764362835259392,2017-12-07 13:37:20,b'@realDonaldTrump @foxandfriends REALLY....you  can and do read?'
938379515897708545,2017-12-06 12:08:05,b'@realDonaldTrump Roy Moore is a pig predator of women and should not be able to hold any elected office. He should\xe2\x80\xa6 https://t.co/yEYmfFathJ'
937830673104195585,2017-12-04 23:47:11,"b""@realDonaldTrump @foxandfriends Sad how HIllary actually won the election and NOT you.Just eats you up doesn't it.\xe2\x80\xa6 https://t.co/Z5NEsjvz1k"""
937654587145752577,2017-12-04 12:07:29,"b'@realDonaldTrump @ABC OK,  HOW do we protect people from your fake/ dishonest reports, talks, tweets, etc?  U also\xe2\x80\xa6 https://t.co/GK8LrnCnzc'"
937653748758990849,2017-12-04 12:04:09,b'@realDonaldTrump Toy Moore is a predator and a pig. Along with many other of your old stupid cronies. Men who prey\xe2\x80\xa6 https://t.co/5tpLV8WGQW'
937086804376899586,2017-12-02 22:31:19,"b'@realDonaldTrump LIES&lt; ALL LIES. Like your made in america speech. How many products with your name are made in America. ), big fat lies.'"
936936230067032064,2017-12-02 12:32:59,b'@realDonaldTrump @SenateMajLdr @senorrinhatch YOU are the WORSE POTUS that we have ever had. Your story in our hist\xe2\x80\xa6 https://t.co/Js5vpZvj3I'
936718312742031360,2017-12-01 22:07:03,b'@realDonaldTrump We r NOT highly respected and all countries are laughing at you and us because of you.'
936718092759126016,2017-12-01 22:06:11,b'@realDonaldTrump FAKE news and ALL LIES just like everything else you say.'
936408268066492416,2017-12-01 01:35:03,b'The #TrumpTaxScam is bad for New York. Vote no @SenSchumer @SenGillibrand https://t.co/DJ369GBB1d https://t.co/rN5kaaiobT'
935956623926988802,2017-11-29 19:40:23,b'@JaydaBF @realDonaldTrump What hell are you doing. You should be doing your JOB not re- tweeting videos that are no\xe2\x80\xa6 https://t.co/hCcsGB8SHG'
935932643878866945,2017-11-29 18:05:05,b'@realDonaldTrump The only ones who like you are the idiots who are not very smart and are bullies. Kinda like you.'
935932446561984512,2017-11-29 18:04:18,b'@realDonaldTrump How about check out YOUR past. It is pretty disgusting. Money has gotten you out so far....but wat\xe2\x80\xa6 https://t.co/mUxgB5sNg7'
935932267104559104,2017-11-29 18:03:35,"b""@realDonaldTrump You need  to stay out of everyone else's business and concentrate on your own job."""
935932057934495744,2017-11-29 18:02:46,b'@realDonaldTrump Keep dreaming'
935846461908115456,2017-11-29 12:22:38,b'@realDonaldTrump @SenateMajLdr @SpeakerRyan They did not show up because you tweeted 3 hrs. prior that their was NO\xe2\x80\xa6 https://t.co/M64SwsXLkA'
935845756489093120,2017-11-29 12:19:50,"b'@realDonaldTrump Too bad U have not been fired for your ""inappropriate sexual behavior"" I am sure it is much worse\xe2\x80\xa6 https://t.co/8xR0uPsnap'"
935625952431919106,2017-11-28 21:46:24,"b'@EW Every beautiful woman does not want some fat, ugly old man lusting after them.  You are all disgusting. First y\xe2\x80\xa6 https://t.co/mpJ32FLhGR'"
935526317700866050,2017-11-28 15:10:30,"b'@realDonaldTrump HAPPY HOLIDAYS, HAPPY HOLIDAYS, HAPPY HOLIDAYS. YOU CAN NOT TELL US WHAT TO DO, THINK AND SAY. YOU\xe2\x80\xa6 https://t.co/kLVsc0WlyY'"
935526047986192384,2017-11-28 15:09:25,b'@realDonaldTrump NONE OF YOUR BUSINESS.'
935525906952736768,2017-11-28 15:08:52,"b'@FLOTUS @realDonaldTrump @WhiteHouse HAPPY HOLIDAYS, HAPPY HOLIDAYS HAPPY HOLIDAYS HAPPY HOLIDAYS. NO ONE WILL TELL ME WHAT TO SAY.'"
935359013344210944,2017-11-28 04:05:41,b'@realDonaldTrump What YOU say is the only FAKE news we hear.'
935281552472379392,2017-11-27 22:57:53,"b'@realDonaldTrump One of my fav POTUS was Obama, great man, honest man, always spoke very well, intelligent. The tot\xe2\x80\xa6 https://t.co/Y5Fmlqjjwq'"
935281155699552257,2017-11-27 22:56:18,b'@realDonaldTrump FAKE news.'
935281078977351681,2017-11-27 22:56:00,b'@realDonaldTrump NOT my fav  POTUS not even one I like.'
935280941702008832,2017-11-27 22:55:27,b'@realDonaldTrump We should have a contest to see which President is the biggest liar and piece of crap to ever be i\xe2\x80\xa6 https://t.co/HglRV3lVuI'
934933687518552064,2017-11-26 23:55:35,"b'@realDonaldTrump Thi sis none of your business, just do your job.'"
934933573362208768,2017-11-26 23:55:08,"b'@realDonaldTrump FAKE news. They NEVER called you, maybe in your dreams.  You do not even understand when people are making fun of you.'"
934933426188292098,2017-11-26 23:54:33,b'@realDonaldTrump FAKE news.'
934933314816880642,2017-11-26 23:54:07,b'@realDonaldTrump YOU are an ignorant LIAR. YOU have not accomplished anything major except learn how to lie more. H\xe2\x80\xa6 https://t.co/lSDDVik0hH'
934369699076431872,2017-11-25 10:34:30,b'@realDonaldTrump YOU are adding disrespect to our country EVERYDAY that you are in office. DISGUSTING THE THINGS YO\xe2\x80\xa6 https://t.co/u2OKnc9Rt6'
932667899050971138,2017-11-20 17:52:09,"b'@realDonaldTrump You have already Horribly disappointed the American public. This tax cut is a JOKE, your administration is a JOKE.'"
932405692568399874,2017-11-20 00:30:15,"b'@realDonaldTrump NOT my favorite POTUS. Truth hurts, EH!'"
932288485838544897,2017-11-19 16:44:30,b'@realDonaldTrump You have done much worse and at least Al is very well liked and does a great job in the senate. Un\xe2\x80\xa6 https://t.co/nk7JmJioCf'
932288186591694848,2017-11-19 16:43:19,b'@realDonaldTrump YOU are a sexual predator yourself. Shut up and mind your own business. You did worse in some case\xe2\x80\xa6 https://t.co/wRCjJCxsqy'
932287975026757632,2017-11-19 16:42:28,b'@realDonaldTrump YOU need to shut up and get on with life yourself you big hypocrite.'
931497750147031040,2017-11-17 12:22:24,b'@realDonaldTrump You should listen to lectures on respecting women yourself. U are as bad or worse than many in the\xe2\x80\xa6 https://t.co/yYpVHA1uTd'
931497461432094720,2017-11-17 12:21:15,b'@realDonaldTrump U should not be commenting on anyone who has demeaned a women either physically or by word. You ha\xe2\x80\xa6 https://t.co/kLEFY2KSVH'
931333306741870593,2017-11-17 01:28:58,b'@realDonaldTrump They are resisting because it is not what you say. More lies and hurts to the average middle class. Disgusting.'
930772572471513088,2017-11-15 12:20:48,b'@realDonaldTrump NOT helping average person only the disgusting rich buddies of yours. You were elected by the peop\xe2\x80\xa6 https://t.co/lV5eJb7IWn'
