id,created_at,text
940087925747826688,2017-12-11 05:16:42,b'RT @njharley: The twelve days of Trumpmas https://t.co/s7taQeTifO https://t.co/lzp7JhDL0G'
940087540685537281,2017-12-11 05:15:10,"b""RT @krassenstein: The Trump Presidency is in its 324th day. Here's an overview:\n\n- Wall Height: 0 ft\n- Pro-pedophile rallies: 1 -\n Campaign\xe2\x80\xa6"""
940085693539270656,2017-12-11 05:07:49,"b""@realDonaldTrump You wouldn't know real news if it bit you in the butt"""
938868302327119873,2017-12-07 20:30:21,b'@realDonaldTrump Did you use your Poly-grip today #DentureDonald'
938867489626234880,2017-12-07 20:27:07,"b'@ABC If Al Franken has to resign, so should Roy Moore you hypocrite.'"
938865327542112256,2017-12-07 20:18:32,b'@TheRynheart All Trump cares about are all of his rich friends.  He is nothing more than a privileged draft dodger\xe2\x80\xa6 https://t.co/TtJpqy00gi'
938638954525483008,2017-12-07 05:19:00,b'New law:\nNo member of Congress can serve after their 75th birthday.  We need to get rid of these old scumbag crackers'
937904739995418624,2017-12-05 04:41:30,b'@ABC You and your whole family are going to prison for all of you lies.'
937349814609592321,2017-12-03 15:56:25,b'@ABC You are a fake ptesident'
937220952223449089,2017-12-03 07:24:22,b'@aravosis @njharley Your you going down next Orange Scotus.'
934277434043547648,2017-11-25 04:27:52,"b'@realDonaldTrump Why don\'t you just shut the ""F"" up.'"
934276527423856641,2017-11-25 04:24:16,b'RT @ryanstruyk: Would you still consider voting for a candidate accused of sexual harassment by multiple women? (via new @QuinnipiacPoll)\xe2\x80\xa6'
932481092363227136,2017-11-20 05:29:51,b'@Brasilmagic Sounds like Trumps life story.'
932071267837939712,2017-11-19 02:21:21,"b""RT @SethAbramson: If the Senate probes Franken\xe2\x80\x94and they should, given the allegation made today of his conduct in '06\xe2\x80\x94will they ALSO invest\xe2\x80\xa6"""
931412789779824640,2017-11-17 06:44:48,b'@realDonaldTrump You hypocritical  p***y grabbing bastard.'
931022354225885184,2017-11-16 04:53:21,b'@philcoforde @ABC @realDonaldTrump He is disgrace to America.'
928874213917655040,2017-11-10 06:37:24,"b""RT @ULF4thePeople: I'm gonna go out on a limb here, but I'm pretty confident that the only thing Trump is going to convince them of is the\xe2\x80\xa6"""
928868062840762368,2017-11-10 06:12:58,b'RT @StephenKing: Starting to think GOP stands for Groping Old Pervs.'
928867646870765569,2017-11-10 06:11:19,b'RT @BetteMidler: Trump is supposed to meet with Putin tomorrow. Probably for his first annual performance review.'
928097545514975232,2017-11-08 03:11:12,b'@washingtonpost You idiot there were only 50 people in the church.'
928097087517966338,2017-11-08 03:09:23,"b'@realDonaldTrump Too bad Donny, you lost that one.'"
