id,created_at,text
940081836054609920,2017-12-11 04:52:30,b'@jay_mulligan @MooreSenate  https://t.co/WtIObjeEnF'
940080927224377344,2017-12-11 04:48:53,b'@realDonaldTrump @keithfowler08 @CNN  https://t.co/wWL5vmapUY'
940080164452450304,2017-12-11 04:45:51,b'@Lonestarmomcom @MooreSenate  https://t.co/2IXWME9sgZ'
940079527899774978,2017-12-11 04:43:19,b'@MooreSenate @MAGA_News_Daily  https://t.co/b6OiJCB9up'
939973987060277249,2017-12-10 21:43:57,b'@deploreable2020 @deepstatedown  https://t.co/t0haKG6e76'
939717360411328512,2017-12-10 04:44:12,b'@deepstatedown @deploreable2020 Goood start would be to not support pervs like Roy Moore. https://t.co/WvAGsJqdXl'
939258337039757312,2017-12-08 22:20:12,b'@HillaryClinton @CMDR_Paylor Trump dosnt have time for kids.. trumps program is to give out free ice cream and cand\xe2\x80\xa6 https://t.co/L94EhwyMlS'
939256921667678208,2017-12-08 22:14:35,b'@uvamomfran @realDonaldTrump @foxandfriends Continued-That\xe2\x80\x99s $ 75 million per year under Trumps new proposed tax pl\xe2\x80\xa6 https://t.co/FOcWrIRlS6'
939255709262163968,2017-12-08 22:09:46,b'@uvamomfran @realDonaldTrump @foxandfriends They where leaked for his last year and I think it Huffington Post that\xe2\x80\xa6 https://t.co/mAkrP0qOHf'
939253813768200192,2017-12-08 22:02:14,b'@realDonaldTrump @foxandfriends I ask why ?? Why would you ? https://t.co/RBd6VTD28f'
938712873739546624,2017-12-07 10:12:44,b'@Comey Poor Lady Liberty https://t.co/zH4Lff0E1U'
938709325303889921,2017-12-07 09:58:38,b'@PatrickW  https://t.co/m37s5oTUtN'
938479356699066368,2017-12-06 18:44:49,b'@JeffFlake  https://t.co/CGZJ0zHGRf'
938478768238166018,2017-12-06 18:42:29,b'@billmaher  https://t.co/CKFcvBFayl'
937715059966459904,2017-12-04 16:07:46,b'@TheStalwart The tax bill is really set up to save trump millions in taxes and he does not care about debt or anyth\xe2\x80\xa6 https://t.co/slnbSq6pvM'
