id,created_at,text
940087723829760000,2017-12-11 05:15:54,"b'@realDonaldTrump Actually CNN is known amongst most conservative and educated folks as the ""Communist News Network.""'"
936634979458699266,2017-12-01 16:35:55,"b'@FoxNews When will the FBI be charged for their lies? Whatever is done to Flynn, must be also done to the FBI. Such as lying to America!!!'"
902249457764487169,2017-08-28 19:20:08,"b""Could not agree more with L. Cook's FB post regarding reporter's instigating division in Houston tragedy."""
865244815201533952,2017-05-18 16:36:54,"b'@BBCWorld As Putin should,crack jokes that is.  This entire subject is nothing but laughable!!! Find something worthwhile to report on.'"
857004675278745600,2017-04-25 22:53:31,"b""@POTUS - Hey POTUS, why don't u reach out to Meryl now to ask her advice regarding the impending writer's strike?"""
849665315881586688,2017-04-05 16:49:31,"b""@FoxNews What are Rice's surveillance  statistics aimed at Democrats?"""
833823632124215296,2017-02-20 23:40:20,"b'@realDonaldTrump - Dear Mr. Trump, I love your tweets,but they need to be more specific, as ambiguity is not prudent!!!!'"
828439297170743296,2017-02-06 03:04:54,"b""@NFL @WTOC11 - come on Falcons!!!!! Don't let this happen!!!!!"""
827931621886136322,2017-02-04 17:27:35,b'@DJTrump45 -Yes this makes me smile.'
827655045491654657,2017-02-03 23:08:34,"b""@POTUS @WhiteHouse  - My spouse is so involved in POTUS'S actions, he is now sleep deprived as TRUMP!"""
827654727370412032,2017-02-03 23:07:18,b'@POTUS @WhiteHouse TRUMP you are a true CATALYST - Cannot wait for your third week in office!!!!!'
826820473937862656,2017-02-01 15:52:17,"b'@Waitakubuli777 @JudgeJeanine @RudyGiuliani - You are so right, Dems want everything free....we Republicans cannot afford all your freedoms!'"
826621037471227904,2017-02-01 02:39:47,"b'@Waitakubuli777 @JudgeJeanine @RudyGiuliani As always, no solutions, just open ended ideology,typical for Demoncrats!!!'"
826601124274774018,2017-02-01 01:20:40,"b'@Waitakubuli777 @JudgeJeanine @RudyGiuliani Wonderful, then do so and convince the remaining Dems to take as many with them as possible.'"
826487847871995906,2017-01-31 17:50:32,"b'@realDonaldTrump Please explain the difference between a terrorist and a Demoncrat. Both r destroying USA,just different methods!'"
826486787509989377,2017-01-31 17:46:20,"b'@Waitakubuli777 @JudgeJeanine @RudyGiuliani Even better, take them home with you!! As usual, Dems Bitch but want others to solve problem.'"
826472145140273153,2017-01-31 16:48:09,b'@realDonaldTrump I could not agree more!! Dems should set an example and stop stalling! Stop the typical D.C.bullshit!!'
825752504361156610,2017-01-29 17:08:33,b'@CBSThisMorning @CBSPolitics Why are liberals so paranoid about their own personal safety?   I will defend anything that ensures such.'
825532496808988673,2017-01-29 02:34:19,b'@JudgeJeanine @RudyGiuliani -Tell all these immigration supporters to take a few illegal immigrants home with them-PROBLEM SOLVED!'
825523801920249856,2017-01-29 01:59:46,"b'@CBSThisMorning No problem...send the protestors home with their supporters, first and foremost Mr. Timothy Kaine'"
825522981963235332,2017-01-29 01:56:31,b'@CBSThisMorning  Islam is not a religion!  It is a cult of a billion and they have no options! Islam or DIE!!!!'
825521554855436289,2017-01-29 01:50:50,b'RT @KimberlyBJones2: @CBSThisMorning Protestors at JFK/their supporters need to resolve the issue now!The supporters should take the protes\xe2\x80\xa6'
825521216471625728,2017-01-29 01:49:30,b'@CBSThisMorning Protestors at JFK/their supporters need to resolve the issue now!The supporters should take the protestors home with them.'
824707133006577666,2017-01-26 19:54:37,b'NFL: Petition to Cancel Lady Gaga from NFL Halftime Show https://t.co/my3xbxbKCX via @Change'
823366903368450048,2017-01-23 03:09:01,b'@CBSThisMorning *please understand CBS has been for the most part excluded from fake news label and I would soooo love for this to continue.'
822904123376934913,2017-01-21 20:30:06,b'@washingtonpost - And what about what the Washington Post got wrong with Twitter this week?'
822873228049793026,2017-01-21 18:27:20,b'@HuffingtonPost - Trump supporters were at work!!!!'
822873058981609472,2017-01-21 18:26:40,"b""@CBSThisMorning @bobschieffer -Bob needs to remember this was a constituent's election, neither Republican or Democrat!!!"""
822582290006020096,2017-01-20 23:11:15,b'@FoxNews so tickled Brett Baier is on now and viewers can finally enjoy the parade unlike earlier where viewers could not hear anything.'
822549864299040768,2017-01-20 21:02:24,b'@CBSThisMorning CBS needs a new artist!   This is very unflattering or our new President and First Lady.'
822545418026418177,2017-01-20 20:44:44,b'@POTUS Thumbs up on that new ride Don!  You and Mel look marvelous in it.   This deserves a DQ special!'
822508337120022528,2017-01-20 18:17:23,b'@CBSNews @WTOC11 yes they have..they have milked and re milked..enough already!!!'
822467963383152640,2017-01-20 15:36:57,"b""@realDonaldTrump won't D be elated once all these formalities are over and he can get to work with us making America great again!!!"""
822228223861882880,2017-01-19 23:44:19,"b'CBS evening news, even on inauguration eve,media will not stop encouraging division!!! No wonder I watch FOX more and more!'"
822227911323373568,2017-01-19 23:43:04,"b""CBS evening news,shame on you Scott Pelley!Why can't u media leave well enough alone?U should be admonished/reprimanded!!!"""
822136050915180547,2017-01-19 17:38:03,"b'@CBSThisMorning @CBSPolitics \nYes, there will be a small number of Trump appointed officials initiative but that will grow exponentially!!!!'"
822135035390230528,2017-01-19 17:34:01,"b'@CBSThisMorning @CBSPolitics \nYes, there will be a few Trump appointed officials initially and that number will exponentially grow!'"
822128535674519552,2017-01-19 17:08:11,b'You unhappy dems got any cheese to go with your wine?'
822127830414852096,2017-01-19 17:05:23,b'I for one will be so relieved when this O to T transition is over!!!  Enough already!'
819206091808657412,2017-01-11 15:35:27,"b""Confirmation hearings must stop, more waste of taxpayer's money!These narcissistic politicians/Hollywood elite need deep self reflection."""
818634911729020928,2017-01-10 01:45:47,b'CBS this morning needs to continue their above the normal standards of their counterparts and report new news and cease the rhetoric!!!'
