id,created_at,text
940230845503176711,2017-12-11 14:44:36,"b'RT @borzou: Middle East is burning, bomb in NYC, talk of war with North Korea and here\xe2\x80\x99s what he is thinking about. This is actually confir\xe2\x80\xa6'"
940073602610741251,2017-12-11 04:19:47,b'@realDonaldTrump @daveweigel You have lied an average of six times for every day you have been in office.  You\xe2\x80\x99re t\xe2\x80\xa6 https://t.co/HatCS8PiiL'
936005303358779392,2017-11-29 22:53:49,b'@JaydaBF @realDonaldTrump You are the WPITW.'
934881944239718401,2017-11-26 20:29:59,b'RT @SFGiants: @hunterpence We don\xe2\x80\x99t either. Let\xe2\x80\x99s invite @StephenCurry30 to our game on June 2nd? https://t.co/8Yvvv95cIR'
933929165362905094,2017-11-24 05:23:59,b'RT @SFGate: Safari West reopens after wildfire scorched it https://t.co/1kTwSI12t7 https://t.co/bdsN0lDCej'
933126820127371264,2017-11-22 00:15:45,b'RT @WhiteHouse: President Trump and the First Lady Participate in the Pardoning of the National Thanksgiving Turkey https://t.co/e723aNSTSI'
930842860621983744,2017-11-15 17:00:06,b'@brianbeutler How dare you tarnish the image of a beautiful Bernese Mountain Dog in this way!'
930842437815111681,2017-11-15 16:58:26,"b'@realDonaldTrump @nytimes And homicidal maniac Duterte, your bestie. #WPITW'"
930841897672704000,2017-11-15 16:56:17,b'@realDonaldTrump @nytimes And yet you sat with a homicidal maniac and praised his leadership.  Duterte is your kind of guy. #WPITW'
926445534927233025,2017-11-03 13:46:42,b'@realDonaldTrump Racist old dotard wandering the halls. Sad!'
926316568484528128,2017-11-03 05:14:14,b'@realDonaldTrump You\xe2\x80\x99re a hypocrite. Why didn\xe2\x80\x99t you take action after 59 died in Las Vegas? Disgusting. Failing miserably!'
926315395262189568,2017-11-03 05:09:34,"b'RT @Stevesbikeshop1: @StephenCurry30 Hey buddy, I saw your work on the tricycle on Halloween.  Could really use you around the shop. Are yo\xe2\x80\xa6'"
926315217163661312,2017-11-03 05:08:52,b'RT @StephenCurry30: I wonder if Steve\xe2\x80\x99s Bike shop is hiring...'
926314991417901057,2017-11-03 05:07:58,b'RT @jnitsu_: @TwitterGov that employee did the lord\xe2\x80\x99s work hire them back @TwitterSupport https://t.co/ZtzpUCLpQW'
926314866431819777,2017-11-03 05:07:28,b'RT @TwitterGov: Through our investigation we have learned that this was done by a Twitter customer support employee who did this on the emp\xe2\x80\xa6'
926314830276915201,2017-11-03 05:07:20,b'@TwitterGov If only Twitter had as much courage and conviction as that employee.'
923991446469799936,2017-10-27 19:15:02,"b'@realDonaldTrump You only tweet about people who scare you, Trump! Tom Steyer is clearly onto something.'"
917471563456249859,2017-10-09 19:27:21,b'@MFinney @abc7newsbayarea People in Glen Ellen and Kenwood are desperate for news.  Please update.'
902259876121911296,2017-08-28 20:01:32,"b""@ReneeNal @divaesq @skatz8 @NancyPelosi And it's Renee Nal for the win in utter bullshit! Wow, kudos to you for the\xe2\x80\xa6 https://t.co/vk6KO2VJfN"""
862419925394051072,2017-05-10 21:31:47,"b""RT @people: Melissa McCarthy Feels 'Oh So Pretty' as Sean Spicer in #SNL Promo https://t.co/geplgvwWHA"""
861767608432971776,2017-05-09 02:19:43,b'@realDonaldTrump When we reach the same cost as Benghazi.'
845271905137393664,2017-03-24 13:51:41,"b'RT @ddiamond: 1. That time a novice chief executive made a foolhardy promise, his erstwhile allies rushed to get it done\xe2\x80\x94and it all fell ap\xe2\x80\xa6'"
844921372853747712,2017-03-23 14:38:47,"b""RT @wesstreeting: @DonaldJTrumpJr You use a terrorist attack on our city to attack London's Mayor for your own political gain. You're a dis\xe2\x80\xa6"""
844767863088996354,2017-03-23 04:28:48,"b'@DonaldJTrumpJr You know this to be misleading, harmful, and a lie. Where is your apology to the Mayor of London?'"
824494566606721024,2017-01-26 05:49:57,"b""RT @AltNatParkSer: That's some pretty incredible night sky. Have you ever been stargazing in a national park? Many of our parks have zero l\xe2\x80\xa6"""
824494482477314048,2017-01-26 05:49:37,"b'RT @BadIandsNPSFans: Fun Fact: The Golden-Crowned Kinglet (Regulus satrapa) winters in the Badlands. It winters at Mar-a-Lago, too. https:/\xe2\x80\xa6'"
824493456160485377,2017-01-26 05:45:32,"b'RT @AltNatParkSer: An American government that ignores science to pursue ideological &amp; corporate agendas endangers the world, now, and for\xe2\x80\xa6'"
824493406596378624,2017-01-26 05:45:21,"b""RT @BadIandsNPSFans: Bulletin: The Pierre Shale Formation, which underlies the Badlands, has been renamed the 'Donald Shale Formation.' Pie\xe2\x80\xa6"""
824293647516504065,2017-01-25 16:31:34,"b'RT @igorvolsky: We all need to realize that Trump will use his ""voter fraud"" investigation to suppress minority voters &amp; people who might v\xe2\x80\xa6'"
824293381815668736,2017-01-25 16:30:31,"b'RT @BiologistDan: Yesterday, @BadlandsNPS was censored for tweeting about #ClimateChange. RT to keep #Science facts alive. #ThankYouTrump f\xe2\x80\xa6'"
823384053596332032,2017-01-23 04:17:10,b'@azizansari Thank you for the most on point SNL post inauguration monologue in the history of the show. Going back for third view. \xf0\x9f\x92\x97'
675071435866525696,2015-12-10 21:55:47,b'#myminutes ABC West just completed handing out 30 personal care packages to people in need.'
648924173394317312,2015-09-29 18:15:54,b'One game at a time! Go Giants! #BeatLA'
648905244923965444,2015-09-29 17:00:41,b'@Snowden I can hear you loud and clear.'
