id,created_at,text
940312364955471872,2017-12-11 20:08:32,b'6 people followed me today tracked by https://t.co/0NcmwPrFh6'
940179640819183618,2017-12-11 11:21:08,b'@maritalawrence6 @Mcstevens3 @SteveSchmidtSES @PressSec Bots can\xe2\x80\x99t spell. \xf0\x9f\x98\x82'
940179390008139776,2017-12-11 11:20:08,"b""RT @sandibachom: @SteveSchmidtSES @PressSec I'm 73, I'm old enough to remember everything. So look forward to seeing you and hearing your s\xe2\x80\xa6"""
940179272068620288,2017-12-11 11:19:40,b'RT @wcosby1: @SteveSchmidtSES @PressSec I\xe2\x80\x99m old enough to remember a Democratic President who had the leadership to take the steps to preve\xe2\x80\xa6'
940178945068097536,2017-12-11 11:18:22,b'RT @joncoopertweets: \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 Why the hell does Roy Moore speak fluent Russian?! What is going on here? I think all Alabamians - and all America\xe2\x80\xa6'
940178879792144384,2017-12-11 11:18:07,b'RT @paulws: A Russian sleeper cell? Is this one of many? https://t.co/iQKwXii0Lb'
940178806622470145,2017-12-11 11:17:49,b'RT @thehill: JUST IN: Trump admin scraps Obama-era rules requiring airlines disclose baggage fees https://t.co/ONSEwd4mA8 https://t.co/S0ut\xe2\x80\xa6'
940178693871116289,2017-12-11 11:17:22,"b'RT @Telegraph: Saudi Arabia has lifted a decades-long ban on cinemas, part of a series of social reforms by the powerful crown prince that\xe2\x80\xa6'"
940178626162573312,2017-12-11 11:17:06,"b'RT @funder: Here\xe2\x80\x99s Roy Moore complimenting Putin &amp; then speaking fluent Russian, because of course.\n\n#DigDoug #RightSideOfHistory #VoteDec1\xe2\x80\xa6'"
940177972681572352,2017-12-11 11:14:31,"b'RT @SafetyPinDaily: Nearly 9 in 10 black Americans believe Trump respects people of colour less than whites, poll finds   |Via Independent\xe2\x80\xa6'"
940177794968854528,2017-12-11 11:13:48,b'RT @ASlavitt: What greater motivation to vote than for someone who doesn\xe2\x80\x99t believe you have that right. https://t.co/ImSSe1tCL2'
940127229303971840,2017-12-11 07:52:52,b'RT @MustafAbuZir_E: Good morning  from the occupied #Jerusalem .. !!\n\n#JerusalemIsTheCapitalOfPalestine https://t.co/fqiFzgPbdR'
940126914340982784,2017-12-11 07:51:37,b'RT @DrNat01: The Alabama Court of the Judiciary suspended \xf0\x9f\xa4\xa0 for the remainder of his term as chief justice after finding him guilty of six\xe2\x80\xa6'
940126740571025408,2017-12-11 07:50:56,b'RT @katyperry: Saying a prayer for my hometown of Santa Barbara &amp; Montecito tonight \xf0\x9f\x98\x94 The #thomasfire is still only 10% contained after dev\xe2\x80\xa6'
940126336449789953,2017-12-11 07:49:19,b'RT @GlennKesslerWP: Reminder: only a year ago the unemployment rate was phony and the stock was a \xe2\x80\x9ca big fat bubble\xe2\x80\x9d https://t.co/kpk3Kw0HL5'
940126288458559490,2017-12-11 07:49:08,b'RT @GDouglasJones: I don\xe2\x80\x99t care what party you belong to. The first question you need to be asked when you run for office is \xe2\x80\x9cwhat is your\xe2\x80\xa6'
940126227288899584,2017-12-11 07:48:53,b'RT @RonaldKlain: Hey I heard that there was a high profile journalistic error recently.  This must have been it.  I\xe2\x80\x99m sure the President la\xe2\x80\xa6'
940126009499705344,2017-12-11 07:48:02,"b""RT @johnpodesta: .@realDonaldTrump's \xe2\x80\x9cwhataboutism\xe2\x80\x9d mimics his pal Putin and undermines rule of law. See my oped in WaPo https://t.co/Bzu9o\xe2\x80\xa6"""
940125850363617280,2017-12-11 07:47:24,b'RT @XHNews: Remember history and cherish peace: Toronto Marks 80th anniversary of #NanjingMassacre https://t.co/pbTgTi7Xk1'
940125820793655296,2017-12-11 07:47:17,b'RT @STEPHANIEE_USA: Cutenesssss \n\nNothing says..Just RT https://t.co/dv1Tih3ppY'
940125740938412034,2017-12-11 07:46:57,b'@BirchandMaple @SocietalAtrophy @samsanders Why this undeserved hatred of POC? I don\xe2\x80\x99t get it; never did!'
940125348347265024,2017-12-11 07:45:24,b'RT @ABC: Deputy national security adviser to leave White House https://t.co/Dv642jRUBN https://t.co/ksga3mis1u'
940125292558872576,2017-12-11 07:45:11,b'@gf_layne @heidithemusical @newtgingrich @wendyweb47 Especially with three (3) wives.'
940125118700822528,2017-12-11 07:44:29,b'RT @gf_layne: @newtgingrich @wendyweb47 / Newt is the man who was forced to resign from congress. He should not be passing judgement on int\xe2\x80\xa6'
940125034894344192,2017-12-11 07:44:09,b'RT @thismamatweets: @DrDinD @JeffFlake That encounter did not happen by mistake. Flake has been looking for an answer... a sign on what he\xe2\x80\xa6'
940124982062981121,2017-12-11 07:43:57,b'RT @SethAbramson: VERY EXCITED\xe2\x80\x9440 days after writing two lengthy threads on my discovery that George Papadopoulos traveled secretly to Athe\xe2\x80\xa6'
940124921295859713,2017-12-11 07:43:42,"b'RT @carlbildt: \xe2\x80\x9cThe nuclear deal is a rare triumph of diplomacy over confrontation\xe2\x80\x9d, says Iran FM @JZarif. True. And very important to pres\xe2\x80\xa6'"
940124780564430848,2017-12-11 07:43:09,"b'RT @SethAbramson: (THREAD) This is Part 2 of a thread on ""True Pundit,"" the fake-news website\xe2\x80\x94launched by a former FBI agent\xe2\x80\x94that helped sw\xe2\x80\xa6'"
940124445191970816,2017-12-11 07:41:49,b'RT @KelleyJ84462058: @newtgingrich  https://t.co/rJxlchJXm1'
940124069361418240,2017-12-11 07:40:19,"b'RT @CNN: ""Horse people are a community... Leaving one behind is like leaving a child behind ... you just can\'t do it.""\n\nHorse owners scramb\xe2\x80\xa6'"
940123955049803777,2017-12-11 07:39:52,b'RT @FastCompany: How to help California fire victims: 11 things you can do for Ventura and L.A. right now https://t.co/vedjs7GKbI https://t\xe2\x80\xa6'
940123915120025600,2017-12-11 07:39:42,"b""RT @fredfell: @newtgingrich So now you've done a full 180 degree turn and start dissing Mueller.  What in the world do the Russians have on\xe2\x80\xa6"""
940123686668943361,2017-12-11 07:38:48,"b""RT @altNOAA: We only have a few days to fight the FCC &amp; the repeal of #NetNeutrality! Thanks to John Oliver there's a SUPER easy way to do\xe2\x80\xa6"""
940123469068378112,2017-12-11 07:37:56,b'@Catdame I hope and pray for him to be successful and eventually rewarded for his efforts to find the truth!'
940123007393001472,2017-12-11 07:36:06,b'RT @Catdame: Can you imagine the pressure Mueller is under every day to make sure the investigation is handled without error?  To know mill\xe2\x80\xa6'
940122911851012101,2017-12-11 07:35:43,b'RT @_ade: Hang on that\xe2\x80\x99s twice in two days that Twitter suspected me of being a bot. *dusts off the old Voight-Kampff machine*'
940122809107230720,2017-12-11 07:35:18,"b""RT @DrDinD: BBC News - California's Thomas Fire scorches area larger than New York City https://t.co/Yb0mU73thR"""
940122647316148225,2017-12-11 07:34:40,b'RT @funder: I\xe2\x80\x99ll be on #AMJoy on MSNBC this am to give an update on the #TrumpRussia probe &amp; to respond to @realDonaldTrump\xe2\x80\x99s criticism of\xe2\x80\xa6'
940121684018733056,2017-12-11 07:30:50,"b""RT @Amoney666: Disabled Americans don't have voting rights under a law signed by a Trump election fraud commissioner https://t.co/jF2rTZsrAT"""
940121596747964416,2017-12-11 07:30:29,b'RT @TomthunkitsMind: Trump owes Deutsche Bank (DB) $364 M\n\nKushner owes them $285M\nDB has a cooperating agreement with Vnesheconombank (VEB\xe2\x80\xa6'
940121479907176448,2017-12-11 07:30:02,b'RT @williamlegate: Time to #impeach. https://t.co/0MVYk3JQZY'
940120809372229632,2017-12-11 07:27:22,b'RT @Mikel_Jollett: Fox News is state propaganda.\nFox News is state propaganda.\nFox News is state propaganda.\nFox News is state propaganda.\xe2\x80\xa6'
940120778309169152,2017-12-11 07:27:14,b'RT @mikefarb1: #unhackthevote \nThis has to be our line in the sand. Trump is considering firing Mueller. Please read and retweet!\n\nhttps://\xe2\x80\xa6'
940119599277686790,2017-12-11 07:22:33,b'RT @yenaaldlooskii: @realDonaldTrump Come Tuesday the people of Alabama will have choice to vote for a man who honors the American spirit o\xe2\x80\xa6'
940119483686854656,2017-12-11 07:22:06,"b'RT @GDouglasJones: ""Please go out and vote, vote for Doug Jones on Tuesday. Do it, it\'s the right thing to do"" Jason Isbell\n\nhttps://t.co/b\xe2\x80\xa6'"
940119458613379072,2017-12-11 07:22:00,"b""RT @brianefallon: If Jeff Flake had only donated $5 to Doug Jones, he'd still deserve credit. It is the act of putting country over party t\xe2\x80\xa6"""
940119426141118464,2017-12-11 07:21:52,b'RT @RWPUSA: Mueller was the GOP. The honest GOP. The GOP that did not commit treason and lie about it. That GOP is gone. https://t.co/xHSEo\xe2\x80\xa6'
940119393836470272,2017-12-11 07:21:44,"b""RT @DrDinD: D'oh.  More guns = more deaths. https://t.co/ZkqhytSjsp"""
940119076814258176,2017-12-11 07:20:29,"b'RT @carlreiner: ""Good night sweet Prince (and Princess) may flights of angels sing thee to thy rest, till it be morrow."".'"
940119037001875457,2017-12-11 07:20:19,"b'RT @GDouglasJones: ""I wouldn\'t vote for Roy Moore. I think the Republican Party can do better"" Republican Senator Richard Shelby \n\nhttps://\xe2\x80\xa6'"
940118817392312321,2017-12-11 07:19:27,b'@altNOAA Trump is making judgments about class status? Bwahahahaha \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'
940118549007286272,2017-12-11 07:18:23,"b'RT @altNOAA: Trump has said that owning pets is ""low class"".  I\'ve got a bullmastiff named Baby. Rescued from a breeder that had them for f\xe2\x80\xa6'"
940118458150273025,2017-12-11 07:18:01,"b'RT @AdamParkhomenko: Sometime ago I flagged a previously unreported twitter account: @Guccifer2. This account was created in the AM, Volgog\xe2\x80\xa6'"
940117988832788480,2017-12-11 07:16:09,"b'RT @DrDinD: Come on  @JEffFlake - the odds of your DACA promise being kept are super small, at least in the short term. The odds of being r\xe2\x80\xa6'"
940117899703812096,2017-12-11 07:15:48,b'RT @JordanUhl: At Trump\xe2\x80\x99s rally last night:\n\n-He endorsed a pedophile\n\n-A speaker compared his Israel decision to \xe2\x80\x9cJesus\xe2\x80\x99 return\xe2\x80\x9d\n\n-He mock\xe2\x80\xa6'
940117485310713857,2017-12-11 07:14:09,b'RT @lcmoser: \xe2\x80\x9cEvery single county in which blacks make up more than 75 percent of registered voters will see their driver license office cl\xe2\x80\xa6'
940079203394789379,2017-12-11 04:42:02,b'RT @a_fly_guy: Doug Jones is listening to AL voters. Access to affordable healthcare is his TOP priority. #DigDoug #TW https://t.co/oWKKWgT\xe2\x80\xa6'
940079030857900033,2017-12-11 04:41:21,"b'@KrisHereAgain @traciemac_Bmore I could watch this over and over, run up my data on my phone \xf0\x9f\x98\x82'"
940078719753785344,2017-12-11 04:40:07,"b'@Sportydoodle @traciemac_Bmore Oooh, dagnabit, just got done shopping and forgot the Guinness! \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'"
940078142638534656,2017-12-11 04:37:49,b'@Unpersuaded112 He sure is a cutie. I\xe2\x80\x99m at the max of 2 rescues in apt complex unfortunately.'
940077912379744256,2017-12-11 04:36:54,"b'RT @Unpersuaded112: Scrappy needs s home, I am re-posting because he is not getting allot of attention, please RT far and wide. Link: https\xe2\x80\xa6'"
940077820155281408,2017-12-11 04:36:32,b'@realDonaldTrump @dagenais Did you use super-glue this time?'
940077354537205760,2017-12-11 04:34:41,"b'@AdamParkhomenko @dcexaminer Uhm, okay. So he was free, as a campaign advisor, to freely make certain \xe2\x80\x9carrangements\xe2\x80\xa6 https://t.co/FFotbkvhCi'"
940076318372139010,2017-12-11 04:30:34,b'RT @TheRynheart: \xe2\x80\x98Shocking poll shows Paul Ryan embarrassingly close to unknown Democratic challenger\xe2\x80\x99\n\nAww. Paul Ryan is tanking. It could\xe2\x80\xa6'
940075908739743744,2017-12-11 04:28:57,b'@JohnJHarwood @ybbkaren True!'
940075724186071041,2017-12-11 04:28:13,"b""RT @SafetyPinDaily: No, Roy Moore's accuser didn't forge his yearbook signature  | Via Vox https://t.co/kbLe4UVQYG"""
940075653717618689,2017-12-11 04:27:56,"b""RT @DearAuntCrabby: If you've applied for an absentee ballot, don't forget to submit it! \n\nDeadline to SUBMIT completed Absentee Ballot is\xe2\x80\xa6"""
940075551665963008,2017-12-11 04:27:31,b'@aravosis I see it as projection of his own failings (plural) onto others.'
940075128603340800,2017-12-11 04:25:51,b'RT @aravosis: ABSOLUTELY. And every crime he alleges he has likely committed. https://t.co/Afb1ngW6MJ'
940073923026104322,2017-12-11 04:21:03,"b'RT @rpasley: @ChrisCoons @jonathanalter Couple the dismissal of Boente with the personal ""interviews"" DT has had with prospective US Attorn\xe2\x80\xa6'"
940073649071054851,2017-12-11 04:19:58,b'RT @KathyKro722: @LouiseBagshawe @tburages @patribotics @LouiseMensch @counterchekist @Revolution_IRL @AGSchneiderman @lauferlaw https://t.\xe2\x80\xa6'
940072223955599361,2017-12-11 04:14:18,"b'RT @krassenstein: As Alabama residents get set to choose between Roy Moore and Doug Jones Tomorrow, as yourselves this...\n\nWho would Jesus\xe2\x80\xa6'"
940072109740408832,2017-12-11 04:13:51,b'RT @shancw69: @realDonaldTrump They are called mistakes...and when they are made the stories are corrected or retracted. When you lie on th\xe2\x80\xa6'
940072039628521477,2017-12-11 04:13:34,"b'@MooreSenate Interesting view from down there, #PedoRoy!'"
940071613780729857,2017-12-11 04:11:53,b'RT @DarrellClick: Such hateful people. https://t.co/DoI9tvO43C'
940039467972247553,2017-12-11 02:04:08,"b""RT @peterdaou: @DNC 10. FINALLY: My issue with Bernie Sanders is NOT with progressives. I am a progressive. It's with the fact that he's po\xe2\x80\xa6"""
940039400410320898,2017-12-11 02:03:52,b'RT @MSF_USA: Support a movement that has been walking the walk for over 45 years. https://t.co/B0GTXwfl5n'
939994609018552320,2017-12-10 23:05:53,b'@BeaglesResist @maxandjoeyrun2 Very good point! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
939994383868243968,2017-12-10 23:05:00,b'RT @lyman_brian: One way to think about this where-are-the-issues-in-#ALSEN question is to look at the kinds of electorates Jones and Moore\xe2\x80\xa6'
939994290809331712,2017-12-10 23:04:37,"b'RT @ANTITRUMPMVMT: Gowdy, Benghazi Panel Settled Wrongful Firing Suit With $150,000 in Public Funds \xe2\x80\xa2 #ANTITRUMPMVMT https://t.co/HRel634wCL'"
939994231153684481,2017-12-10 23:04:23,b'RT @RWPUSA: Let us not forget the four other child victims we should keep in our thoughts and prayers on Tuesday. https://t.co/nYEGgAK3g7'
939993806727823361,2017-12-10 23:02:42,"b""RT @kathieallenmd: Why only 3?  In Franken's wake, three senators call on President Trump to resign https://t.co/IcCz2dXPLu"""
939993774897295360,2017-12-10 23:02:34,"b""RT @RWPUSA: Lost focus? No. It's because they don't give a hoot about the middle class. https://t.co/DpdPcMlUiq"""
939993746464169984,2017-12-10 23:02:28,b'RT @RWPUSA: No man in his right mind would run for Senate in Minnesota as a Democrat. All the GOP needs to do is set him up at the State Fa\xe2\x80\xa6'
939993495107801088,2017-12-10 23:01:28,b'RT @RWPUSA: What kind of political party loses a senate seat to a scam run by a man who works for Trump and has a Nixon tattoo? https://t.c\xe2\x80\xa6'
939993325267906560,2017-12-10 23:00:47,"b""RT @KFILE: I was curious about the WaPo anecdote about @GOPChairwoman dropping her middle name at Trump's request. Check out her Twitter na\xe2\x80\xa6"""
939992794088607744,2017-12-10 22:58:40,b'RT @RWPUSA: Roger Stone goes to trial on another candidate he called a sexual predator https://t.co/f0r84ohrXU'
939992685112205312,2017-12-10 22:58:15,"b'RT @Khanoisseur: ""Shrinking ice caps forced National Geographic to make the biggest change in its atlas since the Soviet Union broke apart,\xe2\x80\xa6'"
939992584453177344,2017-12-10 22:57:51,"b'RT @Khanoisseur: Watch this video keeping in mind that Trump is opening up the Arctic for drilling, after having pulled out of Paris Agreem\xe2\x80\xa6'"
939992497362579457,2017-12-10 22:57:30,"b""RT @TeaPainUSA: 2) Fox News is pourin' out #FakeNews at a break-neck pace hopin' to vilify the Dept of Justice and the FBI to set the stage\xe2\x80\xa6"""
939989774382669824,2017-12-10 22:46:41,"b'RT @SolomonAtlee: 1/ @SenFranken, you were set up.\nRoger Stone knew beforehand\nHe encourages Trump to go after investigators @alfranken\n#Tw\xe2\x80\xa6'"
939989035338031104,2017-12-10 22:43:44,b'@jaketapper @POTUS @MooreSenate \xf0\x9f\xa4\xa2\xf0\x9f\xa4\xae\xf0\x9f\x98\xa1'
939987586654670848,2017-12-10 22:37:59,"b'RT @RepSwalwell: The second of our new #TrumpRussia videos: Are all these contacts coincidence, or convergence? https://t.co/fv0s7a6bQ3'"
939984845920288768,2017-12-10 22:27:05,b'RT @jaketapper: Sasha is a rescue from Puerto Rico that my daughter and i are handling at the @DCLuckyDog adoption fair at 1855 Wisconsin A\xe2\x80\xa6'
939984697894903808,2017-12-10 22:26:30,"b'RT @smartdissent: Read this THREAD. So many of @realDonaldTrump and @GOP actions are depressing, upsetting, and angering. This however.....\xe2\x80\xa6'"
939984614604529664,2017-12-10 22:26:10,b'RT @TheHulliCopter: @EricLiptonNYT @danielle_ivory The Trump admistration and the @GOP in general is rife with corruption from the fossil f\xe2\x80\xa6'
939981987556626432,2017-12-10 22:15:44,"b""RT @Diogenes1756: ludicrous choice.  In keeping with most of drumpf's appointments (still holding out hope for his pick for FBI leadership)\xe2\x80\xa6"""
