id,created_at,text
940090374546010114,2017-12-11 05:26:25,b'@CanadianOna @jeffmyers01 Haha i thought the same holy smokes. This is manipulation at its finest and unfortunately\xe2\x80\xa6 https://t.co/DOaWFQ7Sbd'
940089453980217344,2017-12-11 05:22:46,b'@DebraRn725 @jeffmyers01 Sabotage. You mean sabotage.'
940087068146917377,2017-12-11 05:13:17,b'RT @Ana_Mac1: @realDonaldTrump  https://t.co/ioU5KUdyF6'
940086935216840704,2017-12-11 05:12:45,b'@realDonaldTrump And your name should be dipshit. Sucks to have people going around without names that really fit them.'
939445126300143617,2017-12-09 10:42:26,"b'RT @cmclymer: 1. ""Clean"" seats in public restrooms.\n2. Pop-up ads for payday loans.\n3. Generous Nigerian princes w/ lucrative business offe\xe2\x80\xa6'"
939443785754390528,2017-12-09 10:37:07,b'@MarcusBornstell @SteinbachErika Illegal sind die wenigsten Einwandernden. Bitte glauben Sie doch nicht so einen Schei*dreck.'
939439161148366848,2017-12-09 10:18:44,b'@lupus1101 @nicole_schoen Gute Besserung dir!'
939438133204144128,2017-12-09 10:14:39,"b""@lizvlx @eberhunter1 @_schwarzeKatze Ich bin mit Leuten befreundet, die rechts sind. Is eh nett, aber sobald's um P\xe2\x80\xa6 https://t.co/MgXmFoUFAm"""
939275780386942976,2017-12-08 23:29:31,b'RT @SenSanders: Buried in the Republican tax plan are hidden provisions designed to stick it to the poor and working class while the rich a\xe2\x80\xa6'
939275583191691264,2017-12-08 23:28:44,b'@tobias_herrmann A\xf0\x9f\x98\x82'
939275151098728449,2017-12-08 23:27:01,"b'RT @NChiggi: Am Sonntag ist 1. Advent.\nDeshalb hier folgende Information:\n\nDas Bild mit den brennenden Herdplatten ist nicht lustig, war es\xe2\x80\xa6'"
939273424043696128,2017-12-08 23:20:09,"b""RT @SenSanders: We have a president who acknowledged on tape that he assaulted women. I would hope that he pays attention to what's going o\xe2\x80\xa6"""
