id,created_at,text
940089940108492800,2017-12-11 05:24:42,b'@CanopyDreamer @realDonaldTrump I am sure @realdonaldtrump flicked some frenulums (13 year olds) back in the day. R\xe2\x80\xa6 https://t.co/Ml1zdyUW50'
940089083992272896,2017-12-11 05:21:18,"b'@realDonaldTrump Time to resign. If the door is too narrow, suck in your gut and walk sideways. Don\xe2\x80\x99t ever come back. #loser'"
940088848649928704,2017-12-11 05:20:22,b'@eslam0107 @realDonaldTrump @therealdonaldtrump a racist sex offended pig.'
940088546345467904,2017-12-11 05:19:10,b'@CanopyDreamer @realDonaldTrump Pile of child milestors running the USA. A shame. Give them the electric chair.'
940088302933237760,2017-12-11 05:18:12,b'@usaforyoubruv @realDonaldTrump #bot'
940088250177282049,2017-12-11 05:17:59,b'@usaforyoubruv @realDonaldTrump #bot'
940088206241841152,2017-12-11 05:17:49,b'@usaforyoubruv @realDonaldTrump #bot'
940088078709833728,2017-12-11 05:17:18,b'@usaforyoubruv @realDonaldTrump Only nazis hold rally\xe2\x80\x99s. Presidents are elected. Please review Hitler and return with your thoughts.'
933973190786904065,2017-11-24 08:18:55,b'@realDonaldTrump @realDonaldTrump \n\nIt would be hilarious if they were educated and knew the racist prick you are.\xe2\x80\xa6 https://t.co/VJ1AjRmnCl'
933745126555488257,2017-11-23 17:12:40,b'@realDonaldTrump That comment was out of left field. STAY Donny'
933610334975381506,2017-11-23 08:17:04,b'@EdKrassen @IRdotnet @realDonaldTrump None or us knew'
933610260450947072,2017-11-23 08:16:46,"b""@EdKrassen @IRdotnet @realDonaldTrump He's ready to go down with the shop. Doesn't care. Will go down with a salute\xe2\x80\xa6 https://t.co/npWjOlVZaQ"""
933609284780380160,2017-11-23 08:12:53,"b'@realDonaldTrump You are the fool. Whether he chooses to thank you or not, you did your thing. Grow the hell up and act the part.'"
933609076075958272,2017-11-23 08:12:04,"b'@realDonaldTrump You do not have the right to dictate what people do. If you think you do, you are no better than\xe2\x80\xa6 https://t.co/rjB7Uc9DcS'"
933608592615378944,2017-11-23 08:10:08,b'@FLOTUS @realDonaldTrump @WhiteHouse @FLOTUS sounds like a bowel movement.'
933608189601439745,2017-11-23 08:08:32,b'@realDonaldTrump @FoxNews Nobody cares'
925987578796478465,2017-11-02 07:26:57,"b'@realDonaldTrump Agreed. If you have executive power, kill him NOW. If you don\xe2\x80\x99t, you are the PUSSY in chief. Don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/CTjdb8vf3X'"
925987178034982912,2017-11-02 07:25:21,b'@realDonaldTrump  Pussy in chief'
925180393782956032,2017-10-31 01:59:29,b'@realDonaldTrump Time for you to go. Guilty but not yet charged.  Hope you like klink. Russia says you love kink. B\xe2\x80\xa6 https://t.co/GW0SFBuKqM'
925133327832674304,2017-10-30 22:52:28,b'@realDonaldTrump Loser in chief. You are next for the cuffs. First president to be held in house arrest within the whites house.'
922316522256822277,2017-10-23 04:19:29,b'@MSCCruisesUSA @aschlemmercd @aschlemmercd what have you been up to while waiting for @MSCcruisesSA to launch seasi\xe2\x80\xa6 https://t.co/NklTzapNW0'
914993441121226753,2017-10-02 23:20:10,b'@BarackObama Miss you President @BarackObama   You are an American hero and the voice of diplomacy. Much love.'
914993064179113984,2017-10-02 23:18:40,b'@ochocelio @Stacy75017416 @Impeach_D_Trump @BarackObama Sounded like Russian AK-47s. Very distinct sound.'
914992849170702336,2017-10-02 23:17:49,"b'@BarackObama Thank you for being our commander in chief, even though you are not officially.'"
904180518488608768,2017-09-03 03:13:29,"b'@DaysLeft4Trump @realDonaldTrump Your son is odd, your wife is inappropriate, and you a a bigot. Our world be fucked'"
904136564913123328,2017-09-03 00:18:49,b'@MSCCruisesUSA @aschlemmercd Be safe. God speed'
898259865835118593,2017-08-17 19:06:55,"b'@realDonaldTrump shuts down accounts of people who voice their opinions when he does not care for them.  #shutdown , #RemoveTrump'"
898259103084040192,2017-08-17 19:03:53,b'@realDonaldTrump What did he do to the terrorists? U want him to do the same to you? Just a question. Your rhetoric\xe2\x80\xa6 https://t.co/SSs8yU3gDP'
898251166559109120,2017-08-17 18:32:21,b'@realDonaldTrump You are sick and not intact with reality. Good luck with your rally. Only others to hold rallies post-electoral was Hitler.'
898250945108332544,2017-08-17 18:31:28,b'@realDonaldTrump You are sick and not intact with reality. Good luck with your rally. Only others to hold rallies post-electoral was Hitler.'
898250556443054080,2017-08-17 18:29:56,b'@realDonaldTrump Put an end to this idiocracy. Trump is a narcissist and schizo. Check the DSM IV if you have doubt.'
898250281737109504,2017-08-17 18:28:50,"b""@realDonaldTrump Time to say enough is enough. We can't have an unmediated leader who plans to kill us all"""
898250166175649792,2017-08-17 18:28:22,b'@realDonaldTrump Time to step down. You are a danger to yourself and others. The general population would have had an involuntary psych hold'
898249988504928256,2017-08-17 18:27:40,b'@realDonaldTrump You will do nothing for Spain. You will do nothing for your own country. You have a mental illness\xe2\x80\xa6 https://t.co/eH9U2RNxtV'
898241122174210048,2017-08-17 17:52:26,b'@aschlemmercd @MSCCruisesUSA Is that the bridge of the ship. If so...cool.'
897246224541253633,2017-08-14 23:59:04,b'RT @DTrumpExposed: @realDonaldTrump Retweet if you think Congress should take the Nuclear Codes away from Trump!!'
894695891738783750,2017-08-07 23:04:57,b'@aschlemmercd @MSCCruisesUSA @MSCCruises_PR @MSC_Crociere Hi @andreachlemmer  just finished a 7 day cruise on the D\xe2\x80\xa6 https://t.co/rz5JZBIseh'
892194393368735745,2017-08-01 01:24:54,"b""@aschlemmercd You know that you had a great cruise when you get home, wake up, and put on channel 6 to watch the morning show but can't"""
887059830489350150,2017-07-17 21:21:59,b'@realDonaldTrump @USGA I think #TheRealDonaldTrump gets his jollies off via twitter. Let us vote as a democracy and\xe2\x80\xa6 https://t.co/gkGwNP9ynu'
886953225110388738,2017-07-17 14:18:22,"b'@realDonaldTrump Politics is advocating for those you serve. You sir have your own personal vendetta. Work for the people, not yourself.'"
886421344572891136,2017-07-16 03:04:52,b'@realDonaldTrump Women and money. You are pathetic.'
886360437431967744,2017-07-15 23:02:50,b'@realDonaldTrump You grab their pussies to see who is a champ?'
879453491797921796,2017-06-26 21:37:06,b'@realDonaldTrump Leave Obama alone and start dealing with your own presidency. You were elected; start acting the p\xe2\x80\xa6 https://t.co/cavF4Jkxg5'
870479936414507008,2017-06-02 03:19:24,b'RT @rafficlassiy: @itsa_talia @realDonaldTrump  https://t.co/YMCZaVQxzH'
333772720863064065,2013-05-13 02:36:32,b'@JohnMCochran congratulations on your big win from Newton Ma'
245168920531722240,2012-09-10 14:36:40,b'Headed to work after a great 3days off.  Loved the Train concert. Gotta work for the good things we want in life.'
244804537091768321,2012-09-09 14:28:44,b'RT @train: What up? Today at the fest in Boston.   @ Hatch Shell http://t.co/QgEAObL7'
244804212838502400,2012-09-09 14:27:27,b'@train great show. First time seeing you guys live. Amazing and hope you come back to Boston soon'
