id,created_at,text
940421290409721856,2017-12-12 03:21:22,b'RT @IRdotnet: President Trump Needs to be held accountable for his sexual crimes against women.  Today is that day.  #HoldTrumpAccountableD\xe2\x80\xa6'
940421247476883456,2017-12-12 03:21:12,b'RT @bjwinnerdavis: Please do not let Reality Winner fade away. She remains jailed - denied bail-pending trial. Charged with Espionage for a\xe2\x80\xa6'
940419999679897603,2017-12-12 03:16:14,"b'RT @TKVSH: They trying to use Keaton to distract y\xe2\x80\x99all from the bigger picture, Net neutrality. Stay woke.'"
940411293885968384,2017-12-12 02:41:39,b'@hypatias_lament https://t.co/JE5T0fmNGh'
940411125262364677,2017-12-12 02:40:58,"b'RT @eclecticbrotha: ""I\'m not gonna stop the pedophile from representing my state because his opponent hasn\'t said the magic words in favor\xe2\x80\xa6'"
940410632221978630,2017-12-12 02:39:01,b'RT @funder: Retweet the F out of this for Doug Jones\xe2\x80\x94it\xe2\x80\x99s a video of him delivering his closing argument to the voters of Alabama with a po\xe2\x80\xa6'
940410412692013056,2017-12-12 02:38:09,b'RT @MarchForTruth17: Every concerned American should have a plan in case Donald Trump attempts to fire Robert Mueller or otherwise interfer\xe2\x80\xa6'
940409447964344322,2017-12-12 02:34:19,"b'RT @SenWarren: In this bogus report, @USTreasury was supposed to use its economic models to project how the GOP tax plan would affect econo\xe2\x80\xa6'"
940408115748589569,2017-12-12 02:29:01,b'RT @JordanUhl: The President of the United States and the @gop are actively supporting a candidate who does not want black people or women\xe2\x80\xa6'
940407926266777600,2017-12-12 02:28:16,"b'RT @TheGoodGodAbove: Dear Alabamians,\n\nIf you call yourself a follower of Christ, then you already know the right thing to do tomorrow. Tho\xe2\x80\xa6'"
940407187326865418,2017-12-12 02:25:20,"b""RT @Cam_Mixer: While everyone is tweeting about Keaton, I just want to remind y'all that Ashawnty Davis &amp; Rosalie Avila just committed suic\xe2\x80\xa6"""
940406864206016512,2017-12-12 02:24:02,"b'RT @1IronMan2018: Another guy who needs a copy of the Constitution:\n\nThe US\xc2\xa0Constitution in Amendment XV, ratified 1870: ""The right of citi\xe2\x80\xa6'"
