id,created_at,text
940073111927406592,2017-12-11 04:17:50,"b'@realDonaldTrump I\xe2\x80\x99m proud of you,Mr President. I have through a great of presidents and you sir are one of the best. Thank you'"
900142453365366784,2017-08-22 23:47:39,"b'@m_harprr I know you are still in pain over your loss,we love you'"
896086262032982016,2017-08-11 19:09:48,"b'@mytracyann @Impeach_D_Trump @realDonaldTrump Just such a stupid thing to say, did you tell the last president'"
871431322585120768,2017-06-04 18:19:52,"b""@deseraestage @realDonaldTrump Look who's talking"""
867072195788513280,2017-05-23 17:38:15,"b'RT @FoxNews: MULVANEY: ""We stand shoulder-to-shoulder with our allies and our friends in the U.K. &amp; have the victims and their families in\xe2\x80\xa6'"
867072061872721920,2017-05-23 17:37:43,"b'RT @seanhannity: Please Retweet this link. Every single Trump/Russia conspiracy report by @CNN and @NBC told with ""Zero evidence! https://t\xe2\x80\xa6'"
867071671542460417,2017-05-23 17:36:10,b'I believe this man is one of greatest presidents in two decades. We all need to show him our support https://t.co/rHyksgvhjF'
867063381391536128,2017-05-23 17:03:14,"b""@bearandbugpapa @SarahPalinUSA You are absolutely right, it's time for all our sakes"""
854811167671414789,2017-04-19 21:37:18,b'@Rearden_Metals @draglikepull Agreed'
841298946605645825,2017-03-13 14:44:34,b'@JoeNBC a man of true vision'
837366778812641280,2017-03-02 18:19:32,b'@realDonaldTrump thank you sir'
834061213730537472,2017-02-21 15:24:24,"b""@FoxNews  it's about time to stop this foolishness, President Trump is doing a great job, never has a president been so abused by the media."""
834056313382531072,2017-02-21 15:04:55,b'@GetWisdomDude I believe he can make America great again'
833328761483493377,2017-02-19 14:53:53,"b""@FoxNews @RandPaul it's time to get some of these democratic people out of office"""
833327161507463169,2017-02-19 14:47:32,b'@FoxNews @POTUS agreed'
833324257832792064,2017-02-19 14:36:00,"b""@FoxNews @POTUS I think he's great"""
832633684633088000,2017-02-17 16:51:54,"b'@FoxNews @BernardGoldberg @POTUS  No that is not his style, I believe Trump will do a lot of good for our country'"
832632616809590790,2017-02-17 16:47:40,"b'@BabyAnimalPics poor baby, what terrible pain.'"
832627671158968320,2017-02-17 16:28:00,"b'@FoxNews that is just stupid, what next . We all have to work and pay for what we want. Nothing is free'"
832626547085307906,2017-02-17 16:23:32,b'@BBAnimals there will always be compassion in the hearts of man'
827893476440281089,2017-02-04 14:56:00,"b""Today is a beautiful day enjoy every minute of it. We have no idea what tomorrow will bring, I'm thankful for my family and friends,"""
