id,created_at,text
940377306287161344,2017-12-12 00:26:35,"b""@LetinaKelly1 @jeffmaysh Is that your hubby? Why haven't you blocked me yet Sweetie?"""
940377029861523456,2017-12-12 00:25:29,b'@StephGrisham45 @LetinaKelly1 @FLOTUS Too funny'
940376938471768064,2017-12-12 00:25:08,b'@LetinaKelly1 @goodhousemag A sucker born every minute.'
940376676378189824,2017-12-12 00:24:05,b'@LetinaKelly1 @TWDAMCTWD Sad life getting sick over a TV show Sweetie.'
940376389651333120,2017-12-12 00:22:57,"b'@LetinaKelly1 @tattoosandbones @realDonaldTrump You replied only to Trump, say you are sad at what he wrote. Now yo\xe2\x80\xa6 https://t.co/ycy2pFJHcx'"
940375393302753280,2017-12-12 00:18:59,"b""@baptism_fire @MyriamWinner @realDonaldTrump I hope it was the start of many strokes. I cant believe I'm wishing th\xe2\x80\xa6 https://t.co/xwysqOW8xX"""
940374709580922881,2017-12-12 00:16:16,b'@DallasFaninIL @realDonaldTrump LOL'
940145833403547648,2017-12-11 09:06:48,b'@HolyUSASpirit @realDonaldTrump Hope that Jesus dude takes him soon.'
940115598222147584,2017-12-11 07:06:39,b'@TheRynheart @realDonaldTrump Ewwwww'
940115518903656449,2017-12-11 07:06:20,b'@realDonaldTrump I hate you dotard.'
940115342977728512,2017-12-11 07:05:38,"b'@realDonaldTrump Merry fucking Xmas. And happy holidays, whatever you celebrate.'"
940087766272024576,2017-12-11 05:16:04,b'@FlitterMargirl @KazmierskiR @realDonaldTrump Its reported. But most decent people think its horrendous.'
940087549975859200,2017-12-11 05:15:12,b'@realDonaldTrump Really smart.......thats funny.'
940076818341675010,2017-12-11 04:32:33,b'@LorettaFrasqui2 Empty life to tweet about the voice between preaching.'
940076316933492737,2017-12-11 04:30:34,"b""@LorettaFrasqui2 @Laighe @p1ssedoffbitch @IvankaTrump And you obviously haven't had major medical expenses.  And by\xe2\x80\xa6 https://t.co/i9GFxnw23f"""
940075748177494017,2017-12-11 04:28:18,b'@LorettaFrasqui2 @p1ssedoffbitch @IvankaTrump I had to use 30 years of savings due to illness. Was i stupid and laz\xe2\x80\xa6 https://t.co/1ZjpYCdCkj'
940074625450393600,2017-12-11 04:23:51,b'@IvankaTrump Stay in the kitchen.'
940074306599501824,2017-12-11 04:22:35,"b""@MrsVanessaTrump Enjoy while you can. Daddy's ready for full time care."""
940074054056165376,2017-12-11 04:21:34,"b'@MrsVanessaTrump @LaraLeaTrump @EricTrump I pity that child being born into such a heartless, low class family. The\xe2\x80\xa6 https://t.co/4AGvfMF4zB'"
940073400508170240,2017-12-11 04:18:59,"b""@HornIT @Glammytami @FLOTUS @WhiteHouse Are you an infant nutritionist? It doesn't work fine for every baby. I gues\xe2\x80\xa6 https://t.co/KE0Zkbpfjs"""
940072446157135872,2017-12-11 04:15:11,b'@LoveGodUSA @CathyRappaSab @FLOTUS @WhiteHouse My child? Thats an unusual insult miss love.'
940072177176428547,2017-12-11 04:14:07,b'@FLOTUS @MrsVanessaTrump @WhiteHouse Cute but a waste of energy.'
940070787964211201,2017-12-11 04:08:36,b'@EricTrump @MrsVanessaTrump Why Eric?'
940063727725850624,2017-12-11 03:40:32,b'@realDonaldTrump Shut up old man.'
940057669863317506,2017-12-11 03:16:28,b'@mike4354 @realDonaldTrump Are you a coal miner?'
940057547398004737,2017-12-11 03:15:59,b'@mike4354 @realDonaldTrump Yes....defeat Trump'
940057450828279809,2017-12-11 03:15:36,b'@mike4354 @realDonaldTrump Wow. Not very nice of you to tell them they have not veen doing a great job.'
940057090436898817,2017-12-11 03:14:10,b'@mike4354 @realDonaldTrump Thanks for the list of his bad decisions.'
940014179536080902,2017-12-11 00:23:39,b'@LetinaKelly1 @tattoosandbones @realDonaldTrump Its actually a right.'
940013397927534592,2017-12-11 00:20:33,"b'@realDonaldTrump Good for you, as long as you know you are not speaking for everyone.'"
939951681344749568,2017-12-10 20:15:18,b'@Samconc41347779 @Perch313 As stupid as you.'
939951098252496896,2017-12-10 20:12:59,"b'@Perch313 Sad it took BLM to get you to pay attention to your family on Sundays. At leat they accomplished something, huh?'"
939950274159849472,2017-12-10 20:09:43,b'@Perch313 @realDonaldTrump I have no hate . Just the opposite.  I got a laugh seeing you riled up. \xf0\x9f\x98\x83Now out to enjo\xe2\x80\xa6 https://t.co/SUIOzD9koR'
939922136637911041,2017-12-10 18:17:54,b'@Perch313 @realDonaldTrump A meme is not a reply. Fuck your ny'
939648256862183424,2017-12-10 00:09:36,b'@mlsoppick @plazmaorb @MsMoses1763 @FLOTUS @WhiteHouse What others did you try?'
939646884326424576,2017-12-10 00:04:09,b'@realDonaldTrump @daveweigel Why do you require constant praise?'
939646189292568576,2017-12-10 00:01:23,b'@Perch313 @realDonaldTrump Damn god for DT.'
939580583990018048,2017-12-09 19:40:42,b'@Wyze_Wildfire @jonesbpo @rmabadullah @realDonaldTrump So you admit you are on drugs? Makes sense.'
938666740090789888,2017-12-07 07:09:25,b'@Leannsm19342378 Thank you for being civil.  Its rare these days. \xf0\x9f\xa5\x82'
938501938135498752,2017-12-06 20:14:33,b'@FirstFamilyFan @Bevimage @Natalie25439297 @realDonaldTrump @LrMekosh Then go back to your planet Enoch. You are an\xe2\x80\xa6 https://t.co/G8Q73w5uq1'
938501306590752768,2017-12-06 20:12:02,"b'@FirstFamilyFan @4US_Workers Why are you leading people to more god jokes? But thanks, some are funny enought to sh\xe2\x80\xa6 https://t.co/QZNiLWFTfQ'"
938500300498812928,2017-12-06 20:08:02,b'@FirstFamilyFan People like you are sickening. Happy holidays! \xe2\x9c\xa1\xf0\x9f\x95\x8e'
938498653454417920,2017-12-06 20:01:30,b'@FirstFamilyFan @TheRealAuntBird @realDonaldTrump @LrMekosh Your mommy must be proud.  Nobody but your employer cares about your degrees.'
938496899266502656,2017-12-06 19:54:31,b'@realDonaldTrump Wow. Most rational tweet I have seen from you. Who wrote it for you?'
938272557798535168,2017-12-06 05:03:04,b'@SandyJohn67 @Delaypat @peplamb So god gives cancer to kids that sin by telling a lie? Nice. Why arent you thanking\xe2\x80\xa6 https://t.co/sbmczWWia5'
938271116778381313,2017-12-06 04:57:21,"b""@realDonaldTrump You are a disgrace, taking away public land. God damn fucking thief. To bad you didn't get lost in\xe2\x80\xa6 https://t.co/K08aQksCRZ"""
938268463612624897,2017-12-06 04:46:48,"b'@Leannsm19342378 I know what your point is, we just have different opinions. Have a nice night.'"
