id,created_at,text
940395707923443712,2017-12-12 01:39:43,"b'@SarahHuckabee @WhiteHouse @PressSecSanders @SHSanders45 @PressSec @whpresscorps ""There\'s a very big difference bet\xe2\x80\xa6 https://t.co/99lh2ykmIJ'"
940378518981980160,2017-12-12 00:31:24,b'@flakers64 @tabitharayann @AjitPaiFCC How many ISPs do you have access to? 1 maybe 2? What happens when your ISP st\xe2\x80\xa6 https://t.co/fbTFegwwVa'
940372607521636352,2017-12-12 00:07:55,b'@AjitPaiFCC https://t.co/kFBtdSrSjK'
940372350322671616,2017-12-12 00:06:54,"b'@AjitPaiFCC @FCC @FTC @MOhlhausenFTC https://t.co/kFBtdSrSjK Pai, this is what the American people think about #NetNeutrality'"
940371098893402112,2017-12-12 00:01:55,"b""@AjitPaiFCC @FCC Good thing your killing #NetNeutrality &amp; handing off oversight to the @FTC now you won't have to w\xe2\x80\xa6 https://t.co/WKsKcPyNLu"""
940370405302329344,2017-12-11 23:59:10,"b'@AjitPaiFCC @TheMediaInst @hankhunt2 @deray Cool story bro, you deflecting from the fact that you are killing\xe2\x80\xa6 https://t.co/sOjvcmH3m5'"
940278583850700800,2017-12-11 17:54:18,"b'@ElleMaria2 @ChrisLYanksFan @ShafPatel @realDonaldTrump Bangladesh, but close.'"
940276831009234944,2017-12-11 17:47:20,"b""@kel14bt @ChrisLYanksFan @ShafPatel @realDonaldTrump Kellie, you've got some homework to do, more than just Muslims\xe2\x80\xa6 https://t.co/9twt2CV2Rv"""
940270852746108928,2017-12-11 17:23:35,"b'@SenJeffMerkley What, if anything are you planning to do in response to the upcoming FCC decision on #NetNeutrality\xe2\x80\xa6 https://t.co/AXdrfwIv0x'"
940234728162000897,2017-12-11 15:00:02,"b""@tesstotally @MegynTODAY Yea! You tell 'em! Presidents deserve better than being held accountable for their actions\xe2\x80\xa6 https://t.co/xuELgHC8nv"""
940223305797079040,2017-12-11 14:14:39,"b'@realDonaldTrump Constantly attacking the press of a constitutional republic is detrimental to our democracy, destr\xe2\x80\xa6 https://t.co/aKbMNpJHsL'"
940080892004859905,2017-12-11 04:48:45,b'@realDonaldTrump @POTUS @CNN tweeting this from your private account is inappropriate. Retweeting from the @POTUS a\xe2\x80\xa6 https://t.co/bQ5hdNy27X'
940078794731241472,2017-12-11 04:40:25,b'@realDonaldTrump @POTUS tweeting this from your private account is inappropriate. Retweeting from the @POTUS accoun\xe2\x80\xa6 https://t.co/BC2TjnjMpV'
939943541656059904,2017-12-10 19:42:58,b'@KickinBrass1 @MooreSenate  https://t.co/WuNc14ulQZ'
939943378283724800,2017-12-10 19:42:19,b'@MooreSenate Hey there judge! Did you know that @SenShelby said that #AlabamaSenateRace deserves someone better tha\xe2\x80\xa6 https://t.co/lNNlVF7D0D'
939776467642204160,2017-12-10 08:39:04,"b""@realDonaldTrump @daveweigel @washingtonpost I don't care about the size of your crowds. I care about having a func\xe2\x80\xa6 https://t.co/nWjVa6gGkz"""
939010525333045248,2017-12-08 05:55:29,"b""@realDonaldTrump You won, Hillary lost. Clinton is not president. You are. I don't give a rat's ass what other pres\xe2\x80\xa6 https://t.co/kaDKkRVGXB"""
938996395410841607,2017-12-08 04:59:21,b'@_NealBaker @FoxNews @TheSun I found a mistake in the article: https://t.co/h4fq8qdCXt the first sentence indicates\xe2\x80\xa6 https://t.co/aG5v17r9M3'
938940250251857921,2017-12-08 01:16:14,"b'@Allthatjewelry @pam_rubitsky @WayneDupreeShow You totally missed my point and from what I can tell, you totally mi\xe2\x80\xa6 https://t.co/3JtreGNaFy'"
938926165921636352,2017-12-08 00:20:17,"b'@Allthatjewelry @pam_rubitsky @WayneDupreeShow Mathew 22:39, Romans 3:23, John 8:7, John 1:6, Luke 6:27, John 3:15\xe2\x80\xa6 https://t.co/fsSdkYLzzg'"
938875865928105984,2017-12-07 21:00:24,"b'@boohoo_cshelp I need to contact someone, via phone preferably. Someone has used my bank card info for a fraudulent\xe2\x80\xa6 https://t.co/fAgxEHoqrz'"
