id,created_at,text
940094206399234048,2017-12-11 05:41:39,b'@realDonaldTrump I believe that mandatory patriotism is fascism.'
402618652974792704,2013-11-19 02:05:41,b'http://t.co/ehMX0YtxS3'
401893410451095553,2013-11-17 02:03:50,b'http://t.co/pF7vDzKB5R'
401865099175919616,2013-11-17 00:11:20,b'http://t.co/S9ZnBQYLvl'
365671611052998657,2013-08-09 03:11:20,b'congrats @brianbanksfree good luck!'
328885753557962752,2013-04-29 14:57:28,b'@jmasongere Poker is an honorable game of skill that many are proud to play. Please oppose misguided efforts to shut down #poker rooms!'
328880211842170880,2013-04-29 14:35:27,b'@GovKitz Poker is an honorable game of skill that many are proud to play. Please oppose misguided efforts to shut down #poker rooms!'
2013814095,2009-06-03 06:39:06,b'quack! my car broke down - again! weak. anyone got a decent runner for under $1500?'
1998484021,2009-06-02 01:37:32,"b'RT @TheEngineer2008: PPA at the World Series of Poker, Registering Voters and Sending Letters to Congress http://digg.com/d1sJRa'"
1996411064,2009-06-01 22:02:22,"b'checkout my radio program tonight at 3a PST. kboo.fm, Portland General Eclectic'"
1986728483,2009-06-01 02:14:08,"b'on a hot streak playing poker. follow me at officialpokerrankings.com, my name is Reech and I play at Full Tilt'"
1981529826,2009-05-31 16:20:51,"b'enjoying a cup of coffee after working 16 hours at two jobs yesterday. 10% unemployment, bah!'"
1976322445,2009-05-31 00:04:32,"b'here I am , tweeting.'"
