id,created_at,text
940303156486946816,2017-12-11 19:31:57,"b'Man Who Saved Rabbit From Thomas Fire, Captured Hearts Comes Forward https://t.co/vPa9wddVIm via @nbcla The most he\xe2\x80\xa6 https://t.co/5nEeU5o1rV'"
940301733812506624,2017-12-11 19:26:17,"b""President Trump 'Resented' Ivanka's Criticism Of Roy Moore in Alabama Senate Race https://t.co/jA0uPJGrCZ It seems\xe2\x80\xa6 https://t.co/op4bDWWQLR"""
940297887384092673,2017-12-11 19:11:00,b'@Newsweek Most of them think the earth is only a few thousand years old too.'
940297610522267648,2017-12-11 19:09:54,b'@Reuters Somewhere I hope people are finally ditching their crocs too.'
940294750883627009,2017-12-11 18:58:33,"b""@MELODyINTL I had one who regifted us a box of moldy figs he'd forgotten were in his desk drawer for a few weeks.\xe2\x80\xa6 https://t.co/lrWDY0ZFoB"""
940293918599495681,2017-12-11 18:55:14,"b""Mario Batali takes leave of absence, apologizes to those 'I have mistreated and hurt' https://t.co/cTF2juFQRH It's\xe2\x80\xa6 https://t.co/lYaKwXKRNq"""
940112197031575552,2017-12-11 06:53:08,"b""Does your guy have the 'man flu'? Scientist says it's no joke https://t.co/UmM6kPB3S8 So women should prepare separ\xe2\x80\xa6 https://t.co/iaKg3zG0aQ"""
940064156643758082,2017-12-11 03:42:15,b'Inspired to start second career as filmmaker at age 50 https://t.co/x3859a70dE via @Community Advocate If you haven\xe2\x80\xa6 https://t.co/IKeHauTs3a'
940046592756690944,2017-12-11 02:32:27,b'@washingtonpost Dear #France:  I love you.  I really do.  You have the best b.s. detector in the world and suffer n\xe2\x80\xa6 https://t.co/0B56uMk5vo'
940046269845606400,2017-12-11 02:31:10,"b""@IndivisibleOK @taxmarch Come on, Oklahoma!  We need you to put your state's future ahead of party partisanship.  A\xe2\x80\xa6 https://t.co/ABkv0C4JY3"""
940045783415472128,2017-12-11 02:29:14,b'@DavidBegnaud @ChelseaClinton Meanwhile #realDonaldTrump is obsessing over his attendance numbers in Pensacola and\xe2\x80\xa6 https://t.co/Q9SmBX6cTG'
940045571938648065,2017-12-11 02:28:24,b'@Allstate I live here in the heart of where the fires were most devastating.  If you or any other insurance agency\xe2\x80\xa6 https://t.co/oE8LFfDelS'
940044775092133888,2017-12-11 02:25:14,"b""@SASsoftware You do know that there are studies which show that digital marketing isn't the end begotten all of marketing, right?"""
940044541016424451,2017-12-11 02:24:18,"b'@realDonaldTrump @ABC Release your taxes, blowhard.'"
940044456790704130,2017-12-11 02:23:58,"b""@PressSec @realDonaldTrump Now there's some genuine Fake News!"""
940044276724932608,2017-12-11 02:23:15,"b""@realDonaldTrump You wouldn't know greatness if it fell on you like a meteor."""
940043992296648705,2017-12-11 02:22:07,b'@Scavino45 @realDonaldTrump Every nation that ever built a wall between its neighbors learned soon enough how fooli\xe2\x80\xa6 https://t.co/iAzlmeHRVo'
940043815720599558,2017-12-11 02:21:25,b'@realDonaldTrump America was always great.  Save your racism for your friends.'
940043546056261634,2017-12-11 02:20:21,"b""@realDonaldTrump Many of us don't believe in God and we are protected in our religious freedom in this country.  Yo\xe2\x80\xa6 https://t.co/i8oqa4ZESb"""
940043271815888897,2017-12-11 02:19:15,"b""@realDonaldTrump If only ICE covered pedophilia - they could've arrested many at that rally."""
940043146091626496,2017-12-11 02:18:45,"b""@realDonaldTrump What's the matter, Trumpty?  Did CNN not ask you to the prom or something?"""
940042993133694976,2017-12-11 02:18:09,b'@realDonaldTrump You opening a Civil Rights Museum is like Hugh Hefner leading a bible study class.'
