id,created_at,text
940257916489293826,2017-12-11 16:32:11,b'@realDonaldTrump @nytimes Maybe watch a little more TV and this time pay attention. There has been a bungled terror\xe2\x80\xa6 https://t.co/sJDSPJCKLg'
940246679126794241,2017-12-11 15:47:31,b'RT @geoff_taylor: @realDonaldTrump Finger on the pulse as usual Donny...sad!! \xf0\x9f\x98\x81 #MAGA #TrumpRussia #PutinsPuppet #USSA #WalkingDead https:/\xe2\x80\xa6'
940243890296315904,2017-12-11 15:36:26,b'RT @OhNoSheTwitnt: My favorite part in the Bible is when Jesus says that voting for a child molester who speaks fondly of slavery is better\xe2\x80\xa6'
940243490864328704,2017-12-11 15:34:51,b'@tpovio @NancyAFrench @realDonaldTrump By then he\xe2\x80\x99ll be a drooling fleshbag in a wheelchair who doesn\xe2\x80\x99t recognize h\xe2\x80\xa6 https://t.co/TAe2tETmiI'
940238574817042438,2017-12-11 15:15:19,b'@sanlynet @taylor_hollande They reported it while your president whined about Don Lemon not liking him.'
940233148654374915,2017-12-11 14:53:45,b'@realDonaldTrump @nytimes A bomb exploded in the NY Port of Authority this morning. An arrest has been made. If you\xe2\x80\xa6 https://t.co/noVarpawN9'
940076607091359744,2017-12-11 04:31:43,"b'RT @SarahKSilverman: Dear Alabama,\nPlease watch this 1 min interview before you decide who you are going to be on Tuesday. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/\xe2\x80\xa6'"
940076447288369158,2017-12-11 04:31:05,b'@SarahKSilverman That is fucking scary... and it rolls right off his tongue as he laughs in the reporters face.'
940075800119750657,2017-12-11 04:28:31,"b'@SarahKSilverman Roy Moore says life was better when we had slavery, so....'"
940074730446512130,2017-12-11 04:24:16,"b'RT @kurteichenwald: I know it\'s accepted now, but I took a step back &amp; thought, ""How would I have viewed this 2 years ago?"" Mind blown.\n\nTh\xe2\x80\xa6'"
940073838242553856,2017-12-11 04:20:43,b'@realDonaldTrump @daveweigel @washingtonpost You\xe2\x80\x99re in the photo.'
939565935635107841,2017-12-09 18:42:30,b'RT @repjohnlewis: President Trump\xe2\x80\x99s attendance and his hurtful policies are an insult to the people portrayed in this civil rights museum.\xe2\x80\xa6'
939565776419344384,2017-12-09 18:41:52,"b'RT @jilevin: ***BOYCOTT HANNITY!***\n\nDear @JohnDeere,\n\nPedophilia is not okay!  Why are you okay with advertising on @SeanHannity?\n\n#NoMoor\xe2\x80\xa6'"
939562902549401605,2017-12-09 18:30:26,b'@LisaAnnMoses1 @PeartVerma @nmcorvino @stewonthis1 @FLOTUS @childrenshealth Oh haha. Michelle is BIG? 36/28/39. Tha\xe2\x80\xa6 https://t.co/t1YukmWmqS'
939561943500840960,2017-12-09 18:26:38,b'@LisaAnnMoses1 @PeartVerma @nmcorvino @stewonthis1 @FLOTUS @childrenshealth That sentence is unintelligible. Must b\xe2\x80\xa6 https://t.co/jogZD5y0Yy'
939561582853541888,2017-12-09 18:25:12,b'@LisaAnnMoses1 @JeanWalton @nmcorvino @stewonthis1 @FLOTUS @childrenshealth @MichelleObama Because people like you\xe2\x80\xa6 https://t.co/OzuWIhjw6A'
939561312409063425,2017-12-09 18:24:07,b'@LisaAnnMoses1 @nmcorvino @stewonthis1 @FLOTUS @childrenshealth Bot with no friends thinks real food is  no food.'
