id,created_at,text
940241537287540736,2017-12-11 15:27:05,"b""@realDonaldTrump @nytimes Pretty dumb to say you don't watch TV but have an opinion on who you think the dumbest pe\xe2\x80\xa6 https://t.co/ygGDwedsL5"""
940087470028242944,2017-12-11 05:14:53,"b'@realDonaldTrump Every person of color, every woman, and every young person should get out, vote, and stomp the shi\xe2\x80\xa6 https://t.co/ZkU21JCv7C'"
940086961758281728,2017-12-11 05:12:52,"b'Every person of color, every woman, and every young person should get out, vote, and stomp the shit out of this man\xe2\x80\xa6 https://t.co/W6XpeIGsRW'"
939946808410861569,2017-12-10 19:55:57,"b'RT @PrisonPsychRN: Help Bring Landon Home!  If you can, please contribute. \n If you cannot, please retweet! https://t.co/WXG7wJVTYE'"
939944670225891330,2017-12-10 19:47:27,b'@ammunitiondepot and @wisefoodstorage are giving away over $800 in prizes! Click to enter https://t.co/y2h0x6dOMG'
939613442511724544,2017-12-09 21:51:16,"b'@realDonaldTrump ""Very big words... very big phrases"" thanks to a speech writer apparently.  Great speeches aren\'t\xe2\x80\xa6 https://t.co/qfbPKGd3jW'"
939369921787678721,2017-12-09 05:43:36,b'@realDonaldTrump Ok here goes: Stop messing with the environment. Recognize that: Women are just as important and w\xe2\x80\xa6 https://t.co/YhgVLTICpv'
939153036202725376,2017-12-08 15:21:47,"b'@realDonaldTrump YOU and the GOP are selling your ""Christian"" souls to the devil.  You overlook a grown man who abu\xe2\x80\xa6 https://t.co/0HCeyIZ34V'"
938788287023583232,2017-12-07 15:12:24,"b""@realDonaldTrump Please don't start believing you came up with that slogan."""
938690827739688960,2017-12-07 08:45:08,b'@ammunitiondepot and @wisefoodstorage are giving away over $800 in prizes! Click to enter https://t.co/y2h0x6dOMG'
938625157375119365,2017-12-07 04:24:10,"b""@PaulCBrunson @realDonaldTrump He's been drinking cheap booze and taking the ladies to the movies."""
938566961243541505,2017-12-07 00:32:55,"b""@realDonaldTrump We're trying.... Muller is being detailed.  Can't wait to see what he comes up with regarding your personal finances!!"""
938566529922236417,2017-12-07 00:31:13,"b'@peplamb While I do love God, when GW was president, doctors were still bleeding people to cure disease.....  Progress counts'"
938562619786620929,2017-12-07 00:15:40,"b""@realDonaldTrump How is this ANY of our business? You didn't do this for Israel, or any sense of Christianity. I do\xe2\x80\xa6 https://t.co/hN3byqwpbu"""
938148495671906304,2017-12-05 20:50:05,b'@realDonaldTrump The gutting of our national pride continues......'
937810706329755648,2017-12-04 22:27:50,"b'@realDonaldTrump So you admit there is the stock market, and then there is us... the average Joe, struggling to stay afloat.'"
936996748165337088,2017-12-02 16:33:27,"b'Of the people, by the people, and for the people has officially died.  McConnell To Dem Senator: No One Is Allowed\xe2\x80\xa6 https://t.co/XePI4VKF71'"
936981756787355649,2017-12-02 15:33:53,"b'@MooreSenate @jimmykimmel And I was born a southerner, and you @MooreSenate are the creepy uncle no one wants to visit.'"
936981027217661952,2017-12-02 15:30:59,b'@MooreSenate Sounds legit @jimmykimmel Just make sure you leave any children at home.'
936980566670544896,2017-12-02 15:29:10,b'@MooreSenate Day 17 of you refusing to testify under oath.....'
936943201532956677,2017-12-02 13:00:41,"b'@realDonaldTrump Of the people, by the people, and for the people, has now officially died.'"
936722353207300097,2017-12-01 22:23:07,b'@realDonaldTrump Cough...cough...BULLSHIT... cough.....'
936718807804104704,2017-12-01 22:09:01,b'@realDonaldTrump Respected by whom?  We are now a laughingstock in the world thanks to you.  Even our closest ally\xe2\x80\xa6 https://t.co/CaJKN4Sf76'
936229483560013825,2017-11-30 13:44:37,b'@realDonaldTrump The only people benefiting from the market right now are people who can afford to take the loss wh\xe2\x80\xa6 https://t.co/sY7RrIXioV'
936216390012473344,2017-11-30 12:52:36,b'@realDonaldTrump Just stop.'
935818141535490048,2017-11-29 10:30:06,"b""@realDonaldTrump After North Korea missile launch, it's more important than ever to... act like a grown up and stop\xe2\x80\xa6 https://t.co/pP1mrFKagZ"""
935579306704756736,2017-11-28 18:41:03,"b'@realDonaldTrump Oops.... Guess Chuck and Nancy couldn\'t see their way clear to meet with the ""president"" since the\xe2\x80\xa6 https://t.co/WOAAIqje4i'"
934638522807570432,2017-11-26 04:22:43,b'BOOM https://t.co/rmdc8fBPll'
933355373423136768,2017-11-22 15:23:56,b'@realDonaldTrump Let. This. Go. You are acting like a 2 year old.'
932995557664133121,2017-11-21 15:34:09,"b'@realDonaldTrump By horror show, do you mean your presidency?  If so, damn, I finally agree with you on something!!'"
932995126284169217,2017-11-21 15:32:26,"b'@realDonaldTrump As long as the proposed reform only benefits the wealthy, the American public IS going to be disappointed.'"
932994876941258754,2017-11-21 15:31:27,"b""@realDonaldTrump So fixated on the NFL.... because they wouldn't let you own a team? Your shortcomings are showing."""
931539595325530112,2017-11-17 15:08:41,"b""@thermolito @4everNeverTrump @realDonaldTrump You're an idjut."""
931538933766291456,2017-11-17 15:06:03,b'@realDonaldTrump The difference between you and Al Franken is that he was man enough to own up to behaving inapprop\xe2\x80\xa6 https://t.co/olTuZX1MAl'
931181658228871168,2017-11-16 15:26:22,"b'@realDonaldTrump Because as someone who works full time, owns a home, and is raising a family, this tax ""cut"" isn\'t\xe2\x80\xa6 https://t.co/5NYtcK8eCi'"
930199173483450368,2017-11-13 22:22:19,"b""@JannaWilkinso69 So you're good with pedophiles.  Good to know."""
930181669939802113,2017-11-13 21:12:46,"b""@MooreSenate @SenateMajLdr I think that in a swamp, even the swampiest of swamp critters wouldn't let you get away with pedophilia."""
930180777266032640,2017-11-13 21:09:13,b'@JannaWilkinso69 Pedophiles. They bother me. If I had to choose between a candidate who is a pedophile and someone\xe2\x80\xa6 https://t.co/LJO5QmgyVF'
930071537440391168,2017-11-13 13:55:09,b'@jjenningsUSA @ngsre @Bowler1961 @DrJenGunter @JJohnsonLaw Then you concede Moore may have (most likely did) molest a 14 year old?'
930061714669887488,2017-11-13 13:16:07,"b""@AnnCoulter I guess I can't vote for JFK.. Dang. He and Frederick Douglass were really at the top of my list!!  Hey\xe2\x80\xa6 https://t.co/73XbDrmrMo"""
930059265703899136,2017-11-13 13:06:23,"b""@ShaunKing Right along with their Kueurigs...so they are on the pedophile warpath with women AND they don't have an\xe2\x80\xa6 https://t.co/S2I2H31boJ"""
929538329447673858,2017-11-12 02:36:22,b'@realDonaldTrump I know you are but what am I?!!??!'
929537999116947456,2017-11-12 02:35:03,b'@SweetLilRedhead @GeezusChrysler @realDonaldTrump Putin must have let him get a signal in......'
929536177149022208,2017-11-12 02:27:49,b'@TornadoesBoreMe @JosephJFerrito @realDonaldTrump Damn sundowners.... just SUCKS getting OLD!'
929535086231543808,2017-11-12 02:23:29,"b""@realDonaldTrump Why is it insulting when it's accurate? Fragile egos are too dangerous to this country. I'm old. I\xe2\x80\xa6 https://t.co/AQwouCUDoU"""
929479867711844353,2017-11-11 22:44:04,b'@realDonaldTrump On the same day you choose Putin over America.... how you even fix your mouth to then praise the v\xe2\x80\xa6 https://t.co/4V38f10Iov'
929462605122625540,2017-11-11 21:35:28,b'Traitor @realDonaldTrump https://t.co/sgxzZT1Dap'
929260643999453184,2017-11-11 08:12:57,b'@danagould Find another profession. You suck at comedy.'
929259711878361088,2017-11-11 08:09:14,"b'@SpeakerRyan Just checking to see if you had posted anything in regards to Moore, but no. This is why I USED to be\xe2\x80\xa6 https://t.co/CWUbhq3daM'"
929156510852304899,2017-11-11 01:19:09,b'But  some would call BOTS fake news. @realDonaldTrump https://t.co/mhYeFpjFiF'
929147426144956421,2017-11-11 00:43:03,"b'@JackPosobiec No matter how many times you post reference and retweet anyone remotely supporting what you did, and\xe2\x80\xa6 https://t.co/o6bnZttu4d'"
929064942208274432,2017-11-10 19:15:18,b'@JackPosobiec Waiting............. How would you feel Jack?'
929064405165277186,2017-11-10 19:13:10,"b""@JackPosobiec Bullshit.  You knew that wasn't cool."""
929064144074166273,2017-11-10 19:12:07,b'@Cernovich If he had respect it would not have been posted in the first place. He just realized it was wildly unpop\xe2\x80\xa6 https://t.co/1n7HIsQqnB'
928294804408201216,2017-11-08 16:15:02,b'@AnnCoulter @realDonaldTrump Ohh I hope so.  Fuck off Ann Coulter!!'
928217400465649666,2017-11-08 11:07:28,"b""@realDonaldTrump Mr. Trump, This wasn't Gillespie's fault. This is a clear rejection of YOU, your administration, a\xe2\x80\xa6 https://t.co/8wv42HC1cN"""
928037818928107520,2017-11-07 23:13:52,"b""@forbes @realDonaldTrump this is NOT Making America Great Again!! It's making America weaker than it's ever been!!  https://t.co/VoWPBcXv2Z"""
927868563209191425,2017-11-07 12:01:19,"b""@realDonaldTrump Except this is the thing..... most of us don't make $450,000 to be considered by you and the GOP t\xe2\x80\xa6 https://t.co/UtPvarWSaY"""
927744725091782656,2017-11-07 03:49:13,b'@realDonaldTrump You do know that we know that anyone you endorse is either bat shit crazy or completely unqualifie\xe2\x80\xa6 https://t.co/h74FppZeoQ'
927397014656241665,2017-11-06 04:47:33,"b""Is this okay since they're Muslim?  I think not!  Eye-witness account of genocide of Rohingya Muslims in Myanmar https://t.co/ebNBnGVb9C"""
927377277502894080,2017-11-06 03:29:07,"b""@realDonaldTrump Buying more real estate with that swing.  Seriously don't know how you can suck so bad at golf own\xe2\x80\xa6 https://t.co/3Z2Aa7GBPw"""
