id,created_at,text
940253537728106496,2017-12-11 16:14:47,"b'@realDonaldTrump @nytimes Sort of like your administration, fake and dumbest'"
940071916378845185,2017-12-11 04:13:05,b'@realDonaldTrump @daveweigel @washingtonpost You apologize for all of your lies you prick'
940071297387716609,2017-12-11 04:10:37,b'@realDonaldTrump Fuck you'
940071067544035328,2017-12-11 04:09:42,b'@realDonaldTrump Just like the potus'
939538033346535424,2017-12-09 16:51:37,b'Giancarlo Stanton going to Yankees.  \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd\xe2\x9a\xbe\xef\xb8\x8f'
939537321682259968,2017-12-09 16:48:47,b'@BBCWorld My man!'
938865048826589185,2017-12-07 20:17:25,b'@fistopher @BBCWorld Trump apologized as well yet he\xe2\x80\x99s still in office'
938864423078387713,2017-12-07 20:14:56,b'@NicholausHensle @BBCWorld Just like Moore and trump so shove it'
938864225891618817,2017-12-07 20:14:09,b'@abewata @BBCWorld F u Abraham'
938792448997896193,2017-12-07 15:28:56,"b'@WSJ Don\xe2\x80\x99t resign, Al. If it\xe2\x80\x99s ok for Roy and trump, fuck em'"
938792103852806149,2017-12-07 15:27:34,b'@HuffPost Neither is murder'
938791721118334976,2017-12-07 15:26:02,b'@WSJ He nor daddy are lawyers.'
938790526584852480,2017-12-07 15:21:18,b'@SafetyPinDaily What a loser and joke.'
938789917995487234,2017-12-07 15:18:52,b'@BBCWorld Bullshit. Just more fuel to the fucking fire in Middle East'
938789728698142720,2017-12-07 15:18:07,"b'@WSJ @wjmcgurn If he wins, blame Alabamians'"
938789492558909440,2017-12-07 15:17:11,b'@WSJ Lock his ass up'
938789266854961152,2017-12-07 15:16:17,b'@realDonaldTrump Then resign!'
938789110306738176,2017-12-07 15:15:40,b'@realDonaldTrump @foxandfriends Go get the book\xe2\x80\x9dWar on Puerto Ricans \xe2\x80\x9c by Nelson Denis. You might learn something'
938788844144603136,2017-12-07 15:14:36,b'@realDonaldTrump Screw you!'
938192710946697216,2017-12-05 23:45:47,b'@Martamendoza718 @HuffPost  https://t.co/7HUA2mFHiR'
938192513638248449,2017-12-05 23:45:00,b'@RobBSanders @HuffPost  https://t.co/UkxGQfDaf7'
938192403248439296,2017-12-05 23:44:34,b'@HuffPost  https://t.co/UxGp6qyMVt'
938192199849840641,2017-12-05 23:43:45,b'@realDonaldTrump  https://t.co/bpAM8LFSJP'
938132715777482752,2017-12-05 19:47:23,b'@BBCWorld Retweet this..... https://t.co/o9FJS99f9p'
938132268522049537,2017-12-05 19:45:37,b'@HuffPost No shit! You must have known they were gonna fund this prick. Track record shows they\xe2\x80\x99ll always vote with\xe2\x80\xa6 https://t.co/96dJ4f4ZY7'
938131738668273664,2017-12-05 19:43:30,b'@HuffPost  https://t.co/MlWOUNHLeU'
938105685128241152,2017-12-05 17:59:59,b'@KingPoe4ever @VinniePolitan Show your two year old this https://t.co/TIjaQZG1Wb'
938105571894530050,2017-12-05 17:59:32,b'@chescott_  https://t.co/5tR3pGvr1s'
938105486989320192,2017-12-05 17:59:11,b'@slewfoot2  https://t.co/FfFKPctFvp'
938105409969311744,2017-12-05 17:58:53,b'@slewfoot2  https://t.co/q6jIpuAtcj'
938105317220593664,2017-12-05 17:58:31,b'@WhoopiGolberg https://t.co/y4cJOGUkIo'
938105236488704000,2017-12-05 17:58:12,b'@sonnyHoston https://t.co/bpNrFqcskK'
938104840017805312,2017-12-05 17:56:37,b'@sarahaines https://t.co/LzrFNIgYtM'
938104539554762752,2017-12-05 17:55:26,b'@realDonaldTrump  https://t.co/8fAVZ7MbJL'
938104215154683905,2017-12-05 17:54:08,b'@TheView @JoyBehar https://t.co/52elCP751a'
938103852540317697,2017-12-05 17:52:42,b'@TheView https://t.co/PwkFJffHNG'
938101987350138881,2017-12-05 17:45:17,b'@ShafPatel @realDonaldTrump  https://t.co/b0dAe4D9B8'
938101925404381185,2017-12-05 17:45:02,b'@wolfcryromance @realDonaldTrump  https://t.co/SWk9gDNDUj'
938101673423228928,2017-12-05 17:44:02,b'@SierraJohnson_1 @realDonaldTrump  https://t.co/401lNFIGZ5'
938101613536964608,2017-12-05 17:43:48,b'@stephanbooswah @realDonaldTrump  https://t.co/MmvSIWjxQc'
938101549351481344,2017-12-05 17:43:33,b'@xlr8bigmike @myGianLuca @realDonaldTrump @TheDemocrats @MooreSenate  https://t.co/yvkAIhpr2J'
938101484876648454,2017-12-05 17:43:17,b'@TheDemocrats https://t.co/Dakvp1DGa0'
938101423480373250,2017-12-05 17:43:03,b'@myGianLuca @realDonaldTrump @TheDemocrats @MooreSenate  https://t.co/yaYfPih6Tf'
938101382133018631,2017-12-05 17:42:53,b'@HealTheNation45 @xlr8bigmike @myGianLuca @realDonaldTrump @TheDemocrats @MooreSenate  https://t.co/CXVqIIQeat'
938101241699332096,2017-12-05 17:42:19,b'@realDonaldTrump  https://t.co/0XDlAsMLFT'
938101169049800705,2017-12-05 17:42:02,b'@realDonaldTrump https://t.co/3taaC6w5FN'
938100989495783430,2017-12-05 17:41:19,b'@NBCNews  https://t.co/LF1zPUQSdn'
938100632636084229,2017-12-05 17:39:54,b'@BBCWorld  https://t.co/6MJmqt8SxG'
938100503560499200,2017-12-05 17:39:23,b'@svdate @HuffPost  https://t.co/MFDmGwhMky'
938100350027837441,2017-12-05 17:38:47,b'@BBCWorld  https://t.co/adR2uYuQW4'
938100253420552199,2017-12-05 17:38:24,b'@WSJ  https://t.co/qFA4RgXTJY'
