id,created_at,text
940108536297558016,2017-12-11 06:38:36,"b'@realDonaldTrump As a Christian I prefer the original pledge, not the 1954 version, donnie boy . . .'"
940107311481282560,2017-12-11 06:33:44,"b""@realDonaldTrump LMAO at you poor baby, donnie boy . . . comical how you can't stand facts - such as CNN reporting\xe2\x80\xa6 https://t.co/y21ZmLUVR2"""
940106423853125633,2017-12-11 06:30:12,"b'@realDonaldTrump Special only for the rich, donny boy . . . cutting the throats of everyone else . . . and then cut\xe2\x80\xa6 https://t.co/RxqlCx7hcQ'"
940105978120323072,2017-12-11 06:28:26,"b""@LindseyGrahamSC @POTUS @realDonaldTrump So you're sold out completely, eh graham cracker . . ."""
940104973982998529,2017-12-11 06:24:26,"b'@realDonaldTrump As to your base continuing to shrink, donnie boy, here is why - https://t.co/5eUii1fcUk'"
940104312096636934,2017-12-11 06:21:48,b'@realDonaldTrump ROTFL . . . donnie boy you and your news is what is fake . . . btw - https://t.co/34uK17ReGc'
939244188327202817,2017-12-08 21:23:59,"b""@realDonaldTrump Pew Research Center has you're approval at 32%, donnie boy\n\nhttps://t.co/rMycTYVz5Z"""
939159409518931968,2017-12-08 15:47:06,"b'@LindseyGrahamSC Closing in on rubber stamp, so now you get into the diversion game, eh graham cracker . . .'"
939155904003543041,2017-12-08 15:33:10,"b""@realDonaldTrump Who do you think you're fooling except your dumb base, donnie boy . . ."""
938519791098318848,2017-12-06 21:25:29,"b'@realDonaldTrump You are responsible for every death that results from your stupidity, donnie boy . . .'"
938516892863664129,2017-12-06 21:13:58,"b'@JackKingston @realDonaldTrump Off into your fantasy world again, eh jackie . . .'"
937885268023136257,2017-12-05 03:24:07,"b'@jaketapper @politico ""I don\'t recall"" . . .'"
937849219867660288,2017-12-05 01:00:53,b'@JackKingston @DevinNunes @CNN Did ya really think that Nuny could play a game and find out what Mueller is doing .\xe2\x80\xa6 https://t.co/f942yH3s9i'
937848564495110144,2017-12-05 00:58:16,b'@JackKingston @DevinNunes @CNN LMAO at ya jackie boy . . . it is real simple - what you neglect to admit in your ga\xe2\x80\xa6 https://t.co/xaFQ2GFkjj'
937805739371921409,2017-12-04 22:08:06,"b""@CNN Why donnie boy . . . who'd a thought that a molester like yourself would support a child molester . . ."""
937805394277228544,2017-12-04 22:06:44,b'@SecretaryZinke @POTUS That is a flat out steaming pile of bull crap . . .'
937805161803735045,2017-12-04 22:05:48,b'@Interior @POTUS @SecretaryZinke That is flat out steaming pile of bull crap . . .'
