id,created_at,text
940334275530051584,2017-12-11 21:35:36,b'@JacobAWohl @realDonaldTrump @nytimes How is the weather in Moscow comrade? Have the first snows of winter arrived yet?'
940279932109905925,2017-12-11 17:59:40,"b'@realDonaldTrump @nytimes The NYT covered this story two days ago, but Morning Joe covered it right before your twe\xe2\x80\xa6 https://t.co/p5WCcrYHs6'"
940166918933270528,2017-12-11 10:30:35,b'@jeremycorbyn You are starting to sound more and more like Trump.'
940075913990979589,2017-12-11 04:28:58,b'@realDonaldTrump @daveweigel @washingtonpost The photo was not phony. When will you stop lying?'
939976136267911168,2017-12-10 21:52:29,b'@fearlessgirl66 @Steveco38009930 @beaminup @BlessedTriss @Cheyenne621955 @wwwillstand @realDonaldTrump @daveweigel\xe2\x80\xa6 https://t.co/fkh61iPxG8'
939975613624016896,2017-12-10 21:50:24,b'@beaminup @BlessedTriss @Steveco38009930 @Cheyenne621955 @wwwillstand @realDonaldTrump @daveweigel @washingtonpost\xe2\x80\xa6 https://t.co/HLdc4JGE73'
939974933890916352,2017-12-10 21:47:42,b'@realDonaldTrump @SecretaryAcosta @USDOL Racist alert!'
939974453089456128,2017-12-10 21:45:48,"b'@realDonaldTrump You have tweeted about ""crowds"" more than 250 times. By comparison, you have tweeted about poverty\xe2\x80\xa6 https://t.co/zYO2DP6kvj'"
939974058871017473,2017-12-10 21:44:14,"b'@realDonaldTrump @daveweigel You are unreal. You have tweeted about ""crowds"" more than 250 times. By comparison, yo\xe2\x80\xa6 https://t.co/foUrI3avTp'"
939973458120904704,2017-12-10 21:41:50,"b'@realDonaldTrump You have tweeted about ""crowds"" more than 250 times. By comparison, you have tweeted about poverty\xe2\x80\xa6 https://t.co/B6X0HW62tq'"
939972359724859392,2017-12-10 21:37:29,"b""@williamOsborn_ @realDonaldTrump Trump doesn't keep his promises. He's a shockingly bad communicator and a pathological liar"""
939971614422257665,2017-12-10 21:34:31,b'@realDonaldTrump You keep repeating the same old tired bullshit. Nobody is buying it any more.'
939970629712957440,2017-12-10 21:30:36,"b""@realDonaldTrump You are the biggest disseminator of 'Fake News' on the planet. You label any story critical of you\xe2\x80\xa6 https://t.co/1srwnNkL2j"""
939168674631610368,2017-12-08 16:23:55,b'@jeremycorbyn @theresa_may Embarrassingly weak post.'
939031235032104960,2017-12-08 07:17:47,b'@realDonaldTrump @WhiteHouse Will you be similarly honouring the brave Americans who gave their lives in Vietnam wh\xe2\x80\xa6 https://t.co/xDnTU5C7rq'
939030424449204224,2017-12-08 07:14:34,"b'@realDonaldTrump ""Throughout the war""? The war had already been going for 2 years when the US entered the fray in 1941.'"
939029742958739457,2017-12-08 07:11:51,b'@realDonaldTrump https://t.co/FJTcCXmxVb'
939029737917243392,2017-12-08 07:11:50,b'@realDonaldTrump Why do you do that weird thing with your hands when you are reading from autocue? Not a good look\xe2\x80\xa6 https://t.co/V1GSebgD5c'
938818915920117761,2017-12-07 17:14:06,b'@EricTrump @realDonaldTrump Enjoy your freedom while you still can.'
938818532401401862,2017-12-07 17:12:35,b'@ChuckGrassley @realDonaldTrump https://t.co/FJTcCXE9jL'
938818421768228864,2017-12-07 17:12:08,b'@ChuckGrassley @realDonaldTrump And think how many lives were saved by their waiver.'
938817464850374657,2017-12-07 17:08:20,"b""@OwenJones84 I don't question Momentum's achievement. But surely the should be judged by the same rules applied to\xe2\x80\xa6 https://t.co/tpoEQSywXx"""
938814406883991552,2017-12-07 16:56:11,"b""@OwenJones84 Surely the same rules apply to all political organisations regardless of the nature of the 'model'."""
938813804695212037,2017-12-07 16:53:48,b'@OwenJones84 Surely our national debt is big enough without adding to it? The interest on what Labour plan to borro\xe2\x80\xa6 https://t.co/F9zg3uqQfb'
938812540603289600,2017-12-07 16:48:46,b'@jeremycorbyn @PhilipHammondUK You should apologise for behaving like Trump.'
938811918550294528,2017-12-07 16:46:18,b'@Drew_Peacock01 And?'
938761284832686081,2017-12-07 13:25:06,b'@BenHabrit @jeremycorbyn So why did Trump make his announcement yesterday? https://t.co/cXsFmXmKaJ'
938761051721617408,2017-12-07 13:24:10,b'@JonBenja @LynnAmmouri @deeg25 @jeremycorbyn Who cares what the capital of acountry is? Is it really something worth spilling blood over?'
938760534069010434,2017-12-07 13:22:07,"b""@jeremycorbyn Agree on Trump, but the same could equally be said about your recognition of Hamas as 'friends'. It c\xe2\x80\xa6 https://t.co/vvbSTMhwDr"""
938759134522077185,2017-12-07 13:16:33,b'@realDonaldTrump @foxandfriends  https://t.co/ug6MBTNAWC'
938759011209564160,2017-12-07 13:16:04,b'@realDonaldTrump @foxandfriends https://t.co/FJTcCXE9jL'
938717303759429632,2017-12-07 10:30:20,b'@realDonaldTrump  https://t.co/umo15hxhEY'
938681454166409216,2017-12-07 08:07:53,"b""@realDonaldTrump Why do you keep doing that weird thing with your hands? It's not a good look for a man with tiny hands."""
938681154651279360,2017-12-07 08:06:41,b'@realDonaldTrump https://t.co/FJTcCXE9jL'
938481689738842112,2017-12-06 18:54:05,b'@realDonaldTrump Yawn...'
938345613799895040,2017-12-06 09:53:22,b'@Team_Trump45 @realDonaldTrump How is the weather in Moscow comrade? Have the first snows of winter arrived yet?'
938344897572147202,2017-12-06 09:50:31,b'@DonnaWR8 @realDonaldTrump How is the weather in Moscow? Have the first snows of winter arrived yet?'
938344199396655104,2017-12-06 09:47:45,"b""@realDonaldTrump What kind of president holds rally's????"""
938303671795896320,2017-12-06 07:06:42,b'@jeremycorbyn How will privatisation help? Have you forgotten what a rubbish nationalised rail service customers ha\xe2\x80\xa6 https://t.co/QmUcWfRInS'
937759178638217216,2017-12-04 19:03:05,"b""@American45th @thistallawkgirl @realDonaldTrump 'Content of character'? Seriously? https://t.co/sxTPZYIu0e"""
937758643348484096,2017-12-04 19:00:57,"b""@American45th @thistallawkgirl @realDonaldTrump I think you'll find that Trump was elected for the (orange) colour of his skin."""
937758268058931200,2017-12-04 18:59:28,b'@American45th @thistallawkgirl @realDonaldTrump Racist alert!'
937737904746651648,2017-12-04 17:38:33,b'@mrjamesob Brexit explained... https://t.co/ycpFaSIAq4'
937365882690592768,2017-12-03 17:00:16,"b'@mrjamesob James, that\'s the third time today that you\'ve pressed the ""batshit"" button. It doesn\'t become you.'"
937330994088239105,2017-12-03 14:41:38,"b'@clw4usa @realDonaldTrump @ABC @NBCNews @CNN @MSNBC @CBSNews @MeetThePress @MediaBuzzFNC If lying was a crime, Trum\xe2\x80\xa6 https://t.co/hNlTyQS6gg'"
937330455023706113,2017-12-03 14:39:29,"b'@FiIibuster @realDonaldTrump @ABC Perhaps you could enlighten us as to these ""many great accomplishments and milest\xe2\x80\xa6 https://t.co/mZ0Jzqgtn4'"
937330141491023872,2017-12-03 14:38:15,b'@FiIibuster @realDonaldTrump @ABC Are we talking about the same President who last week re-tweeted racist propagand\xe2\x80\xa6 https://t.co/pRMR8OG8TQ'
937329430292303873,2017-12-03 14:35:25,b'@FiIibuster @realDonaldTrump @ABC How is the weather in Moscow? Have the first snows of winter arrived yet?'
937329291607662592,2017-12-03 14:34:52,"b'@FiIibuster @realDonaldTrump @ABC ""Your favourite President""? Has alcohol been taken? Trump is the least popular president in US history.'"
937328645559017472,2017-12-03 14:32:18,b'@realDonaldTrump @ABC I think you will find that most of them are busy finding lawyers to sue you for repeatedly ly\xe2\x80\xa6 https://t.co/Nhjmfg63B6'
937292229659553792,2017-12-03 12:07:36,b'@realDonaldTrump Of course you did. You just thought you could get away with it. Karma man...it gets you every time.'
937228075963682816,2017-12-03 07:52:40,b'@campbellclaret @mrjamesob The big question is will Rees-Mogg bring his butler with him?'
937227528565133313,2017-12-03 07:50:30,b'@realDonaldTrump This is the equivalent of Adolf Hitler tweeting Jews around the world to wish them a happy Hanukkah.'
937223769109749760,2017-12-03 07:35:33,"b""@JohnCleese @mrjamesob It has been apparent for some time that the 'leader of the free world' is suffering from som\xe2\x80\xa6 https://t.co/rUjgf23fRR"""
937221853608890368,2017-12-03 07:27:57,"b""@realDonaldTrump So you, in effect, saying it was a shame you had to fire a senior government official 'just' becau\xe2\x80\xa6 https://t.co/2f4kDKBKqt"""
937221047862071296,2017-12-03 07:24:45,"b'@realDonaldTrump Many people around the world are asking how did a lying, racist misogynist with the mental age of\xe2\x80\xa6 https://t.co/T7CRqVWWY2'"
937220500169871360,2017-12-03 07:22:34,b'@realDonaldTrump  https://t.co/VnCx7J8lCm'
937219750479958016,2017-12-03 07:19:35,b'@realDonaldTrump Why are you so obsessed with Clinton? She lost. You won. That was over a year ago. Who ever heard of a bitter winner?'
937216746469117953,2017-12-03 07:07:39,"b'@realDonaldTrump ""Pled""? \xf0\x9f\x98\x82'"
936856694373486592,2017-12-02 07:16:56,b'@BreakoffBetty @snbrigham @flamethrower_30 @realDonaldTrump Trump is a self-confesses sexual predator. He admitted\xe2\x80\xa6 https://t.co/KiHHKNBsT9'
936855846151077888,2017-12-02 07:13:34,"b'@realDonaldTrump America is not ""respected again"". You have made it the laughing stock around the world.'"
936666507848880128,2017-12-01 18:41:12,"b'@realDonaldTrump The American people were not told that you are a racist, a misogynist, a self-confessed sexual pre\xe2\x80\xa6 https://t.co/wsWTuRjjIK'"
936666056428523520,2017-12-01 18:39:24,b'@realDonaldTrump Will you apologise for re-tweeting racist propaganda videos from a neo-Nazi organisation?'
936550372117811200,2017-12-01 10:59:43,b'@BenChu_ I actually hope that Trump goes ahead with his visit. The British people will greet him with demonstration\xe2\x80\xa6 https://t.co/fSHcN3p5ki'
936320556345057281,2017-11-30 19:46:31,b'@OfficeOfMike @realDonaldTrump @senorrinhatch How is the weather in Moscow? Have the first snows of winter arrived yet?'
936320380066844680,2017-11-30 19:45:49,"b""@OfficeOfMike @realDonaldTrump @senorrinhatch Who are you trying to kid? There's nothing factual about Trump's clai\xe2\x80\xa6 https://t.co/Vb9XyOtavh"""
936319804113346561,2017-11-30 19:43:31,b'@realDonaldTrump @senorrinhatch Your re-tweeting of racist propaganda from a neo-Nazi organisation is indefensible.\xe2\x80\xa6 https://t.co/cJbbkODXzL'
936264438872727554,2017-11-30 16:03:31,"b""@TravisAllen02 @SoMeMediaInc @realDonaldTrump @JoeNBC It's been obvious for some time that Trump is suffering from\xe2\x80\xa6 https://t.co/L8iRnqsXQA"""
936264181816455168,2017-11-30 16:02:30,"b""@jessicargamble @realDonaldTrump Me Tangerine Man does not do 'sources'."""
936263740319784960,2017-11-30 16:00:45,b'@realDonaldTrump Trump? Fry? Bueller? Anyone?'
936263541342040064,2017-11-30 15:59:57,"b'@realDonaldTrump As you are obviously an expert in econometric modelling, perhaps you could share with us the metho\xe2\x80\xa6 https://t.co/juDP0XcUSn'"
