id,created_at,text
940075052371812352,2017-12-11 04:25:32,b'@MidAtlantcWoman Hahaha. You pivot like a true Kelly Ann Conway!'
940073980093906944,2017-12-11 04:21:17,b'@CyndiPatriotic @SpringB90 @DuszaLukasz @realDonaldTrump You are stupid.  Smh'
940073846807261191,2017-12-11 04:20:45,"b""@DuszaLukasz @realDonaldTrump He won't give a shit about you.   Unless your wealthy."""
940073620860047360,2017-12-11 04:19:51,"b""@realDonaldTrump You are an idiot.  Ppl who have not been brainwashed know you are a liar. You don't give two shits\xe2\x80\xa6 https://t.co/GZB0fre1lz"""
940070943841337345,2017-12-11 04:09:13,"b""RT @natebain: I need someone to connect me with this child's family, please. I've been told he is from Knoxville.\n\nMr. Lewan is against bul\xe2\x80\xa6"""
940070607495995392,2017-12-11 04:07:53,"b""@JeffBrigham1 @Rosie He is evil.  Let's meet.  I have a list of evil things my friend !"""
939520421543759872,2017-12-09 15:41:38,b'@TheGreatBaldDad @Sethrogen @SIRIUSXM Hate should not have a forum!'
939520030030684160,2017-12-09 15:40:05,b'@AlVBassketball @Sethrogen @DrCrane72 @SIRIUSXM News channels are news channels and white supremacy is hate.   Big difference.'
939519491632975872,2017-12-09 15:37:56,b'@prcoachcollins @Sethrogen @SIRIUSXM Trump is also friends with Weinstein.  So what.....'
939516927596224512,2017-12-09 15:27:45,b'@jennasdad73 @BreitbartNews Winter is coming ....'
939389764859461632,2017-12-09 07:02:27,"b""@JeffBrigham1 @cher @Rosie Like he didn't.  Facts are facts regardless if he lies.  Facts are facts."""
939284868906622976,2017-12-09 00:05:38,b'@altonbrown Cook him some rabbit?'
939284725704769536,2017-12-09 00:05:04,b'@realDonaldTrump @SecretaryAcosta @USDOL Ty Obama!!!'
939122622981378049,2017-12-08 13:20:56,b'@JohnMcGarvey4 Little by little.......'
939118151626784768,2017-12-08 13:03:09,b'RT @tonyposnanski: RT if you have absolutely no desire to ever watch Hannity...let alone Tomi in Hannity. https://t.co/yeItqBIVby'
939116515143626752,2017-12-08 12:56:39,b'@ruebehn Snow? In Texas?'
