id,created_at,text
940086239423631361,2017-12-11 05:10:00,b'@realDonaldTrump @CNN Where is your scolding of Fox News for their Fake news that they had to retract?'
940085782705926144,2017-12-11 05:08:11,b'@realDonaldTrump No companies are coming back into America. The economy is because Obama cleaned up the mess Bush made.'
940085463074795520,2017-12-11 05:06:54,b'@realDonaldTrump Liar. The only retraction came from Fox News.'
940063491175497728,2017-12-11 03:39:36,b'@Eagles_Fan_1977 @Rypien1191 @AdamSchefter I would say you are right there with worst fan base idiot.'
938508341072015360,2017-12-06 20:39:59,b'@WIPMiddayShow Relax people. We aren\xe2\x80\x99t going to win them all.'
937736076931813377,2017-12-04 17:31:17,"b""@EaglesInsider @Eagles We aren't going to win every game! Remember, Seattle has 4 losses. Our offense has been slop\xe2\x80\xa6 https://t.co/aMWEp5XlE4"""
937735571685953536,2017-12-04 17:29:17,b'@realDonaldTrump @foxandfriends lol!! You are a Russian agent. Period.'
937499184625848321,2017-12-04 01:49:58,b'@Mariano69605276 @CNN Nuclear war so we will all be dead.'
937498235358281728,2017-12-04 01:46:11,b'@AV8intheblue @CNN That\xe2\x80\x99s just stupid plus we\xe2\x80\x99re talking nuclear war.'
937497703839338497,2017-12-04 01:44:05,b'@jameseatontyler @hafidh_luqman @CNN That is NOT the GOP tax plan.'
937497079957639168,2017-12-04 01:41:36,b'@jameseatontyler @CNN If we have nuclear war money won\xe2\x80\x99t matter.'
937495571954270208,2017-12-04 01:35:36,b'@WilliamshelbyB2 @CNN Trump needs to be stopped. He is more insane than Kim.'
937495091257774080,2017-12-04 01:33:42,b'@marchotti9 @CNN Trump is not that short!'
937449479556517888,2017-12-03 22:32:27,"b""@realDonaldTrump What is a shame is you lie everyday, all day and we can't get rid of you yet."""
937449280205402114,2017-12-03 22:31:40,b'@realDonaldTrump When is her next naked internet spread?'
937449119920152579,2017-12-03 22:31:01,"b'@realDonaldTrump You lie every day, all day. You and Flynn are Russian agents and that is the issue.'"
937448813094203392,2017-12-03 22:29:48,"b""@realDonaldTrump The campaign is over and your friend Putin put you in office. Let's focus on your being a Russian agent."""
937448582290071552,2017-12-03 22:28:53,b'@realDonaldTrump You are a total liar as usual.'
937448459782774784,2017-12-03 22:28:24,b'@paulsperry_ @realDonaldTrump Your lies just never stop.'
937448211140227073,2017-12-03 22:27:25,"b'@paulsperry_ @realDonaldTrump Hey moron, the campaign was over a year ago? We are more interested in your being a Russian agent.'"
937447917971034116,2017-12-03 22:26:15,b'@realDonaldTrump You were wrong and made a fool of yourself. You lied as usual.'
937447752686080000,2017-12-03 22:25:35,"b""@realDonaldTrump You ruined it's reputation and Comey got you elected with the last (Russian) Wikipedia bullshit re\xe2\x80\xa6 https://t.co/AZNlNxKS8h"""
937447297285271552,2017-12-03 22:23:47,b'@realDonaldTrump You are an idiot!'
937091089370177538,2017-12-02 22:48:20,b'@FoxNews @realDonaldTrump lol. The white supremacist PRETENDED to pay homage.'
937090087577444357,2017-12-02 22:44:21,b'@upyour2bitch @BokeRaff @h_jhm12 @iBleedPhilly @Eagles The team of cheaters rep is here. Easy to win when you cheat.'
937089451544760321,2017-12-02 22:41:50,b'@h_jhm12 @iBleedPhilly @Eagles If we had cheated like you probably a lot of wins!!'
937089011927191552,2017-12-02 22:40:05,b'@upyour2bitch @ShAnE12712 @h_jhm12 @iBleedPhilly @Eagles Cheating means wins don\xe2\x80\x99t count. lol.'
937088258730790912,2017-12-02 22:37:05,b'@upyour2bitch @ShAnE12712 @h_jhm12 @iBleedPhilly @Eagles Like the cheating.'
