id,created_at,text
940328747193872384,2017-12-11 21:13:38,b'RT @Holy_Mowgli: who called it an octopus not an armarmarmarmarmarmarmarmadillo'
940075436985401344,2017-12-11 04:27:04,b'@realDonaldTrump @daveweigel Are you asking if those two words are synonymous'
939730550994227202,2017-12-10 05:36:37,b'@jmariec36 Trump: hold my beer'
939730426926481409,2017-12-10 05:36:07,b'#WaysIWillImprove2018 #RESIST'
939536619576557568,2017-12-09 16:46:00,b'@realDonaldTrump What\xe2\x80\x99s weird about this is none of his base realize that he\xe2\x80\x99s condescending to them with this shit\xe2\x80\xa6 https://t.co/Mc64c2PlkG'
939535524892733440,2017-12-09 16:41:39,b'RT @Samanthtics: @realDonaldTrump Trump: guys. Guys. Look at this.\nAides: another zinger Mr. President \nTrump: those guys at CNN are going\xe2\x80\xa6'
939534682454073344,2017-12-09 16:38:18,b'@realDonaldTrump Trump: guys. Guys. Look at this.\nAides: another zinger Mr. President \nTrump: those guys at CNN are\xe2\x80\xa6 https://t.co/TvN9yEqkmV'
939413124431544320,2017-12-09 08:35:16,"b'Look, I\xe2\x80\x99m not with this cop hating shit, but the scum that shot Daniel Shaver is the reason the police aren\xe2\x80\x99t being\xe2\x80\xa6 https://t.co/3PmCKFjjKa'"
939289156450099201,2017-12-09 00:22:40,b'When a customer accuses you of just not WANTING to help them... bitch why would I prolong having to deal with you #CustomerService'
939282567211008000,2017-12-08 23:56:29,b'RT @whatmaddness: republicans are so obsessed with coal because that\xe2\x80\x99s all santa ever brings them ha ha oh man political AND seasonal how d\xe2\x80\xa6'
939251785616650241,2017-12-08 21:54:10,b'RT @VerneLaVurl: @realDonaldTrump Who the hell brags about losing?! Yay! I came in second to nobody.'
939251684190052352,2017-12-08 21:53:46,"b""RT @carlos_valencia: @realDonaldTrump When you're so bad at your job you have to celebrate approximating mediocrity."""
939250992452845568,2017-12-08 21:51:01,"b'@realDonaldTrump You\xe2\x80\x99re lying about your approval ratings, PEW is a trustworthy research center, and you\xe2\x80\x99re doing i\xe2\x80\xa6 https://t.co/O4fp8bcp4e'"
939249940093550592,2017-12-08 21:46:50,b'@SteveKingIA \xe2\x80\x9cClose the door after me\xe2\x80\x9d immigration policy is bullshit and so are you'
939162407817035776,2017-12-08 15:59:01,b'@realDonaldTrump You are such a piece of shit.'
939162068065726464,2017-12-08 15:57:40,b'RT @McGrumpenstein: My debate team has won all of our matches since switching from deductive to seductive reasoning.'
938945688943058945,2017-12-08 01:37:51,"b""RT @StephenAtHome: I'm surprised Trump didn't declare Jerusalem as America's capital. Then he'd be able to say we have a wall."""
938945226927882240,2017-12-08 01:36:01,b'See fire can be cleansing you guys https://t.co/o9EeLLOOlh'
938944543637958656,2017-12-08 01:33:18,b'@Midnitelouie @SatanicResearch @ArtWillard @chanjae1 @MontyBoa99 @HunterFallacy @dwallacewells Your mama... has mor\xe2\x80\xa6 https://t.co/JsyTDhfwhY'
938943605565091841,2017-12-08 01:29:34,b'This shit violates states rights. California gun laws can be a little ridiculous but some states just don\xe2\x80\x99t apply a\xe2\x80\xa6 https://t.co/yqgnn6qb6L'
938460862406258689,2017-12-06 17:31:20,"b'RT @RadioGuyChris: If baking a cake for a homosexual is an endorsement of homosexuality, then voting for a pedophile is an endorsement of p\xe2\x80\xa6'"
938460046635155459,2017-12-06 17:28:05,b'RT @francismmaxwell: When Kaepernick says law enforcement are not doing their job correctly and should held accountable Trump supporters ca\xe2\x80\xa6'
938174802514255872,2017-12-05 22:34:38,b'@georgia_hunr @realDonaldTrump No shade on her (girl you do you) but some of you guys make me gag'
937816063571410944,2017-12-04 22:49:07,b'@kayebiggers @ShafPatel @realDonaldTrump 6. You sound like a moron telling someone else to learn the truth while si\xe2\x80\xa6 https://t.co/Ja1dj3kTZp'
937815598242807808,2017-12-04 22:47:17,b'@kayebiggers @ShafPatel @realDonaldTrump 1. It\xe2\x80\x99s spelled Muslim \n2. \xe2\x80\x9cRadical element\xe2\x80\x9d means it\xe2\x80\x99s not the norm\n3. Th\xe2\x80\xa6 https://t.co/wMMRTrcqFV'
937814373434667009,2017-12-04 22:42:25,b'@bipolarlioness @Tonie81625 @BIackwing @realDonaldTrump Blue lives matter unless they tell lies about the God Emperor lol'
937813282928259072,2017-12-04 22:38:05,b'@realDonaldTrump HE IS A FUCKING PEDOPHILE YOU IDIOT FREAK. Are you confused by how big that word is?? He DID THE SEX with KIDS which is BAD'
937812573893804032,2017-12-04 22:35:15,b'Where did you get this clown @realDonaldTrump? Nobody is above the law. https://t.co/7P7MjWBg9Y'
937713244633931781,2017-12-04 16:00:34,b'@PressSec ya think https://t.co/RutW86WnFE'
937395655814742016,2017-12-03 18:58:34,"b'RT @BarristerSecret: As a lawyer, I can confirm that I frequently compose tweets confessing to crimes and send them from my clients\xe2\x80\x99 twitte\xe2\x80\xa6'"
937164501912240128,2017-12-03 03:40:03,b'Why is everyone talking about goddamn Elf on the Shelf'
937072361907527681,2017-12-02 21:33:55,b'So just to be clear we are already past the whole \xe2\x80\x9cthe president of the United States posted anti-Muslim propaganda\xe2\x80\xa6 https://t.co/I67ixbQurU'
937040834570067968,2017-12-02 19:28:38,b'@realDonaldTrump #TyCobb you okay?'
937038795093901313,2017-12-02 19:20:32,b'@FallonFalsmr95 @di8285502 @realDonaldTrump Zing!'
936791348715200512,2017-12-02 02:57:16,b'RT @CAH: Day One of Cards Against Humanity Saves America is now live: https://t.co/40zYk3Lfs7'
936711332895657986,2017-12-01 21:39:19,b'@LeeWilschevic @Thenightcra @slayckx @ArvidVasskog @realDonaldTrump @Its_Stationary @dmarble1 @NotSimplyHuman\xe2\x80\xa6 https://t.co/m7f7I3VRqy'
936688413570342912,2017-12-01 20:08:15,b'RT @alt_labor: @DonaldJTrumpJr This is so disturbing... you\xe2\x80\x99re a fucking flesh basket'
936431253934370817,2017-12-01 03:06:23,"b""RT @smithsara79: [seven minutes into a story that I'm just realizing is only funny to me]\nI'm just gonna cut my losses and stop talking"""
936078924810895360,2017-11-30 03:46:21,b'RT @aparnapkin: TRUMP WEEKLY SCHED:\nmon - offend\ntues - deny\nwed - brag\nthurs - mention hillary\nfri - golf\nsat - golf\nsun - war?\ngolf - golf'
935986320031203328,2017-11-29 21:38:23,b'RT @kashanacauley: Twitter: The cocaine of news'
935986173096312832,2017-11-29 21:37:48,b'RT @elkathryn: @realDonaldTrump What Americans are discovering is that potus has very teeny tiny baby hands and everything keeps falling ou\xe2\x80\xa6'
935931650172624896,2017-11-29 18:01:08,b'If the threat was real your vile boss would have real videos you Shrek-faced shrew https://t.co/8YvbiMRhsV'
935908646755561472,2017-11-29 16:29:44,b'@JaydaBF @GOP @SpeakerRyan @SenateMajLdr you are complicit when he incites violence against OUR citizens using lies\xe2\x80\xa6 https://t.co/rrfTcCinyv'
