id,created_at,text
940072968964554753,2017-12-11 04:17:16,b'@realDonaldTrump @daveweigel I voted for you and I support the work you do...but I am totally over your ridiculous\xe2\x80\xa6 https://t.co/8q5p3Ym4vX'
933320240611643393,2017-11-22 13:04:20,"b""RT @StLouisBlues: There's nothing Vladimir Tarasenko can't do. Including Gordie Howe Hat Tricks. #stlblues #BluesSocial https://t.co/o17AI7\xe2\x80\xa6"""
932410768833650689,2017-11-20 00:50:25,b'@StLouisBlues @34jallen @CarterHutton Colin?'
931902126074286081,2017-11-18 15:09:15,"b'@realDonaldTrump How about instead of spending your time worrying about someone who lost to you,  you concentrate o\xe2\x80\xa6 https://t.co/gwR8HA0X00'"
931897159246589959,2017-11-18 14:49:31,b'@realDonaldTrump OMG......what an Un-Presidential public statement. SMH'
929716462192922625,2017-11-12 14:24:12,"b'RT @FSMidwest: In memory of Ari Dougan, a special #stlblues fan who brought smiles to so many before losing her fight with cancer today. #s\xe2\x80\xa6'"
923239475827937281,2017-10-25 17:26:58,"b'@realDonaldTrump Mr President, Sir. I support you,  but could you PLEASE stop using the immature name calling? For\xe2\x80\xa6 https://t.co/gdgowQiOna'"
922598869380280320,2017-10-23 23:01:26,b'@realDonaldTrump Stop It! You are a grown man and the leader of our country. Most people learned in 3rd grade that\xe2\x80\xa6 https://t.co/wRiaroCm6X'
922597976706560000,2017-10-23 22:57:53,"b'@realDonaldTrump Relax, the paying public has this. We stopped supporting them financially. Karma will come to them'"
921502102458961920,2017-10-20 22:23:16,b'@stltoday Tgat lady is such a loser.'
912291754824658946,2017-09-25 12:24:38,b'@SallyDeal4 @realDonaldTrump Get over it'
912100127489298432,2017-09-24 23:43:11,b'@SallyDeal4 @realDonaldTrump She lost. Get over it.'
911986696362881030,2017-09-24 16:12:26,b'@stltoday Boycott Ravens &amp; Jaguars'
911986368460591105,2017-09-24 16:11:08,b'RT @stltoday: NFL players in London kneel for anthem; owners speak in support as Trump blasts anthem protesters https://t.co/oRlankpnjC htt\xe2\x80\xa6'
911986092156575746,2017-09-24 16:10:02,b'@stltoday Disgusting pieces of crap disrespecting on Foreign soil. Boycott Ravens and Jaguars'
911755397605752833,2017-09-24 00:53:21,b'@daddymyall @stltoday The fools were armed.....criminals......what is wrong with you that you think they should not be shot???'
911755079652462592,2017-09-24 00:52:05,b'@stltoday The key word being ARMED'
910922519498182661,2017-09-21 17:43:47,"b'RT @FSMidwest: A preseason, overtime win for the #stlblues. https://t.co/9oaZuNCzBe'"
907963876184076288,2017-09-13 13:47:11,"b'RT @StLouisBlues: Welcome back, beautiful \xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x8f\x92 #AllTogetherNowSTL https://t.co/zPbb4ZeuTj'"
906874988514377728,2017-09-10 13:40:20,b'@DaleGrib1 @ericbolling Karma is tough....even in people who say stupid things....'
902621623110524931,2017-08-29 19:58:59,b'RT @StLouisBlues: Don the gear of your favorite youth team to show support at tonight\xe2\x80\x99s Council meeting. #Ice4STL #ParksAreForEveryone http\xe2\x80\xa6'
900800414924275712,2017-08-24 19:22:09,b'@realDonaldTrump Please dont feel like you need to respond to every neg thing said. We get it.  Carry on'
